ENSG1	ENSG2	Name1	Name2	Cofrac_PPI_score	In_Corum	Dm	Xl	Mm	Hs	Dd	Sp	Ce	Sc	Nv
ENSG00000080503	ENSG00000141380	SMARCA2	SS18	1	0	FBgn0000212--FBgn0030034			ENSG00000080503--ENSG00000141380					
ENSG00000080503	ENSG00000173473	SMARCA2	SMARCC1	1	1	FBgn0000212--FBgn0002783			ENSG00000080503--ENSG00000173473	DDB_G0271052--DDB_G0277033		F01G4.1--Y113G7B.23		
ENSG00000085231	ENSG00000178913	TAF9	TAF7	1	1			ENSMUSG00000052293--ENSMUSG00000051316	ENSG00000085231--ENSG00000178913					
ENSG00000172531	ENSG00000213639	PPP1CA	PPP1CB	1	0			ENSMUSG00000040385--ENSMUSG00000014956	ENSG00000172531--ENSG00000213639					
ENSG00000117713	ENSG00000127616	ARID1A	SMARCA4	1	1	FBgn0261885--FBgn0000212		ENSMUSG00000007880--ENSMUSG00000032187	ENSG00000117713--ENSG00000127616			C01G8.9--F01G4.1		
ENSG00000175166	ENSG00000087191	PSMD2	PSMC5	1	1	FBgn0028695--FBgn0020369	XB-GENE-972403--AAH77223 XB-GENE-972403--XB-GENE-999933	ENSMUSG00000006998--ENSMUSG00000020708	ENSG00000175166--ENSG00000087191	DDB_G0293752--DDB_G0292382	SPU_015013--SPU_007670	T22D1.9--F56F11.4 T22D1.9--Y49E10.1		jgi|Nemve1|10204|gw.292.16.1--jgi|Nemve1|196829|fgenesh1_pg.scaffold_3000150
ENSG00000136754	ENSG00000061676	ABI1	NCKAP1	1	1	FBgn0020510--FBgn0011771	XB-GENE-942157--XB-GENE-949170	ENSMUSG00000058835--ENSMUSG00000027002	ENSG00000136754--ENSG00000061676	DDB_G0267956--DDB_G0274519		B0336.6--F28D1.10		
ENSG00000173692	ENSG00000108671	PSMD1	PSMD11	1	1	FBgn0028692--FBgn0028689		ENSMUSG00000026229--ENSMUSG00000017428	ENSG00000173692--ENSG00000108671	DDB_G0287953--DDB_G0281315		C23G10.4--F57B9.10	YIL075C--YDL097C	jgi|Nemve1|193603|estExt_GenewiseH_1.C_3040017--jgi|Nemve1|219029|fgenesh1_pg.scaffold_381000018
ENSG00000100519	ENSG00000163636	PSMC6	PSMD6	1	1	FBgn0028685--FBgn0028688	AAH45087--XB-GENE-974009	ENSMUSG00000021832--ENSMUSG00000021737	ENSG00000100519--ENSG00000163636	DDB_G0284517--DDB_G0270188		F23F1.8--F49C12.8		jgi|Nemve1|215693|fgenesh1_pg.scaffold_235000015--jgi|Nemve1|195005|estExt_GenewiseH_1.C_4700004
ENSG00000013503	ENSG00000113356	POLR3B	POLR3G	1	0				ENSG00000013503--ENSG00000113356			F09F7.3--Y47G6A.9		
ENSG00000109805	ENSG00000121152	NCAPG	NCAPH	1	1	FBgn0259876--FBgn0014127		ENSMUSG00000015880--ENSMUSG00000034906	ENSG00000109805--ENSG00000121152					
ENSG00000008018	ENSG00000126067	PSMB1	PSMB2	1	1	FBgn0002284--FBgn0032596	XB-GENE-970609--XB-GENE-946107	ENSMUSG00000014769--ENSMUSG00000028837	ENSG00000008018--ENSG00000126067	DDB_G0272969--DDB_G0269472		C02F5.9--T20F5.2	YBL041W--YER012W	jgi|Nemve1|191787|estExt_GenewiseH_1.C_2170113--jgi|Nemve1|193516|estExt_GenewiseH_1.C_2970038
ENSG00000136754	ENSG00000158195	ABI1	WASF2	1	1	FBgn0020510--FBgn0041781	XB-GENE-942157--XB-GENE-5953918		ENSG00000136754--ENSG00000158195	DDB_G0267956--DDB_G0285253				
ENSG00000130254	ENSG00000160633	SAFB2	SAFB	1	0	FBgn0039229--FBgn0039229		ENSMUSG00000042625--ENSMUSG00000071054	ENSG00000130254--ENSG00000160633			F32B4.4--F32B4.4		
ENSG00000243678	ENSG00000111674	NME1-NME2	ENO2	1	0	FBgn0000150--FBgn0000579			ENSG00000243678--ENSG00000111674		SPU_016758--SPU_013819 SPU_021056--SPU_013819	F25H2.5--T21B10.2	YKL067W--YGR254W YKL067W--YHR174W	
ENSG00000166295	ENSG00000196510	ANAPC16	ANAPC7	1	0			ENSMUSG00000020107--ENSMUSG00000029466	ENSG00000166295--ENSG00000196510					
ENSG00000125630	ENSG00000105849	POLR1B	TWISTNB	1	0	FBgn0003278--FBgn0042092			ENSG00000125630--ENSG00000105849					
ENSG00000161057	ENSG00000163636	PSMC2	PSMD6	1	1	FBgn0028687--FBgn0028688	AAH41186--XB-GENE-974009	ENSMUSG00000028932--ENSMUSG00000021737	ENSG00000161057--ENSG00000163636	DDB_G0276917--DDB_G0270188	SPU_024670--SPU_018597	C52E4.4--F49C12.8		jgi|Nemve1|189255|estExt_GenewiseH_1.C_1390015--jgi|Nemve1|195005|estExt_GenewiseH_1.C_4700004
ENSG00000120438	ENSG00000156261	TCP1	CCT8	1	1	FBgn0003676--FBgn0033342	XB-GENE-939846--AAH97574 XB-GENE-939846--XB-GENE-974323	ENSMUSG00000068039--ENSMUSG00000025613	ENSG00000120438--ENSG00000156261		SPU_022270--SPU_006047	T05C12.7--Y55F3AR.3	YDR212W--YJL008C	jgi|Nemve1|109595|e_gw.95.80.1--jgi|Nemve1|244189|estExt_fgenesh1_pg.C_1120053
ENSG00000108953	ENSG00000164924	YWHAE	YWHAZ	1	1	FBgn0020238--FBgn0004907	XB-GENE-996381--XB-GENE-970622 XB-GENE-996381--XB-GENE-6256657	ENSMUSG00000020849--ENSMUSG00000022285	ENSG00000108953--ENSG00000164924		SPU_003825--SPU_014594			jgi|Nemve1|104509|e_gw.73.243.1--jgi|Nemve1|184113|estExt_GenewiseH_1.C_540122
ENSG00000148606	ENSG00000241258	POLR3A	CRCP	1	0			ENSMUSG00000025280--ENSMUSG00000025532	ENSG00000148606--ENSG00000241258			C42D4.8--M106.7		
ENSG00000008128	ENSG00000161526	CDK11A	SAP30BP	1	0	FBgn0016696--FBgn0033400		ENSMUSG00000029062--ENSMUSG00000020755	ENSG00000008128--ENSG00000161526					
ENSG00000138758	ENSG00000184702	SEPT11	SEPT5	1	0	FBgn0014029--FBgn0259923 FBgn0026361--FBgn0259923			ENSG00000138758--ENSG00000184702					jgi|Nemve1|169560|estExt_gwp.C_1290010--jgi|Nemve1|239234|estExt_fgenesh1_pg.C_130052
ENSG00000138071	ENSG00000163466	ACTR2	ARPC2	1	1	FBgn0011742--FBgn0032859		ENSMUSG00000020152--ENSMUSG00000006304	ENSG00000138071--ENSG00000163466	DDB_G0272106--DDB_G0282813	SPU_018717--SPU_017502	K07C5.1--Y6D11A.2	YDL029W--YNR035C	jgi|Nemve1|186733|estExt_GenewiseH_1.C_890022--jgi|Nemve1|241492|estExt_fgenesh1_pg.C_460075
ENSG00000013275	ENSG00000163636	PSMC4	PSMD6	1	1	FBgn0028686--FBgn0028688	XB-GENE-5855587--XB-GENE-974009	ENSMUSG00000030603--ENSMUSG00000021737	ENSG00000013275--ENSG00000163636	DDB_G0289003--DDB_G0270188	SPU_016198--SPU_018597	F23F12.6--F49C12.8		
ENSG00000181938	ENSG00000131153	GINS3	GINS2	1	1	FBgn0030196--FBgn0261976			ENSG00000181938--ENSG00000131153				YOL146W--YJL072C	
ENSG00000156603	ENSG00000125686	MED19	MED1	1	1	FBgn0036761--FBgn0037109			ENSG00000156603--ENSG00000125686					
ENSG00000146731	ENSG00000156261	CCT6A	CCT8	1	1	FBgn0027329--FBgn0033342	XB-GENE-987469--XB-GENE-974323 XB-GENE-987469--AAH97574	ENSMUSG00000029447--ENSMUSG00000025613	ENSG00000146731--ENSG00000156261		SPU_019081--SPU_006047	F01F1.8--Y55F3AR.3		jgi|Nemve1|160314|estExt_gwp.C_130126--jgi|Nemve1|244189|estExt_fgenesh1_pg.C_1120053
ENSG00000197170	ENSG00000100764	PSMD12	PSMC1	1	1	FBgn0028690--FBgn0015282	XB-GENE-970358--XB-GENE-950584	ENSMUSG00000020720--ENSMUSG00000021178	ENSG00000197170--ENSG00000100764	DDB_G0281051--DDB_G0270784	SPU_001247--SPU_028593	F10G7.8--F29G9.5		jgi|Nemve1|113443|e_gw.118.15.1--jgi|Nemve1|176351|estExt_gwp.C_7080002
ENSG00000138107	ENSG00000166847	ACTR1A	DCTN5	1	0				ENSG00000138107--ENSG00000166847			Y53F4B.22--Y71F9AL.14		
ENSG00000119718	ENSG00000115211	EIF2B2	EIF2B4	1	0	FBgn0024996--FBgn0034858		ENSMUSG00000004788--ENSMUSG00000029145	ENSG00000119718--ENSG00000115211					
ENSG00000108953	ENSG00000166913	YWHAE	YWHAB	1	1	FBgn0020238--FBgn0004907	XB-GENE-996381--XB-GENE-1006032	ENSMUSG00000020849--ENSMUSG00000018326	ENSG00000108953--ENSG00000166913		SPU_003825--SPU_014594			jgi|Nemve1|104509|e_gw.73.243.1--jgi|Nemve1|184113|estExt_GenewiseH_1.C_540122
ENSG00000130309	ENSG00000106397	GLT25D1	PLOD3	1	0				ENSG00000130309--ENSG00000106397			D2045.9--F52H3.1		
ENSG00000071894	ENSG00000160917	CPSF1	CPSF4	1	1	FBgn0024698--FBgn0015621		ENSMUSG00000034022--ENSMUSG00000029625	ENSG00000071894--ENSG00000160917					
ENSG00000171311	ENSG00000178896	EXOSC1	EXOSC4	1	1	FBgn0032346--FBgn0032487			ENSG00000171311--ENSG00000178896					
ENSG00000161057	ENSG00000175166	PSMC2	PSMD2	1	1	FBgn0028687--FBgn0028695	AAH41186--XB-GENE-972403	ENSMUSG00000028932--ENSMUSG00000006998	ENSG00000161057--ENSG00000175166	DDB_G0276917--DDB_G0293752	SPU_024670--SPU_015013	C52E4.4--T22D1.9		jgi|Nemve1|189255|estExt_GenewiseH_1.C_1390015--jgi|Nemve1|10204|gw.292.16.1
ENSG00000099341	ENSG00000101843	PSMD8	PSMD10	1	0				ENSG00000099341--ENSG00000101843		SPU_014969--SPU_021647	ZK20.5--F40G9.17		
ENSG00000173473	ENSG00000184402	SMARCC1	SS18L1	1	0	FBgn0002783--FBgn0030034						Y113G7B.23--ZK973.9		
ENSG00000139675	ENSG00000096746	HNRNPA1L2	HNRNPH3	1	0	FBgn0004237--FBgn0259139 FBgn0001215--FBgn0259139			ENSG00000139675--ENSG00000096746					
ENSG00000174780	ENSG00000167881	SRP72	SRP68	1	0	FBgn0038810--FBgn0035947	XB-GENE-994744--XB-GENE-993907	ENSMUSG00000036323--ENSMUSG00000020780	ENSG00000174780--ENSG00000167881		SPU_001889--SPU_024348	F08D12.1--F55C5.8	YPL210C--YPL243W	
ENSG00000099341	ENSG00000159352	PSMD8	PSMD4	1	1	FBgn0028693--FBgn0015283		ENSMUSG00000030591--ENSMUSG00000005625	ENSG00000099341--ENSG00000159352	DDB_G0272564--DDB_G0275775 DDB_G0273979--DDB_G0275775	SPU_014969--SPU_003324	ZK20.5--B0205.3		
ENSG00000168385	ENSG00000164402	SEPT2	SEPT8	1	1	FBgn0011710--FBgn0026361 FBgn0011710--FBgn0014029	XB-GENE-6255319--XB-GENE-1032912 XB-GENE-865354--XB-GENE-1032912	ENSMUSG00000026276--ENSMUSG00000018398	ENSG00000168385--ENSG00000164402					
ENSG00000116489	ENSG00000077549	CAPZA1	CAPZB	1	0	FBgn0034577--FBgn0011570	XB-GENE-865890--XB-GENE-490549	ENSMUSG00000070372--ENSMUSG00000028745	ENSG00000116489--ENSG00000077549	DDB_G0272104--DDB_G0267374	SPU_024912--SPU_021007	D2024.6--M106.5	YKL007W--YIL034C	jgi|Nemve1|242138|estExt_fgenesh1_pg.C_570086--jgi|Nemve1|181966|estExt_GenewiseH_1.C_330038
ENSG00000017797	ENSG00000135597	RALBP1	REPS1	1	0	FBgn0026056--FBgn0032341			ENSG00000017797--ENSG00000135597		SPU_002118--SPU_019955			
ENSG00000064102	ENSG00000149262	ASUN	INTS4	1	0	FBgn0020407--FBgn0026679			ENSG00000064102--ENSG00000149262					
ENSG00000164402	ENSG00000184702	SEPT8	SEPT5	1	0	FBgn0014029--FBgn0259923 FBgn0026361--FBgn0259923			ENSG00000164402--ENSG00000184702					jgi|Nemve1|169560|estExt_gwp.C_1290010--jgi|Nemve1|239234|estExt_fgenesh1_pg.C_130052
ENSG00000101843	ENSG00000165916	PSMD10	PSMC3	1	0		AAI41732--XB-GENE-962533		ENSG00000101843--ENSG00000165916	DDB_G0289189--DDB_G0284415	SPU_021647--SPU_003847	F40G9.17--F56H1.4		
ENSG00000163468	ENSG00000135624	CCT3	CCT7	1	1	FBgn0015019--FBgn0037632	XB-GENE-6250719--XB-GENE-988126 XB-GENE-6250719--AAH42312	ENSMUSG00000001416--ENSMUSG00000030007	ENSG00000163468--ENSG00000135624		SPU_009300--SPU_004700	F54A3.3--T10B5.5	YJL014W--YJL111W	jgi|Nemve1|237354|estExt_fgenesh1_kg.C_1930003--jgi|Nemve1|238513|estExt_fgenesh1_pg.C_60092 jgi|Nemve1|247897|estExt_fgenesh1_pg.C_3740001--jgi|Nemve1|238513|estExt_fgenesh1_pg.C_60092
ENSG00000130772	ENSG00000180182	MED18	MED14	1	1	FBgn0026873--FBgn0035145			ENSG00000130772--ENSG00000180182					
ENSG00000107581	ENSG00000106263	EIF3A	EIF3B	1	1	FBgn0037249--FBgn0034237		ENSMUSG00000024991--ENSMUSG00000056076	ENSG00000107581--ENSG00000106263	DDB_G0272078--DDB_G0283597	SPU_014579--SPU_022562	C27D11.1--Y54E2A.11	YBR079C--YOR361C	jgi|Nemve1|190699|estExt_GenewiseH_1.C_1770129--jgi|Nemve1|113484|e_gw.118.2.1
ENSG00000110801	ENSG00000159352	PSMD9	PSMD4	1	1	FBgn0038166--FBgn0015283		ENSMUSG00000029440--ENSMUSG00000005625	ENSG00000110801--ENSG00000159352					
ENSG00000100764	ENSG00000087191	PSMC1	PSMC5	1	1	FBgn0015282--FBgn0020369	XB-GENE-950584--AAH77223 XB-GENE-950584--XB-GENE-999933	ENSMUSG00000021178--ENSMUSG00000020708	ENSG00000100764--ENSG00000087191	DDB_G0270784--DDB_G0292382	SPU_028593--SPU_007670	F29G9.5--Y49E10.1 F29G9.5--F56F11.4		jgi|Nemve1|176351|estExt_gwp.C_7080002--jgi|Nemve1|196829|fgenesh1_pg.scaffold_3000150
ENSG00000011052	ENSG00000108515	NME2	ENO3	1	0	FBgn0000150--FBgn0000579	XB-GENE-6254044--XB-GENE-6254227 XB-GENE-923251--XB-GENE-6254227		ENSG00000011052--ENSG00000108515		SPU_016758--SPU_013819 SPU_021056--SPU_013819	F25H2.5--T21B10.2	YKL067W--YGR254W YKL067W--YHR174W	
ENSG00000100129	ENSG00000107581	EIF3L	EIF3A	1	1	FBgn0036258--FBgn0037249		ENSMUSG00000033047--ENSMUSG00000024991	ENSG00000100129--ENSG00000107581	DDB_G0272076--DDB_G0272078	SPU_021449--SPU_014579	C17G10.9--C27D11.1		
ENSG00000115073	ENSG00000166847	ACTR1B	DCTN5	1	0				ENSG00000115073--ENSG00000166847			Y53F4B.22--Y71F9AL.14		
ENSG00000106588	ENSG00000159377	PSMA2	PSMB4	1	1	FBgn0086134--FBgn0250746		ENSMUSG00000015671--ENSMUSG00000005779	ENSG00000106588--ENSG00000159377	DDB_G0292122--DDB_G0273909 DDB_G0292122--DDB_G0273163	SPU_026430--SPU_027932	D1054.2--F39H11.5	YML092C--YFR050C	jgi|Nemve1|165493|estExt_gwp.C_610212--jgi|Nemve1|167347|estExt_gwp.C_860205
ENSG00000146731	ENSG00000163468	CCT6A	CCT3	1	1	FBgn0027329--FBgn0015019	XB-GENE-987469--XB-GENE-6250719	ENSMUSG00000029447--ENSMUSG00000001416	ENSG00000146731--ENSG00000163468		SPU_019081--SPU_009300	F01F1.8--F54A3.3		jgi|Nemve1|160314|estExt_gwp.C_130126--jgi|Nemve1|247897|estExt_fgenesh1_pg.C_3740001 jgi|Nemve1|160314|estExt_gwp.C_130126--jgi|Nemve1|237354|estExt_fgenesh1_kg.C_1930003
ENSG00000140319	ENSG00000174780	SRP14	SRP72	1	0	FBgn0038808--FBgn0038810	AAI29773--XB-GENE-994744		ENSG00000140319--ENSG00000174780			F25G6.8--F08D12.1		
ENSG00000165916	ENSG00000185627	PSMC3	PSMD13	1	1	FBgn0028684--FBgn0028691	XB-GENE-1009853--XB-GENE-1005578 XB-GENE-962533--XB-GENE-1005578	ENSMUSG00000002102--ENSMUSG00000025487	ENSG00000165916--ENSG00000185627	DDB_G0284415--DDB_G0285105		F56H1.4--T06D8.8		
ENSG00000110987	ENSG00000127616	BCL7A	SMARCA4	1	0	FBgn0026149--FBgn0000212			ENSG00000110987--ENSG00000127616					
ENSG00000173473	ENSG00000133884	SMARCC1	DPF2	1	1	FBgn0002783--FBgn0033015		ENSMUSG00000032481--ENSMUSG00000024826	ENSG00000173473--ENSG00000133884					
ENSG00000167491	ENSG00000071655	GATAD2A	MBD3	1	0	FBgn0010762--FBgn0027950		ENSMUSG00000036180--ENSMUSG00000035478	ENSG00000167491--ENSG00000071655					
ENSG00000074319	ENSG00000139722	TSG101	VPS37B	1	1	FBgn0036666--FBgn0037299			ENSG00000074319--ENSG00000139722		SPU_011963--SPU_016956	C09G12.9--CD4.4		jgi|Nemve1|244032|estExt_fgenesh1_pg.C_1050038--jgi|Nemve1|233669|fgsh_est.C_scaffold_353000003
ENSG00000105879	ENSG00000164944	CBLL1	KIAA1429	1	0			ENSMUSG00000020659--ENSMUSG00000040720	ENSG00000105879--ENSG00000164944					
ENSG00000168002	ENSG00000177700	POLR2G	POLR2L	1	1	FBgn0051155--FBgn0039218			ENSG00000168002--ENSG00000177700					
ENSG00000185115	ENSG00000163029	NDNL2	SMC6	1	0	FBgn0037481--FBgn0039164			ENSG00000185115--ENSG00000163029					
ENSG00000108344	ENSG00000115233	PSMD3	PSMD14	1	1	FBgn0261396--FBgn0028694		ENSMUSG00000017221--ENSMUSG00000026914	ENSG00000108344--ENSG00000115233	DDB_G0288621--DDB_G0272566	SPU_028912--SPU_019233	C30C11.2--K07D4.3	YER021W--YFR004W	jgi|Nemve1|233482|fgsh_est.C_scaffold_243000005--jgi|Nemve1|239961|estExt_fgenesh1_pg.C_220093
ENSG00000125676	ENSG00000079134	THOC2	THOC1	1	1	FBgn0031390--FBgn0037382		ENSMUSG00000037475--ENSMUSG00000024287	ENSG00000125676--ENSG00000079134					
ENSG00000141959	ENSG00000152556	PFKL	PFKM	1	0	FBgn0003071--FBgn0003071		ENSMUSG00000020277--ENSMUSG00000033065	ENSG00000141959--ENSG00000152556		SPU_001831--SPU_001831	Y71H10A.1--Y71H10A.1	YGR240C--YMR205C	
ENSG00000129084	ENSG00000041357	PSMA1	PSMA4	1	1	FBgn0250843--FBgn0261394	XB-GENE-995837--XB-GENE-5837418	ENSMUSG00000030751--ENSMUSG00000032301	ENSG00000129084--ENSG00000041357	DDB_G0282363--DDB_G0280969	SPU_023286--SPU_004036	CD4.6--Y110A7A.14	YMR314W--YGR135W	jgi|Nemve1|10968|gw.159.3.1--jgi|Nemve1|205783|fgenesh1_pg.scaffold_62000102
ENSG00000125755	ENSG00000119203	SYMPK	CPSF3	1	1	FBgn0037371--FBgn0261065			ENSG00000125755--ENSG00000119203					
ENSG00000082014	ENSG00000117713	SMARCD3	ARID1A	1	1	FBgn0025463--FBgn0261885			ENSG00000082014--ENSG00000117713					
ENSG00000065427	ENSG00000115866	KARS	DARS	1	1	FBgn0027084--FBgn0002069	XB-GENE-943473--XB-GENE-951515	ENSMUSG00000031948--ENSMUSG00000026356	ENSG00000065427--ENSG00000115866	DDB_G0281437--DDB_G0272236	SPU_008981--SPU_017781	T02G5.9--B0464.1	YDR037W--YLL018C	jgi|Nemve1|228574|fgenesh1_pm.scaffold_25000001--jgi|Nemve1|205625|fgenesh1_pg.scaffold_61000057
ENSG00000164402	ENSG00000138758	SEPT8	SEPT11	1	1	FBgn0014029--FBgn0026361 FBgn0014029--FBgn0014029 FBgn0026361--FBgn0026361	XB-GENE-1032912--XB-GENE-956050	ENSMUSG00000018398--ENSMUSG00000058013	ENSG00000164402--ENSG00000138758		SPU_023782--SPU_023782	Y50E8A.4--Y50E8A.4		
ENSG00000111358	ENSG00000145736	GTF2H3	GTF2H2	1	1	FBgn0031309--FBgn0037202			ENSG00000111358--ENSG00000145736					
ENSG00000104529	ENSG00000254772	EEF1D	EEF1G	1	0			ENSMUSG00000055762--ENSMUSG00000071644	ENSG00000104529--ENSG00000254772					
ENSG00000061676	ENSG00000112290	NCKAP1	WASF1	1	0	FBgn0011771--FBgn0041781		ENSMUSG00000027002--ENSMUSG00000019831	ENSG00000061676--ENSG00000112290	DDB_G0274519--DDB_G0285253				
ENSG00000073584	ENSG00000133884	SMARCE1	DPF2	1	0			ENSMUSG00000037935--ENSMUSG00000024826	ENSG00000073584--ENSG00000133884					
ENSG00000184110	ENSG00000100353	EIF3C	EIF3D	1	1	FBgn0034258--FBgn0040227 FBgn0034258--FBgn0037994	XB-GENE-5720535--XB-GENE-942859	ENSMUSG00000030738--ENSMUSG00000016554	ENSG00000184110--ENSG00000100353		SPU_026863--SPU_006773	T23D8.4--R08D7.3		jgi|Nemve1|20376|gw.65.33.1--jgi|Nemve1|235689|estExt_fgenesh1_pm.C_2050006
ENSG00000130309	ENSG00000152952	GLT25D1	PLOD2	1	0				ENSG00000130309--ENSG00000152952			D2045.9--F52H3.1		
ENSG00000159479	ENSG00000156603	MED8	MED19	1	1	FBgn0034503--FBgn0036761			ENSG00000159479--ENSG00000156603					
ENSG00000175390	ENSG00000184110	EIF3F	EIF3C	1	1	FBgn0037270--FBgn0034258		ENSMUSG00000031029--ENSMUSG00000030738	ENSG00000175390--ENSG00000184110	DDB_G0293254--DDB_G0279109		D2013.7--T23D8.4		jgi|Nemve1|230299|fgenesh1_pm.scaffold_166000005--jgi|Nemve1|20376|gw.65.33.1
ENSG00000108604	ENSG00000110987	SMARCD2	BCL7A	1	0	FBgn0025463--FBgn0026149			ENSG00000108604--ENSG00000110987					
ENSG00000063322	ENSG00000175221	MED29	MED16	1	1	FBgn0001276--FBgn0034707			ENSG00000063322--ENSG00000175221					
ENSG00000011052	ENSG00000088832	NME2	FKBP1A	1	0	FBgn0000150--FBgn0013954				DDB_G0279911--DDB_G0275227	SPU_016758--SPU_027840 SPU_021056--SPU_027840 SPU_016758--SPU_001569 SPU_021056--SPU_001569	F25H2.5--Y18D10A.19	YKL067W--YNL135C	
ENSG00000139722	ENSG00000160948	VPS37B	VPS28	1	1				ENSG00000139722--ENSG00000160948		SPU_016956--SPU_013857	CD4.4--Y87G2A.10		
ENSG00000138668	ENSG00000197451	HNRNPD	HNRNPAB	1	0	FBgn0086897--FBgn0086897	XB-GENE-988380--XB-GENE-6043063	ENSMUSG00000000568--ENSMUSG00000020358	ENSG00000138668--ENSG00000197451					
ENSG00000132141	ENSG00000120438	CCT6B	TCP1	1	0	FBgn0027329--FBgn0003676		ENSMUSG00000020698--ENSMUSG00000068039	ENSG00000132141--ENSG00000120438		SPU_019081--SPU_022270	F01F1.8--T05C12.7		jgi|Nemve1|160314|estExt_gwp.C_130126--jgi|Nemve1|109595|e_gw.95.80.1
ENSG00000168495	ENSG00000186141	POLR3D	POLR3C	1	0		XB-GENE-1014718--XB-GENE-993201	ENSMUSG00000000776--ENSMUSG00000028099	ENSG00000168495--ENSG00000186141					
ENSG00000144635	ENSG00000197102	DYNC1LI1	DYNC1H1	1	0	FBgn0030276--FBgn0261797		ENSMUSG00000032435--ENSMUSG00000018707	ENSG00000144635--ENSG00000197102		SPU_015909--SPU_030236	C39E9.14--T21E12.4		jgi|Nemve1|40628|gw.25.148.1--jgi|Nemve1|241316|estExt_fgenesh1_pg.C_430104
ENSG00000125755	ENSG00000136709	SYMPK	WDR33	1	0	FBgn0037371--FBgn0046222		ENSMUSG00000023118--ENSMUSG00000024400	ENSG00000125755--ENSG00000136709					
ENSG00000100297	ENSG00000166508	MCM5	MCM7	1	1	FBgn0017577--FBgn0020633			ENSG00000100297--ENSG00000166508		SPU_012431--SPU_026450			jgi|Nemve1|238608|estExt_fgenesh1_pg.C_70024--jgi|Nemve1|237165|estExt_fgenesh1_kg.C_1300002
ENSG00000150753	ENSG00000146731	CCT5	CCT6A	1	1	FBgn0010621--FBgn0027329	XB-GENE-980281--XB-GENE-987469	ENSMUSG00000022234--ENSMUSG00000029447	ENSG00000150753--ENSG00000146731		SPU_025484--SPU_019081	C07G2.3--F01F1.8		jgi|Nemve1|233945|estExt_fgenesh1_pm.C_30048--jgi|Nemve1|160314|estExt_gwp.C_130126
ENSG00000169217	ENSG00000174231	CD2BP2	PRPF8	1	1	FBgn0032250--FBgn0033688		ENSMUSG00000042502--ENSMUSG00000020850	ENSG00000169217--ENSG00000174231					
ENSG00000143256	ENSG00000243667	PFDN2	WDR92	1	0			ENSMUSG00000006412--ENSMUSG00000078970	ENSG00000143256--ENSG00000243667					
ENSG00000095261	ENSG00000115233	PSMD5	PSMD14	1	1			ENSMUSG00000026869--ENSMUSG00000026914	ENSG00000095261--ENSG00000115233		SPU_012349--SPU_019233			
ENSG00000104408	ENSG00000100129	EIF3E	EIF3L	1	1	FBgn0025582--FBgn0036258		ENSMUSG00000022336--ENSMUSG00000033047	ENSG00000104408--ENSG00000100129	DDB_G0293052--DDB_G0272076	SPU_009248--SPU_021449	B0511.10--C17G10.9		
ENSG00000115233	ENSG00000099341	PSMD14	PSMD8	1	1	FBgn0028694--FBgn0028693			ENSG00000115233--ENSG00000099341	DDB_G0272566--DDB_G0272564 DDB_G0272566--DDB_G0273979	SPU_019233--SPU_014969	K07D4.3--ZK20.5	YFR004W--YFR052W	
ENSG00000106635	ENSG00000108604	BCL7B	SMARCD2	1	0	FBgn0026149--FBgn0025463			ENSG00000106635--ENSG00000108604					
ENSG00000169592	ENSG00000128908	INO80E	INO80	1	1	FBgn0033566--FBgn0086613			ENSG00000169592--ENSG00000128908					
ENSG00000128245	ENSG00000166913	YWHAH	YWHAB	1	0		XB-GENE-949037--XB-GENE-1006032	ENSMUSG00000018965--ENSMUSG00000018326	ENSG00000128245--ENSG00000166913		SPU_014594--SPU_014594			
ENSG00000091140	ENSG00000105953	DLD	OGDH	1	0		XB-GENE-982854--XB-GENE-1010765		ENSG00000091140--ENSG00000105953			LLC1.3--T22B11.5		
ENSG00000025770	ENSG00000146918	NCAPH2	NCAPG2	1	0				ENSG00000025770--ENSG00000146918		SPU_025864--SPU_003750			
ENSG00000008838	ENSG00000160563	MED24	MED27	1	1	FBgn0035851--FBgn0037359			ENSG00000008838--ENSG00000160563					
ENSG00000144580	ENSG00000198791	RQCD1	CNOT7	1	0	FBgn0031047--FBgn0036239			ENSG00000144580--ENSG00000198791					
ENSG00000132792	ENSG00000116752	CTNNBL1	BCAS2	1	1				ENSG00000132792--ENSG00000116752			M01E11.2--T12A2.7		
ENSG00000161057	ENSG00000100764	PSMC2	PSMC1	1	1	FBgn0028687--FBgn0015282	AAH41186--XB-GENE-950584	ENSMUSG00000028932--ENSMUSG00000021178	ENSG00000161057--ENSG00000100764	DDB_G0276917--DDB_G0270784	SPU_024670--SPU_028593	C52E4.4--F29G9.5		jgi|Nemve1|189255|estExt_GenewiseH_1.C_1390015--jgi|Nemve1|176351|estExt_gwp.C_7080002
ENSG00000138107	ENSG00000204843	ACTR1A	DCTN1	1	0	FBgn0011745--FBgn0001108			ENSG00000138107--ENSG00000204843		SPU_001366--SPU_013935	Y53F4B.22--ZK593.5		
ENSG00000115866	ENSG00000106305	DARS	AIMP2	1	1	FBgn0002069--FBgn0036515	XB-GENE-951515--XB-GENE-6253422	ENSMUSG00000026356--ENSMUSG00000029610	ENSG00000115866--ENSG00000106305		SPU_017781--SPU_025834			jgi|Nemve1|205625|fgenesh1_pg.scaffold_61000057--jgi|Nemve1|240787|estExt_fgenesh1_pg.C_340051
