	id	length	mass
15423	H3Y1_HUMAN	136	15423
7841	Q9UIH0_HUMAN	78	7841
7645	D6RA68_HUMAN	76	7645
12274	Q6N086_HUMAN	112	12274
6407	Q14889_HUMAN	60	6407
15860	RL32_HUMAN	135	15860
11951	Q15587_HUMAN	111	11951
11557	G0LNT8_HUMAN	107	11557
8496	V5NS67_HUMAN	71	8496
7318	GBG5_HUMAN	68	7318
41877	ACTH_HUMAN	376	41877
18007	V5NQS1_HUMAN	156	18007
11783	Q8WZ20_HUMAN	108	11783
42051	F5H6C2_HUMAN	368	42051
134134	NOMO3_HUMAN	1222	134134
16140	E7EVL6_HUMAN	146	16140
40030	CXAR_HUMAN	365	40030
97668	NOP14_HUMAN	857	97668
31834	RPP38_HUMAN	283	31834
47378	Q9H8B3_HUMAN	442	47378
30959	OLR1_HUMAN	273	30959
37849	NKX61_HUMAN	367	37849
126485	DEN2B_HUMAN	1137	126485
93021	J3QQJ7_HUMAN	833	93021
38578	E9PKR7_HUMAN	349	38578
41454	ELF3_HUMAN	371	41454
80763	RED1_HUMAN	741	80763
29962	A0A4D6G1L1_HUMAN	266	29962
11897	Q6TKQ0_HUMAN	106	11897
44127	H3BQZ6_HUMAN	392	44127
76662	GPSM2_HUMAN	684	76662
53481	BAT1_HUMAN	487	53481
154183	A0A7D6VM04_HUMAN	1406	154183
86344	A0A0S2Z652_HUMAN	770	86344
12441	I3L328_HUMAN	113	12441
22427	Q6XYB5_HUMAN	204	22427
12259	Q5FBZ0_HUMAN	110	12259
75457	FOXK1_HUMAN	733	75457
42753	Q8TBW1_HUMAN	374	42753
462529	PKD1_HUMAN	4303	462529
521958	LRP2_HUMAN	4655	521958
105026	RHG04_HUMAN	946	105026
106561	X5D2R8_HUMAN	983	106561
103533	A0A0S2Z4W4_HUMAN	930	103533
59995	CP4F8_HUMAN	520	59995
129756	AT11A_HUMAN	1134	129756
41833	Q0QER2_HUMAN	371	41833
33304	Q2TAB5_HUMAN	302	33304
55716	A0A140VK97_HUMAN	496	55716
15044	O95880_HUMAN	129	15044
191615	CLH1_HUMAN	1675	191615
134024	PLCB2_HUMAN	1185	134024
48272	Q60F95_HUMAN	429	48272
47113	A0A872G2N3_HUMAN	441	47113
58882	B4GN1_HUMAN	533	58882
262496	CAC1B_HUMAN	2339	262496
43696	IRF9_HUMAN	393	43696
55233	B4DG32_HUMAN	506	55233
41591	TIAR_HUMAN	375	41591
33489	B4DEL1_HUMAN	303	33489
69062	FOXK2_HUMAN	660	69062
94890	AMPD2_HUMAN	825	94890
19448	B4DZF9_HUMAN	186	19448
10975	Q3MS97_HUMAN	95	10975
14632	Q8NDQ9_HUMAN	143	14632
19444	H7C087_HUMAN	165	19444
38726	TFAP4_HUMAN	338	38726
51855	CDR2_HUMAN	454	51855
83674	L7RTI5_HUMAN	737	83674
45211	A0A1B1R0Y1_HUMAN	417	45211
115935	ODO1_HUMAN	1023	115935
12999	Q8WYF8_HUMAN	114	12999
48356	IRF8_HUMAN	426	48356
15018	I6LK00_HUMAN	130	15018
43439	B4E1S5_HUMAN	371	43439
83550	PLOD1_HUMAN	727	83550
56918	A0A4Y6A3N3_HUMAN	513	56918
191482	AKA12_HUMAN	1782	191482
37323	MFRN1_HUMAN	338	37323
25561	A0A6B7HFU6_HUMAN	220	25561
45496	PO3F1_HUMAN	451	45496
62056	ENL_HUMAN	559	62056
16386	H3BN35_HUMAN	145	16386
42451	Q0VGG8_HUMAN	382	42451
168416	ERCC6_HUMAN	1493	168416
75664	A0A2R8Y7B8_HUMAN	681	75664
60219	A0A8V8TQR7_HUMAN	553	60219
48106	B3KX85_HUMAN	446	48106
83201	TLE1_HUMAN	770	83201
54697	ACHE_HUMAN	493	54697
23884	A7WPU8_HUMAN	204	23884
54645	A0A024RA29_HUMAN	483	54645
119233	FAK1_HUMAN	1052	119233
77505	KPCD_HUMAN	676	77505
64609	B4DXL6_HUMAN	617	64609
70977	DEUP1_HUMAN	604	70977
14637	Q5VZU2_HUMAN	137	14637
19395	Q53S56_HUMAN	175	19395
76281	BTK_HUMAN	659	76281
130278	P2R3A_HUMAN	1150	130278
42483	Q7KYP0_HUMAN	372	42483
25390	B3KTX8_HUMAN	236	25390
195459	ZO1_HUMAN	1748	195459
14019	A0A7T0LNM1_HUMAN	123	14019
83343	X5DNX5_HUMAN	736	83343
36314	TISB_HUMAN	338	36314
103639	SPAG1_HUMAN	926	103639
24707	E7EPZ8_HUMAN	229	24707
52225	F1D8S4_HUMAN	468	52225
23858	C9J3Z0_HUMAN	213	23858
76632	TGM3_HUMAN	693	76632
79902	PDE4C_HUMAN	712	79902
45514	DEMA_HUMAN	405	45514
71831	ITK_HUMAN	620	71831
128367	RBL2_HUMAN	1139	128367
8479	Q6UWG4_HUMAN	73	8479
65273	ACSM1_HUMAN	577	65273
86471	NSUN2_HUMAN	767	86471
84543	GIT2_HUMAN	759	84543
264161	EP300_HUMAN	2414	264161
61979	Q8IXW6_HUMAN	570	61979
10679	V5QQL9_HUMAN	93	10679
69556	BRME1_HUMAN	668	69556
399895	DYH14_HUMAN	3507	399895
93433	B3KXY5_HUMAN	799	93433
64219	GALT1_HUMAN	559	64219
43008	B4DX47_HUMAN	404	43008
39075	SIA4A_HUMAN	340	39075
42171	B4DUB1_HUMAN	378	42171
40283	A0A0J9YW16_HUMAN	355	40283
117378	KIF5A_HUMAN	1032	117378
91556	M4K2_HUMAN	820	91556
110249	MERTK_HUMAN	999	110249
165283	Q547U9_HUMAN	1464	165283
53860	A0A1B0GUI9_HUMAN	487	53860
43062	F8WCD0_HUMAN	398	43062
91882	EPS8_HUMAN	822	91882
74544	BFSP1_HUMAN	665	74544
100455	SULF2_HUMAN	870	100455
38479	B7Z6D0_HUMAN	337	38479
97598	ABR_HUMAN	859	97598
21541	H7C4S7_HUMAN	185	21541
102583	A0A8D9PH75_HUMAN	908	102583
23825	IL24_HUMAN	206	23825
177508	A0A2X0TW27_HUMAN	1591	177508
256720	AKAP6_HUMAN	2319	256720
188915	PRDM2_HUMAN	1718	188915
71989	TRI32_HUMAN	653	71989
30157	H0Y6T7_HUMAN	275	30157
265554	ACACA_HUMAN	2346	265554
52555	ABHGB_HUMAN	469	52555
31236	A0A384ME80_HUMAN	283	31236
121872	Q59GJ4_HUMAN	1065	121872
52254	LIPR3_HUMAN	467	52254
60647	PAK1_HUMAN	545	60647
35349	A0A126GVI8_HUMAN	313	35349
88386	MK07_HUMAN	816	88386
20811	Q8ND98_HUMAN	187	20811
56301	A0A384MR07_HUMAN	491	56301
138110	MMRN1_HUMAN	1228	138110
20513	X6RL45_HUMAN	176	20513
39587	A0JP65_HUMAN	363	39587
28233	Q9NYZ0_HUMAN	246	28233
51636	A0A804HIC9_HUMAN	458	51636
35057	A0A6Q8PH01_HUMAN	314	35057
37231	B4DIJ7_HUMAN	323	37231
41000	A0A6B7HGK7_HUMAN	366	41000
40989	A0A2I6J4D9_HUMAN	365	40989
118392	PTK7_HUMAN	1070	118392
98223	SP140_HUMAN	867	98223
47535	Q53EX1_HUMAN	419	47535
40956	F1T0A2_HUMAN	359	40956
181675	TARB1_HUMAN	1621	181675
68986	MSLN_HUMAN	630	68986
57528	A0A384NQ31_HUMAN	512	57528
113896	NNTM_HUMAN	1086	113896
57950	B4DSS1_HUMAN	519	57950
38287	A0A060VHF3_HUMAN	339	38287
85047	S39A6_HUMAN	755	85047
75562	OS9_HUMAN	667	75562
90556	ADAM9_HUMAN	819	90556
100146	NFAC2_HUMAN	925	100146
70755	A0A8V8TPV4_HUMAN	606	70755
69932	Q2VIP3_HUMAN	630	69932
47687	A0A0G2JNI0_HUMAN	423	47687
43923	NAR3_HUMAN	389	43923
18243	Q05BD2_HUMAN	161	18243
12580	E9PR78_HUMAN	111	12580
55103	Q6IT96_HUMAN	482	55103
62607	KCC2G_HUMAN	558	62607
44231	Q53HP9_HUMAN	413	44231
46053	E7EMC5_HUMAN	417	46053
67369	MTR1L_HUMAN	617	67369
125616	ASPP2_HUMAN	1128	125616
21569	G4XZD8_HUMAN	183	21569
128948	E9PFI2_HUMAN	1162	128948
22614	U3KQS4_HUMAN	203	22614
36204	A8MXR8_HUMAN	316	36204
44419	A0A2R8YD58_HUMAN	376	44419
21508	A6NFF4_HUMAN	184	21508
145234	F5H5V6_HUMAN	1322	145234
139678	Q7KZ41_HUMAN	1192	139678
46299	B4DMF1_HUMAN	408	46299
38434	Q6ZT96_HUMAN	339	38434
151254	NID2_HUMAN	1375	151254
56931	B4DZ87_HUMAN	501	56931
80760	BPL1_HUMAN	726	80760
65835	TRI29_HUMAN	588	65835
83630	BOP1_HUMAN	746	83630
69666	KEAP1_HUMAN	624	69666
65948	DPOA2_HUMAN	598	65948
73219	A0A494BZU0_HUMAN	642	73219
62184	DPYL1_HUMAN	572	62184
23630	ICT1_HUMAN	206	23630
152379	ZMYM3_HUMAN	1370	152379
532408	DYHC1_HUMAN	4646	532408
25396	C9J2I0_HUMAN	237	25396
33712	EI2BA_HUMAN	305	33712
29172	H7C3L9_HUMAN	257	29172
68685	Q59G44_HUMAN	627	68685
25391	A0A7T6ANF6_HUMAN	220	25391
21081	X2KYV2_HUMAN	181	21081
49001	B2RCS8_HUMAN	436	49001
76508	HIC1_HUMAN	733	76508
50343	K1H2_HUMAN	448	50343
63923	KLH23_HUMAN	558	63923
59594	B7Z3W2_HUMAN	508	59594
99969	DSC3_HUMAN	896	99969
226666	A0A1U9XBC1_HUMAN	2089	226666
147289	KANK1_HUMAN	1352	147289
26077	F8WB45_HUMAN	219	26077
106874	V9HWJ0_HUMAN	944	106874
83208	B1ALW7_HUMAN	738	83208
186796	LTBP1_HUMAN	1721	186796
376019	GOGB1_HUMAN	3259	376019
39320	F6IQI7_HUMAN	349	39320
55938	MEF2D_HUMAN	521	55938
51132	NPT1_HUMAN	467	51132
220625	ZN638_HUMAN	1978	220625
97170	A0A126LAV0_HUMAN	871	97170
28366	Q24K26_HUMAN	245	28366
39942	G5EA37_HUMAN	364	39942
55877	A0A126LB20_HUMAN	490	55877
75689	FAKD3_HUMAN	662	75689
11986	H3BPG4_HUMAN	108	11986
44244	FL2D_HUMAN	396	44244
143157	SETB1_HUMAN	1291	143157
87499	ARHG6_HUMAN	776	87499
74891	WDR43_HUMAN	677	74891
34060	D9UB28_HUMAN	298	34060
25734	R4GNH0_HUMAN	231	25734
122728	PLCL1_HUMAN	1095	122728
47972	F172A_HUMAN	416	47972
46154	IF4A1_HUMAN	406	46154
62225	PGM5_HUMAN	567	62225
39381	B2R9I6_HUMAN	337	39381
39607	Q59FJ7_HUMAN	342	39607
54190	STK38_HUMAN	465	54190
23025	Q6ZN47_HUMAN	202	23025
51772	IRF4_HUMAN	451	51772
76063	C9JHC0_HUMAN	661	76063
47237	E5KPM5_HUMAN	424	47237
95115	DLGP5_HUMAN	846	95115
90291	TLR1_HUMAN	786	90291
54383	F1D8S0_HUMAN	480	54383
552042	RYR3_HUMAN	4870	552042
36414	B3KP74_HUMAN	324	36414
44386	SF3B4_HUMAN	424	44386
114192	A0A024R0I2_HUMAN	976	114192
86161	MAGD1_HUMAN	778	86161
46413	A0A0H4IV28_HUMAN	423	46413
55042	KANL2_HUMAN	492	55042
28058	B2RD36_HUMAN	245	28058
142955	STIL_HUMAN	1287	142955
40259	Q05BW2_HUMAN	363	40259
33601	B1AHR1_HUMAN	294	33601
43013	B4DJC2_HUMAN	391	43013
159157	NCOA2_HUMAN	1464	159157
109677	T22D1_HUMAN	1073	109677
56598	Q59F41_HUMAN	504	56598
41361	NDF2_HUMAN	382	41361
156757	NCOA1_HUMAN	1441	156757
52306	Q53XR6_HUMAN	467	52306
52260	SMAD1_HUMAN	465	52260
59765	KCNKA_HUMAN	538	59765
66453	STXB2_HUMAN	593	66453
47968	A0A8I5KUH5_HUMAN	427	47968
9072	I3L113_HUMAN	79	9072
36955	A0A140VJF3_HUMAN	326	36955
226372	SCN9A_HUMAN	1988	226372
24489	K7EMN4_HUMAN	221	24489
40217	A0A286MCG5_HUMAN	362	40217
42153	H0YE86_HUMAN	388	42153
70082	M0R344_HUMAN	663	70082
76048	A0A590UJS8_HUMAN	693	76048
103932	PKN1_HUMAN	942	103932
60948	B7Z5S3_HUMAN	536	60948
33199	HLF_HUMAN	295	33199
86247	PCSK7_HUMAN	785	86247
34777	Q9HA55_HUMAN	312	34777
42875	B8ZZ31_HUMAN	396	42875
7909	NREP_HUMAN	68	7909
27436	OBF1_HUMAN	256	27436
51472	A8K0W0_HUMAN	460	51472
36431	A0A8I5KXM7_HUMAN	325	36431
55254	A0A0G2JP20_HUMAN	478	55254
62750	AMHR2_HUMAN	573	62750
14509	B4DEA9_HUMAN	134	14509
46140	Q8NHK8_HUMAN	417	46140
42047	A8K3K1_HUMAN	377	42047
52352	FOXG1_HUMAN	489	52352
134197	AT2B3_HUMAN	1220	134197
134525	DGKD_HUMAN	1214	134525
23845	I3L3I0_HUMAN	214	23845
21726	Q7Z5E7_HUMAN	208	21726
44957	B4DS09_HUMAN	405	44957
40173	B3KU34_HUMAN	352	40173
57278	LGSN_HUMAN	509	57278
32056	E5KSL5_HUMAN	277	32056
61438	CGT_HUMAN	541	61438
53097	DOK7_HUMAN	504	53097
67647	SC5AC_HUMAN	618	67647
37815	B1ALP6_HUMAN	351	37815
34787	DOXA2_HUMAN	320	34787
63469	INSC_HUMAN	579	63469
26171	O19508_HUMAN	225	26171
27412	D6RGZ5_HUMAN	240	27412
555482	BLTP1_HUMAN	5005	555482
144605	ZN423_HUMAN	1284	144605
103885	Q3ZCQ6_HUMAN	943	103885
138641	ABCB5_HUMAN	1257	138641
54249	HYAL4_HUMAN	481	54249
141103	F4MH29_HUMAN	1263	141103
93385	H0Y4D2_HUMAN	831	93385
86436	A1L3Z9_HUMAN	776	86436
57544	A0MNN4_HUMAN	513	57544
212860	ATG2A_HUMAN	1938	212860
140035	KIF4B_HUMAN	1234	140035
80591	UVSSA_HUMAN	709	80591
88393	MYLK3_HUMAN	819	88393
77361	ZN750_HUMAN	723	77361
89253	LRRF1_HUMAN	808	89253
62730	Q0D2M6_HUMAN	560	62730
41259	Q96HU3_HUMAN	373	41259
68414	ANR55_HUMAN	614	68414
71577	B4DI99_HUMAN	634	71577
26483	A0A7L4X7F3_HUMAN	232	26483
6267	M0R105_HUMAN	54	6267
21701	S6CR83_HUMAN	183	21701
38941	Q8TES5_HUMAN	348	38941
99190	PA24E_HUMAN	868	99190
44955	E0Z3E7_HUMAN	424	44955
22573	SHSL1_HUMAN	199	22573
101746	AL1L2_HUMAN	923	101746
45787	AUP1_HUMAN	410	45787
38196	U6BQR3_HUMAN	337	38196
39646	TIM50_HUMAN	353	39646
45816	ZACN_HUMAN	412	45816
202800	PAR14_HUMAN	1801	202800
33705	A0A7I2YQ71_HUMAN	310	33705
62622	CERKL_HUMAN	558	62622
575892	HYDIN_HUMAN	5121	575892
20002	L8ECD7_HUMAN	216	20002
75556	TPRN_HUMAN	711	75556
130382	FIL1L_HUMAN	1135	130382
390170	SVEP1_HUMAN	3571	390170
8933	K7EIQ0_HUMAN	81	8933
118085	AMOT_HUMAN	1084	118085
142064	RHG29_HUMAN	1261	142064
107425	SEZ6_HUMAN	994	107425
51658	B9EED1_HUMAN	460	51658
63277	B4DVR3_HUMAN	560	63277
17092	Q9H9C0_HUMAN	155	17092
79254	A0A140VJH4_HUMAN	710	79254
47137	A0A023T695_HUMAN	407	47137
78034	SETMR_HUMAN	684	78034
49715	I6WZ08_HUMAN	436	49715
54544	RHG15_HUMAN	475	54544
68832	TAF1B_HUMAN	588	68832
211697	WDR81_HUMAN	1941	211697
68307	ESCO2_HUMAN	601	68307
150537	M3K19_HUMAN	1328	150537
24306	A0A411CX25_HUMAN	212	24306
95613	PAN3_HUMAN	887	95613
96292	DCAF6_HUMAN	860	96292
18822	AR2BP_HUMAN	163	18822
55606	AG10A_HUMAN	473	55606
37779	B4DUZ5_HUMAN	347	37779
41899	M0QXN6_HUMAN	392	41899
65654	ZN326_HUMAN	582	65654
15260	H0YKE4_HUMAN	133	15260
248073	FILA2_HUMAN	2391	248073
46120	Q96QL0_HUMAN	403	46120
38830	Q17RX7_HUMAN	340	38830
16131	Q6ZVM6_HUMAN	150	16131
10061	U3KQ83_HUMAN	83	10061
62028	DJC21_HUMAN	531	62028
64030	B4DTH1_HUMAN	564	64030
82012	B3KRG2_HUMAN	718	82012
108173	PIGG_HUMAN	983	108173
20087	Q9UKC5_HUMAN	173	20087
117413	PREP_HUMAN	1037	117413
237671	DOC11_HUMAN	2073	237671
107340	SYAM_HUMAN	985	107340
34526	Q9NY94_HUMAN	333	34526
141829	DGKK_HUMAN	1271	141829
44183	S35D3_HUMAN	416	44183
38122	B7Z7H0_HUMAN	333	38122
75483	SMAG2_HUMAN	694	75483
26068	RTP2_HUMAN	225	26068
13291	Q96JR4_HUMAN	114	13291
72236	Q05BN9_HUMAN	657	72236
54545	A0A075B720_HUMAN	480	54545
16650	Q9H7K6_HUMAN	162	16650
118490	A0A5F9ZHJ2_HUMAN	1072	118490
82700	DACT2_HUMAN	774	82700
159433	SNPC4_HUMAN	1469	159433
79323	A0A804HL61_HUMAN	697	79323
91808	CE85L_HUMAN	805	91808
36439	UTF1_HUMAN	341	36439
42009	Q6W7A2_HUMAN	384	42009
45124	Q6KC49_HUMAN	417	45124
97113	HECD3_HUMAN	861	97113
67592	GT253_HUMAN	595	67592
22878	A0A2R8Y4N8_HUMAN	222	22878
9507	A0A1B0GXA9_HUMAN	86	9507
104753	GPC6A_HUMAN	926	104753
32416	G3XAA5_HUMAN	285	32416
10982	K7ELQ7_HUMAN	98	10982
11180	Q59GT0_HUMAN	104	11180
13906	Q9BZ61_HUMAN	124	13906
66852	DCAF8_HUMAN	597	66852
338875	FRY_HUMAN	3013	338875
142737	TTBK1_HUMAN	1321	142737
125289	SPD2A_HUMAN	1133	125289
72049	THMS2_HUMAN	643	72049
8808	Q96GC1_HUMAN	76	8808
491916	VP13D_HUMAN	4388	491916
11955	Q9NZY7_HUMAN	110	11955
104194	A0A140VKH9_HUMAN	902	104194
274466	RIF1_HUMAN	2472	274466
94405	Q59FR3_HUMAN	821	94405
32215	A0A0U1RRG6_HUMAN	270	32215
42078	B2R8L0_HUMAN	372	42078
197307	MRCKA_HUMAN	1732	197307
156020	RPRD2_HUMAN	1461	156020
117763	A0A087X1S9_HUMAN	1069	117763
177544	PPRC1_HUMAN	1664	177544
241008	MALR1_HUMAN	2156	241008
81116	OBI1_HUMAN	726	81116
21666	A0A3S6RH47_HUMAN	183	21666
60664	FBX31_HUMAN	539	60664
591407	RN213_HUMAN	5207	591407
34280	AP1AR_HUMAN	302	34280
152580	TENS2_HUMAN	1409	152580
66463	DCA15_HUMAN	600	66463
151201	FTM_HUMAN	1315	151201
155266	TENS3_HUMAN	1445	155266
50827	NR3L1_HUMAN	454	50827
20326	A0A3B3IU62_HUMAN	182	20326
71110	S6A19_HUMAN	634	71110
16991	Q14015_HUMAN	150	16991
48139	MK09_HUMAN	424	48139
65137	SCAR3_HUMAN	606	65137
56259	TRI68_HUMAN	485	56259
20658	Q6MZN6_HUMAN	178	20658
31458	Q19K87_HUMAN	273	31458
159485	BLT3A_HUMAN	1440	159485
111624	MCTP1_HUMAN	999	111624
22555	B4DDM8_HUMAN	204	22555
37106	F5GWR3_HUMAN	340	37106
79285	Q6ZS54_HUMAN	733	79285
35119	A0A126GW16_HUMAN	312	35119
95368	P4R3A_HUMAN	833	95368
44647	A8K1F6_HUMAN	412	44647
71105	GRHL2_HUMAN	625	71105
47577	Q5GJ68_HUMAN	407	47577
44504	CPZIP_HUMAN	416	44504
50525	K2C80_HUMAN	452	50525
50662	A0A1U9X8V7_HUMAN	473	50662
131603	HPHL1_HUMAN	1159	131603
90247	LRC8E_HUMAN	796	90247
48869	S18B1_HUMAN	456	48869
61958	CP4FN_HUMAN	531	61958
37743	MRNIP_HUMAN	343	37743
63967	Q68D27_HUMAN	575	63967
53354	SCMC1_HUMAN	477	53354
99358	PR40B_HUMAN	871	99358
55068	A8K4S2_HUMAN	490	55068
27269	FXL22_HUMAN	247	27269
163081	PLB1_HUMAN	1458	163081
61968	F117B_HUMAN	589	61968
113448	L2GL2_HUMAN	1020	113448
43426	B4DPB1_HUMAN	396	43426
151661	EDC4_HUMAN	1401	151661
103709	A0A2R8Y7P6_HUMAN	957	103709
41685	Q6FG43_HUMAN	379	41685
15420	K7ELF3_HUMAN	151	15420
44256	H0Y2X5_HUMAN	405	44256
29336	Q9NPW9_HUMAN	248	29336
61904	CNKR3_HUMAN	555	61904
133502	CTR9_HUMAN	1173	133502
40837	A0A0G2JM13_HUMAN	416	40837
53444	ULK3_HUMAN	472	53444
73563	SYDM_HUMAN	645	73563
25498	H0YAY5_HUMAN	236	25498
66860	R9Y4F5_HUMAN	603	66860
35740	TMED8_HUMAN	325	35740
257363	GP179_HUMAN	2367	257363
25959	B4DW99_HUMAN	225	25959
55728	B2RCT6_HUMAN	499	55728
41213	Q05CU4_HUMAN	360	41213
55513	O60432_HUMAN	512	55513
15961	H7C3E8_HUMAN	148	15961
42441	Q63HR1_HUMAN	387	42441
121363	POTEE_HUMAN	1075	121363
179135	NHS_HUMAN	1651	179135
297913	ANR11_HUMAN	2663	297913
66526	FIP1_HUMAN	594	66526
66959	CRTC3_HUMAN	619	66959
130501	A9LNM6_HUMAN	1135	130501
82795	B4DH43_HUMAN	830	82795
21198	H3BQ57_HUMAN	192	21198
32289	PARM1_HUMAN	310	32289
9173	J3QSG5_HUMAN	83	9173
75093	KIRR2_HUMAN	708	75093
26936	A0A7R8C4V8_HUMAN	239	26936
61450	E7EQ67_HUMAN	529	61450
30176	E5RGR6_HUMAN	264	30176
78990	ISLR2_HUMAN	745	78990
35079	A0A126GV64_HUMAN	313	35079
58987	A0A8V8TND4_HUMAN	523	58987
542687	FAT4_HUMAN	4981	542687
136394	E9PE96_HUMAN	1217	136394
17851	H0YBJ1_HUMAN	163	17851
23307	B4DMU4_HUMAN	206	23307
52684	ZNT10_HUMAN	485	52684
59127	SYT10_HUMAN	523	59127
56157	M0QZX2_HUMAN	488	56157
161689	CD109_HUMAN	1445	161689
144569	A0A7P0Z4N9_HUMAN	1263	144569
47254	A0A1W2PQG9_HUMAN	427	47254
122330	BNC2_HUMAN	1099	122330
52740	ZFP2_HUMAN	461	52740
175067	CC141_HUMAN	1530	175067
59246	B4DZ56_HUMAN	549	59246
127122	FA83H_HUMAN	1179	127122
132308	RIPR1_HUMAN	1223	132308
33009	Q7Z376_HUMAN	290	33009
82798	PPR3F_HUMAN	799	82798
97977	CDHR3_HUMAN	885	97977
136760	CRACD_HUMAN	1233	136760
79163	K0408_HUMAN	694	79163
34110	NKAP1_HUMAN	292	34110
24486	I3L3I6_HUMAN	224	24486
35501	Q05BM1_HUMAN	309	35501
58503	A8K7F7_HUMAN	522	58503
120806	UBP53_HUMAN	1073	120806
187388	UBP54_HUMAN	1684	187388
122809	UBP43_HUMAN	1123	122809
39309	B7ZAR4_HUMAN	344	39309
50191	B3KML4_HUMAN	443	50191
47522	CENPU_HUMAN	418	47522
33788	A0A087WWT8_HUMAN	296	33788
54888	NCKX5_HUMAN	500	54888
54519	HAKAI_HUMAN	491	54519
79929	MTSS2_HUMAN	747	79929
153604	ATS13_HUMAN	1427	153604
52965	TR61B_HUMAN	477	52965
82695	SV2A_HUMAN	742	82695
88723	TRIL_HUMAN	811	88723
47347	TM10C_HUMAN	403	47347
48043	5MP2_HUMAN	419	48043
32055	B3KQ71_HUMAN	281	32055
74355	MEPCE_HUMAN	689	74355
65531	MIGA2_HUMAN	593	65531
49238	B0QZ35_HUMAN	444	49238
56690	ATOSB_HUMAN	538	56690
45287	H0Y9P3_HUMAN	407	45287
70370	EPMIP_HUMAN	607	70370
84419	MEP1A_HUMAN	746	84419
86988	Q59GY6_HUMAN	776	86988
69248	GRP2_HUMAN	609	69248
64926	CHSTF_HUMAN	561	64926
34562	A0A140TA55_HUMAN	314	34562
113312	NLRP9_HUMAN	991	113312
34970	D7NTK7_HUMAN	303	34970
128533	OTOAN_HUMAN	1153	128533
53076	S36A1_HUMAN	476	53076
178479	NRK_HUMAN	1582	178479
210857	TICRR_HUMAN	1910	210857
302880	SETX_HUMAN	2677	302880
120966	KANL1_HUMAN	1105	120966
96919	LYCHS_HUMAN	870	96919
49403	PANKY_HUMAN	452	49403
61437	B4DQP7_HUMAN	545	61437
190359	MON2_HUMAN	1717	190359
76121	NUFP2_HUMAN	695	76121
56528	A0A059QMF7_HUMAN	509	56528
155236	DHX29_HUMAN	1369	155236
150937	TT21B_HUMAN	1316	150937
8247	J3KTF0_HUMAN	78	8247
136888	Z804A_HUMAN	1209	136888
68976	PODN_HUMAN	613	68976
242112	SDK1_HUMAN	2213	242112
64944	A8K6Q7_HUMAN	584	64944
33200	H3BSL6_HUMAN	299	33200
36128	CMKMT_HUMAN	323	36128
67740	Q5SQI5_HUMAN	596	67740
32834	BTLA_HUMAN	289	32834
43194	E9PHI6_HUMAN	407	43194
74892	B5A937_HUMAN	664	74892
43958	MTEF4_HUMAN	381	43958
61901	B4DXE3_HUMAN	535	61901
64950	PXK_HUMAN	578	64950
117895	TARSH_HUMAN	1068	117895
448664	VP13B_HUMAN	4022	448664
25943	T126B_HUMAN	230	25943
88169	ZER1_HUMAN	766	88169
29714	A0A6V6XY85_HUMAN	261	29714
34297	O10G2_HUMAN	310	34297
11305	A0A8S4QAS5_HUMAN	97	11305
74806	NEK8_HUMAN	692	74806
113824	DSG4_HUMAN	1040	113824
142158	PHLB2_HUMAN	1253	142158
56188	SYT9_HUMAN	491	56188
110170	UBP37_HUMAN	979	110170
237013	ALPK2_HUMAN	2170	237013
98263	DPP9_HUMAN	863	98263
71154	DDX53_HUMAN	631	71154
84173	ARMD4_HUMAN	774	84173
48731	B4DF01_HUMAN	476	48731
29328	Q5SY38_HUMAN	270	29328
42637	R3GEF_HUMAN	382	42637
28504	A0A1W2PPB1_HUMAN	254	28504
57564	Q6IBR2_HUMAN	508	57564
98637	B4DGE7_HUMAN	875	98637
87752	CAD24_HUMAN	819	87752
28547	TRI74_HUMAN	250	28547
147735	K0825_HUMAN	1275	147735
67246	DTX2_HUMAN	622	67246
43884	PAQR2_HUMAN	386	43884
76138	A2VDI4_HUMAN	674	76138
137763	IGFN1_HUMAN	1251	137763
65896	LRRT3_HUMAN	581	65896
65085	E5RH72_HUMAN	584	65085
106378	ZCH18_HUMAN	953	106378
97702	B9VJ70_HUMAN	858	97702
80554	A0A384MDJ7_HUMAN	697	80554
60404	A0A140VJY8_HUMAN	553	60404
63843	ARHGP_HUMAN	580	63843
75032	B4E014_HUMAN	649	75032
23949	Q9NTC5_HUMAN	214	23949
55262	ZC3C1_HUMAN	502	55262
42120	Q53FH2_HUMAN	378	42120
13856	J3KRK4_HUMAN	118	13856
42193	STING_HUMAN	379	42193
71439	Q53HR8_HUMAN	677	71439
75214	B7Z9I0_HUMAN	672	75214
90468	CTSRD_HUMAN	798	90468
27730	Q14650_HUMAN	236	27730
58141	Q53FJ5_HUMAN	524	58141
57335	A0A2S0BDD1_HUMAN	505	57335
60861	AGRG3_HUMAN	549	60861
107569	XYLT1_HUMAN	959	107569
93521	DAAF5_HUMAN	855	93521
49793	F90A1_HUMAN	464	49793
113222	PRGC2_HUMAN	1023	113222
110447	C2CD5_HUMAN	1000	110447
70411	A0A140VJR9_HUMAN	608	70411
282390	HORN_HUMAN	2850	282390
130843	HIPK1_HUMAN	1210	130843
61688	I2BP1_HUMAN	584	61688
9288	Q14820_HUMAN	80	9288
128086	RB6I2_HUMAN	1116	128086
17141	M0R3H6_HUMAN	156	17141
75509	ARMC8_HUMAN	673	75509
