diseaseid	disease_name	disease_class	disease_class_name	disease_semantic_type	hpo_name	do_name	source	num_genes	num_variants	num_diseases	type
C0019569	Hirschsprung Disease	C16;C06	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system; Abnormality of the nervous system	disease of anatomical entity	GWASCAT	3	16	32	disease
C0019572	Hirsutism	C23;C17	   Pathological Conditions, Signs and Symptoms;    Skin and Connective Tissue Diseases	Finding	Abnormality of the integument	disease of anatomical entity	GWASCAT	4	4	45	phenotype
C0019693	HIV Infections	C01;C20	   Infections;    Immune System Diseases	Disease or Syndrome		disease by infectious agent	GWASCAT	4	95	118	group
C0019829	Hodgkin Disease	C04;C20;C15	   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases	Neoplastic Process	Neoplasm; Abnormality of blood and blood-forming tissues	disease of anatomical entity; disease of cellular proliferation	GWASCAT	30	41	155	disease
C0020490	Hyperopia	C11	   Eye Diseases	Disease or Syndrome	Abnormality of the eye	disease of anatomical entity	GWASCAT	4	6	70	disease
C0020517	Hypersensitivity	C20	   Immune System Diseases	Pathologic Function	Abnormality of the immune system	disease of anatomical entity	GWASCAT	1	1	93	group
C0020538	Hypertensive disease	C14	   Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	91	177	266	group
C0020550	Hyperthyroidism	C19	   Endocrine System Diseases	Disease or Syndrome	Abnormality of the endocrine system	disease of anatomical entity	GWASCAT	8	9	51	disease
C0020557	Hypertriglyceridemia	C18	   Nutritional and Metabolic Diseases	Disease or Syndrome			GWASCAT	7	16	103	phenotype
C0020608	Hypodontia	C16;C07	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Stomatognathic Diseases	Congenital Abnormality	Abnormality of head or neck	disease of anatomical entity	GWASCAT	5	8	57	disease
C0020676	Hypothyroidism	C19	   Endocrine System Diseases	Disease or Syndrome	Abnormality of the endocrine system	disease of anatomical entity	GWASCAT	104	185	286	disease
C0021053	Immune System Diseases	C20	   Immune System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	12	17	141	group
C0021390	Inflammatory Bowel Diseases	C06	   Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system; Abnormality of the immune system	disease of anatomical entity	GWASCAT	178	354	387	group
C0021603	Sleep Initiation and Maintenance Disorders	C10;F03	   Nervous System Diseases;    Mental Disorders	Disease or Syndrome			GWASCAT	12	26	51	disease
C0021655	Insulin Resistance	C18	   Nutritional and Metabolic Diseases	Pathologic Function	Abnormality of metabolism/homeostasis		GWASCAT	4	10	13	phenotype
C0021704	Intelligence	F01	   Behavior and Behavior Mechanisms	Mental Process			GWASCAT	643	2089	497	phenotype
C0021831	Intestinal Diseases	C06	   Digestive System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	4	8	54	group
C0022104	Irritable Bowel Syndrome	C06	   Digestive System Diseases	Disease or Syndrome		syndrome	GWASCAT	1	1	4	disease
C0022336	Creutzfeldt-Jakob disease	C01;C10;F03	   Infections;    Nervous System Diseases;    Mental Disorders	Disease or Syndrome		disease of anatomical entity	GWASCAT	2	6	1	disease
C0022548	Keloid	C23;C17	   Pathological Conditions, Signs and Symptoms;    Skin and Connective Tissue Diseases	Acquired Abnormality	Abnormality of the integument; Abnormality of connective tissue		GWASCAT	1	4	3	disease
C0022578	Keratoconus	C11	   Eye Diseases	Disease or Syndrome	Abnormality of the eye	disease of anatomical entity	GWASCAT	2	3	3	disease
C0022650	Kidney Calculi	C23;C13;C12	   Pathological Conditions, Signs and Symptoms;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	4	5	24	disease
C0022658	Kidney Diseases	C13;C12	   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome	Abnormality of the genitourinary system	disease of anatomical entity	GWASCAT	4	6	28	group
C0022661	Kidney Failure, Chronic	C13;C12	   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	107	236	327	disease
C0023114	Handedness			Organism Attribute			GWASCAT	9	14	32	phenotype
C0023343	Leprosy	C01	   Infections	Disease or Syndrome		disease of anatomical entity; disease by infectious agent	GWASCAT	16	34	99	disease
C0023434	Chronic Lymphocytic Leukemia	C04;C20;C15	   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases	Neoplastic Process	Abnormality of the immune system; Neoplasm; Abnormality of blood and blood-forming tissues	disease of anatomical entity; disease of cellular proliferation	GWASCAT	62	118	228	disease
C0023467	Leukemia, Myelocytic, Acute	C04	   Neoplasms	Neoplastic Process	Abnormality of the immune system; Neoplasm; Abnormality of blood and blood-forming tissues	disease of anatomical entity; disease of cellular proliferation	GWASCAT	667	6523	489	disease
C0023485	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	C04;C20;C15	   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases	Neoplastic Process			GWASCAT	8	13	78	disease
C0023508	White Blood Cell Count procedure			Laboratory Procedure			GWASCAT	623	1003	532	phenotype
C0023530	Leukopenia	C15	   Hemic and Lymphatic Diseases	Disease or Syndrome	Abnormality of the immune system; Abnormality of blood and blood-forming tissues	disease of anatomical entity	GWASCAT	3	6	69	disease
C0023890	Liver Cirrhosis	C23;C06	   Pathological Conditions, Signs and Symptoms;    Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system	disease of anatomical entity	GWASCAT	9	13	46	disease
C0023891	Liver Cirrhosis, Alcoholic	C23;C06;C25	   Pathological Conditions, Signs and Symptoms;    Digestive System Diseases;    Chemically-Induced Disorders	Disease or Syndrome		disease of anatomical entity	GWASCAT	3	4	46	disease
C0023892	Biliary cirrhosis	C23;C06	   Pathological Conditions, Signs and Symptoms;    Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system	disease of anatomical entity	GWASCAT	21	35	145	disease
C0023980	Longevity			Temporal Concept			GWASCAT	48	74	202	phenotype
C0024117	Chronic Obstructive Airway Disease	C08	   Respiratory Tract Diseases	Disease or Syndrome	Abnormality of the respiratory system	disease of anatomical entity	GWASCAT	203	529	377	disease
C0024137	Lupus Erythematosus, Cutaneous	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	7	7	57	disease
C0024141	Lupus Erythematosus, Systemic	C17;C20	   Skin and Connective Tissue Diseases;    Immune System Diseases	Disease or Syndrome	Abnormality of the immune system	disease of anatomical entity	GWASCAT	185	439	307	disease
C0024143	Lupus Nephritis	C13;C17;C12;C20	   Female Urogenital Diseases and Pregnancy Complications;    Skin and Connective Tissue Diseases;    Male Urogenital Diseases;    Immune System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	5	12	28	disease
C0024299	Lymphoma	C04;C20;C15	   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases	Neoplastic Process	Neoplasm; Abnormality of blood and blood-forming tissues	disease of anatomical entity; disease of cellular proliferation	GWASCAT	4	8	20	group
C0024530	Malaria	C01	   Infections	Disease or Syndrome		disease by infectious agent	GWASCAT	17	27	119	disease
C0024809	Marijuana Abuse	C25;F03	   Chemically-Induced Disorders;    Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	2	5	9	disease
C0024966	Maximal Midexpiratory Flow Rate			Clinical Attribute			GWASCAT	1	2	1	phenotype
C0024967	Maximal Voluntary Ventilation			Finding			GWASCAT	1	3	22	phenotype
C0025202	melanoma	C04	   Neoplasms	Neoplastic Process	Neoplasm	disease of cellular proliferation	GWASCAT	25	35	161	disease
C0025209	Melanosis	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome			GWASCAT	10	18	56	disease
C0025265	Memory, Short-Term			Mental Process			GWASCAT	10	18	31	phenotype
C0025286	Meningioma	C04;C10	   Neoplasms;    Nervous System Diseases	Neoplastic Process	Abnormality of the nervous system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	1	2	11	disease
C0025295	Meningitis, Pneumococcal	C01;C10	   Infections;    Nervous System Diseases	Disease or Syndrome			GWASCAT	3	5	7	disease
C0025323	Menorrhagia	C23;C13	   Pathological Conditions, Signs and Symptoms;    Female Urogenital Diseases and Pregnancy Complications	Pathologic Function	Abnormality of the genitourinary system; Abnormality of the endocrine system; Abnormality of blood and blood-forming tissues		GWASCAT	1	3	9	phenotype
C0026267	Mitral Valve Prolapse Syndrome	C14	   Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	genetic disease; disease of anatomical entity	GWASCAT	4	7	32	disease
C0026470	Monoclonal Gammopathy of Undetermined Significance	C20;C15	   Immune System Diseases;    Hemic and Lymphatic Diseases	Neoplastic Process		disease of anatomical entity	GWASCAT	7	8	112	disease
C0026603	Motion Sickness	C23	   Pathological Conditions, Signs and Symptoms	Disease or Syndrome		disease of anatomical entity	GWASCAT	21	35	87	disease
C0026654	Moyamoya Disease	C10;C14	   Nervous System Diseases;    Cardiovascular Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	19	30	117	disease
C0026691	Mucocutaneous Lymph Node Syndrome	C17;C15;C14	   Skin and Connective Tissue Diseases;    Hemic and Lymphatic Diseases;    Cardiovascular Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	17	23	49	disease
C0026764	Multiple Myeloma	C04;C20;C15;C14	   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases;    Cardiovascular Diseases	Neoplastic Process	Neoplasm; Abnormality of blood and blood-forming tissues	disease of anatomical entity; disease of cellular proliferation	GWASCAT	49	80	196	disease
C0026769	Multiple Sclerosis	C20;C10	   Immune System Diseases;    Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	146	280	295	disease
C0026848	Myopathy	C05;C10	   Musculoskeletal Diseases;    Nervous System Diseases	Disease or Syndrome	Abnormality of the musculature	disease of anatomical entity	GWASCAT	5	11	27	group
C0026896	Myasthenia Gravis	C04;C20;C10	   Neoplasms;    Immune System Diseases;    Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	7	10	86	disease
C0027022	Myeloproliferative disease	C15	   Hemic and Lymphatic Diseases	Neoplastic Process	Abnormality of the immune system; Neoplasm; Abnormality of blood and blood-forming tissues	disease of anatomical entity; disease of cellular proliferation	GWASCAT	1	3	12	group
C0027051	Myocardial Infarction	C23;C14	   Pathological Conditions, Signs and Symptoms;    Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	34	58	234	disease
C0027092	Myopia	C11	   Eye Diseases	Disease or Syndrome	Abnormality of the eye	disease of anatomical entity	GWASCAT	45	52	158	disease
C0027121	Myositis	C05;C10	   Musculoskeletal Diseases;    Nervous System Diseases	Disease or Syndrome	Abnormality of the immune system; Abnormality of the musculature	disease of anatomical entity	GWASCAT	20	39	100	disease
C0027404	Narcolepsy	C10;F03	   Nervous System Diseases;    Mental Disorders	Disease or Syndrome	Abnormality of the nervous system	disease of mental health	GWASCAT	9	18	78	disease
C0027412	Opioid-Related Disorders	C25;F03	   Chemically-Induced Disorders;    Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	6	23	32	group
C0027430	Nasal Polyps	C23;C08;C09	   Pathological Conditions, Signs and Symptoms;    Respiratory Tract Diseases;    Otorhinolaryngologic Diseases	Disease or Syndrome	Abnormality of head or neck		GWASCAT	14	18	175	disease
C0027439	Nasopharyngeal Neoplasms	C04;C07;C09	   Neoplasms;    Stomatognathic Diseases;    Otorhinolaryngologic Diseases	Neoplastic Process	Neoplasm; Abnormality of head or neck; Abnormality of the respiratory system	disease of anatomical entity; disease of cellular proliferation	GWASCAT	12	19	193	group
C0027708	Nephroblastoma	C16;C04;C13;C12	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Neoplasms;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Neoplastic Process	Abnormality of the genitourinary system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	4	7	25	disease
C0027726	Nephrotic Syndrome	C13;C12	   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome	Abnormality of the genitourinary system	genetic disease; disease of anatomical entity	GWASCAT	8	14	129	group
C0027769	Nervousness	F01	   Behavior and Behavior Mechanisms	Sign or Symptom			GWASCAT	6	12	43	phenotype
C0027819	Neuroblastoma	C04	   Neoplasms	Neoplastic Process	Abnormality of the nervous system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	13	20	69	disease
C0027873	Neuromyelitis Optica	C11;C20;C10	   Eye Diseases;    Immune System Diseases;    Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	1	2	23	disease
C0027902	Neuropsychological Tests			Diagnostic Procedure			GWASCAT	12	24	41	phenotype
C0027932	Neurotic Disorders	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	3	4	18	group
C0027960	Nevus	C04	   Neoplasms	Neoplastic Process	Abnormality of the integument		GWASCAT	2	4	18	disease
C0028754	Obesity	C23;C18	   Pathological Conditions, Signs and Symptoms;    Nutritional and Metabolic Diseases	Disease or Syndrome	Growth abnormality	disease of metabolism	GWASCAT	67	119	204	disease
C0028768	Obsessive-Compulsive Disorder	F03	   Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	7	15	29	disease
C0029401	Osteitis Deformans	C05	   Musculoskeletal Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	6	10	12	disease
C0029408	Degenerative polyarthritis	C05	   Musculoskeletal Diseases	Disease or Syndrome	Abnormality of the skeletal system	disease of anatomical entity	GWASCAT	35	48	152	disease
C0029410	Osteoarthritis of hip	C05	   Musculoskeletal Diseases	Disease or Syndrome	Abnormality of the skeletal system		GWASCAT	49	81	213	disease
C0029445	Bone necrosis	C23;C05	   Pathological Conditions, Signs and Symptoms;    Musculoskeletal Diseases	Pathologic Function	Abnormality of the skeletal system	disease of anatomical entity	GWASCAT	4	5	40	phenotype
C0029456	Osteoporosis	C18;C05	   Nutritional and Metabolic Diseases;    Musculoskeletal Diseases	Disease or Syndrome	Abnormality of the skeletal system	disease of anatomical entity	GWASCAT	11	14	61	disease
C0029463	Osteosarcoma	C04	   Neoplasms	Neoplastic Process	Neoplasm; Abnormality of the skeletal system	disease of anatomical entity; disease of cellular proliferation	GWASCAT	5	7	24	disease
C0029489	Other alopecia	C23;C17	   Pathological Conditions, Signs and Symptoms;    Skin and Connective Tissue Diseases	Disease or Syndrome			GWASCAT	39	104	171	phenotype
C0029516	Other and unspecified reactive psychosis	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	6	6	22	disease
C0029587	Other eating disorders	F03	   Mental Disorders	Mental or Behavioral Dysfunction			GWASCAT	6	11	22	group
C0029882	Otitis Media	C09	   Otorhinolaryngologic Diseases	Disease or Syndrome	Abnormality of the immune system; Abnormality of the ear	disease of anatomical entity	GWASCAT	2	3	5	disease
C0029899	Otosclerosis	C09	   Otorhinolaryngologic Diseases	Disease or Syndrome	Abnormality of the ear	disease of anatomical entity	GWASCAT	1	1	10	disease
C0029925	Ovarian Carcinoma	C04;C13;C19	   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications;    Endocrine System Diseases	Neoplastic Process			GWASCAT	1	1	4	disease
C0030193	Pain	C23	   Pathological Conditions, Signs and Symptoms	Sign or Symptom	Constitutional symptom		GWASCAT	1	5	1	phenotype
C0030319	Panic Disorder	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	4	8	11	disease
C0030489	Paraproteinemias	C20;C15	   Immune System Diseases;    Hemic and Lymphatic Diseases	Disease or Syndrome	Abnormality of metabolism/homeostasis; Abnormality of the immune system; Abnormal cellular phenotype	disease of anatomical entity; disease of cellular proliferation	GWASCAT	7	8	112	disease
C0030567	Parkinson Disease	C10	   Nervous System Diseases	Disease or Syndrome		genetic disease; disease of anatomical entity	GWASCAT	85	156	205	disease
C0030605	Activated Partial Thromboplastin Time measurement			Laboratory Procedure			GWASCAT	16	22	140	phenotype
C0030662	Gambling, Pathological	F03;F01	   Mental Disorders;    Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	1	1	3	disease
C0031099	Periodontitis	C07	   Stomatognathic Diseases	Disease or Syndrome	Abnormality of the immune system; Abnormality of head or neck	disease of anatomical entity	GWASCAT	11	27	39	disease
C0031106	Aggressive Periodontitis	C07	   Stomatognathic Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	2	4	6	disease
C0031347	Pharyngeal Neoplasms	C04;C07;C09	   Neoplasms;    Stomatognathic Diseases;    Otorhinolaryngologic Diseases	Neoplastic Process	Neoplasm; Abnormality of head or neck; Abnormality of the respiratory system	disease of anatomical entity; disease of cellular proliferation	GWASCAT	4	5	55	group
C0032000	Pituitary Adenoma	C04;C10;C19	   Neoplasms;    Nervous System Diseases;    Endocrine System Diseases	Neoplastic Process	Abnormality of the nervous system; Abnormality of the endocrine system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	2	3	15	disease
C0032181	Platelet Count measurement			Laboratory Procedure			GWASCAT	264	456	435	phenotype
C0032285	Pneumonia	C01;C08	   Infections;    Respiratory Tract Diseases	Disease or Syndrome	Abnormality of the immune system; Abnormality of the respiratory system	disease of anatomical entity	GWASCAT	1	1	8	disease
C0032460	Polycystic Ovary Syndrome	C04;C13;C19	   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications;    Endocrine System Diseases	Disease or Syndrome	Abnormality of the genitourinary system	syndrome	GWASCAT	20	44	140	disease
C0032914	Pre-Eclampsia	C13	   Female Urogenital Diseases and Pregnancy Complications	Pathologic Function	Abnormality of prenatal development or birth	disease of anatomical entity	GWASCAT	3	3	4	phenotype
C0033687	Proteinuria	C23;C13;C12	   Pathological Conditions, Signs and Symptoms;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Finding	Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system	disease of anatomical entity	GWASCAT	2	2	29	phenotype
C0033845	Pseudotumor Cerebri	C10	   Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	11	8	5	disease
C0033860	Psoriasis	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome	Abnormality of the integument; Abnormality of the immune system	disease of anatomical entity	GWASCAT	237	485	372	disease
C0033975	Psychotic Disorders	F03	   Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	21	34	60	group
C0034065	Pulmonary Embolism	C08;C14	   Respiratory Tract Diseases;    Cardiovascular Diseases	Pathologic Function	Abnormality of the respiratory system; Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	9	12	77	disease
C0034067	Pulmonary Emphysema	C08	   Respiratory Tract Diseases	Disease or Syndrome	Abnormality of the respiratory system	disease of anatomical entity	GWASCAT	1	6	2	disease
C0034885	Rectal Neoplasms	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process	Abnormality of the digestive system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	3	5	5	group
C0035227	Respiratory Function Tests			Diagnostic Procedure			GWASCAT	56	89	206	phenotype
C0035242	Respiratory Tract Diseases	C08	   Respiratory Tract Diseases	Disease or Syndrome			GWASCAT	77	109	253	group
C0035258	Restless Legs Syndrome	C10;F03	   Nervous System Diseases;    Mental Disorders	Disease or Syndrome	Abnormality of the nervous system	disease of anatomical entity	GWASCAT	10	29	70	disease
C0035410	Rhabdomyolysis	C05	   Musculoskeletal Diseases	Pathologic Function	Abnormality of the musculature		GWASCAT	1	1	5	phenotype
C0036202	Sarcoidosis	C15	   Hemic and Lymphatic Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	30	37	214	disease
C0036337	Schizoaffective Disorder	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	26	44	93	disease
C0036341	Schizophrenia	F03	   Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	578	1433	533	disease
C0036421	Systemic Scleroderma	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	46	98	174	disease
C0036439	Scoliosis, unspecified	C05	   Musculoskeletal Diseases	Disease or Syndrome	Abnormality of the skeletal system	disease of anatomical entity	GWASCAT	2	3	17	disease
C0036508	Seborrheic dermatitis	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome	Abnormality of the integument; Abnormality of the immune system	disease of anatomical entity	GWASCAT	3	6	18	disease
C0036983	Septic Shock	C23;C01	   Pathological Conditions, Signs and Symptoms;    Infections	Pathologic Function		disease by infectious agent	GWASCAT	1	1	8	phenotype
C0037019	Shy-Drager Syndrome	C10;C14	   Nervous System Diseases;    Cardiovascular Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	3	6	20	disease
C0037274	Dermatologic disorders	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome	Abnormality of the integument	disease of anatomical entity	GWASCAT	2	3	22	group
C0037290	Skin Pigmentation			Organ or Tissue Function			GWASCAT	17	35	78	phenotype
C0037369	Smoking	F01	   Behavior and Behavior Mechanisms	Individual Behavior		disease of mental health	GWASCAT	391	765	460	phenotype
C0037383	Sneezing	C23	   Pathological Conditions, Signs and Symptoms	Sign or Symptom	Abnormality of the respiratory system		GWASCAT	1	2	2	phenotype
C0038013	Ankylosing spondylitis	C05	   Musculoskeletal Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	160	345	337	disease
C0038160	Staphylococcal Infections	C01	   Infections	Disease or Syndrome			GWASCAT	1	4	16	group
C0038325	Stevens-Johnson Syndrome	C17;C20;C25;C07	   Skin and Connective Tissue Diseases;    Immune System Diseases;    Chemically-Induced Disorders;    Stomatognathic Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	8	14	104	disease
C0038436	Post-Traumatic Stress Disorder	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	8	11	52	disease
C0038454	Cerebrovascular accident	C10;C14	   Nervous System Diseases;    Cardiovascular Diseases	Disease or Syndrome	Abnormality of the nervous system; Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	75	138	335	group
C0038661	Suicide	F01	   Behavior and Behavior Mechanisms	Finding			GWASCAT	2	7	1	phenotype
C0038663	Suicide attempt	F01	   Behavior and Behavior Mechanisms	Injury or Poisoning			GWASCAT	27	52	82	phenotype
C0038868	Progressive supranuclear palsy	C23;C11;C10	   Pathological Conditions, Signs and Symptoms;    Eye Diseases;    Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	12	21	71	disease
C0039263	Takayasu Arteritis	C17;C14	   Skin and Connective Tissue Diseases;    Cardiovascular Diseases	Disease or Syndrome		syndrome	GWASCAT	20	36	149	disease
C0039494	Temporomandibular Joint Disorders	C05;C07	   Musculoskeletal Diseases;    Stomatognathic Diseases	Disease or Syndrome			GWASCAT	2	4	8	group
C0039590	Testicular Neoplasms	C04;C12;C19	   Neoplasms;    Male Urogenital Diseases;    Endocrine System Diseases	Neoplastic Process	Abnormality of the genitourinary system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	16	26	42	group
C0039685	Tetralogy of Fallot	C16;C14	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Cardiovascular Diseases	Congenital Abnormality	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	3	5	11	disease
C0040137	Thyroid Nodule	C04;C19	   Neoplasms;    Endocrine System Diseases	Neoplastic Process	Abnormality of the endocrine system		GWASCAT	1	1	12	disease
C0040420	Tonometry			Diagnostic Procedure			GWASCAT	205	572	353	phenotype
C0040517	Gilles de la Tourette syndrome	C16;C10;F03	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nervous System Diseases;    Mental Disorders	Disease or Syndrome		disease of mental health	GWASCAT	10	14	41	disease
C0040524	Septic Toxemia	C01	   Infections	Disease or Syndrome			GWASCAT	3	3	4	disease
C0041296	Tuberculosis	C01	   Infections	Disease or Syndrome			GWASCAT	13	25	35	disease
C0041318	Tuberculosis, Meningeal	C01;C10	   Infections;    Nervous System Diseases	Disease or Syndrome			GWASCAT	1	1	14	disease
C0041696	Unipolar Depression	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	49	88	158	disease
C0042109	Urticaria	C17;C20	   Skin and Connective Tissue Diseases;    Immune System Diseases	Disease or Syndrome	Abnormality of the integument; Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	2	2	6	disease
C0042133	Uterine Fibroids	C04	   Neoplasms	Neoplastic Process	Abnormality of the genitourinary system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	41	103	167	group
C0042165	Anterior uveitis	C11	   Eye Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	5	10	62	disease
C0042170	Uveomeningoencephalitic Syndrome	C11;C20;C10	   Eye Diseases;    Immune System Diseases;    Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	4	4	60	disease
C0042345	Varicosity	C14	   Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	14	32	108	disease
C0042580	Vesico-Ureteral Reflux	C13;C12	   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome	Abnormality of the genitourinary system	disease of anatomical entity	GWASCAT	1	1	13	disease
C0042834	Vital capacity			Clinical Attribute			GWASCAT	430	746	443	phenotype
C0042870	Vitamin D Deficiency	C18	   Nutritional and Metabolic Diseases	Disease or Syndrome	Abnormality of metabolism/homeostasis		GWASCAT	2	3	10	disease
C0042879	Vitamin K Assay			Laboratory Procedure			GWASCAT	3	6	47	phenotype
C0042900	Vitiligo	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome	Abnormality of the integument	disease of anatomical entity	GWASCAT	59	87	301	disease
C0043094	Weight Gain	C23	   Pathological Conditions, Signs and Symptoms	Finding	Growth abnormality		GWASCAT	6	7	101	phenotype
C0079744	Diffuse Large B-Cell Lymphoma	C04;C20;C15	   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	10	17	142	disease
C0080310	Left Ventricular Function			Organ or Tissue Function			GWASCAT	1	2	2	phenotype
C0085136	Central Nervous System Neoplasms	C04;C10	   Neoplasms;    Nervous System Diseases	Neoplastic Process	Abnormality of the nervous system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	27	46	155	group
C0085207	Gestational Diabetes	C18;C13;C19	   Nutritional and Metabolic Diseases;    Female Urogenital Diseases and Pregnancy Complications;    Endocrine System Diseases	Disease or Syndrome	Abnormality of metabolism/homeostasis; Abnormality of prenatal development or birth; Abnormality of the endocrine system	disease of metabolism	GWASCAT	2	3	40	phenotype
C0085220	Cerebral Amyloid Angiopathy	C18;C10;C14	   Nutritional and Metabolic Diseases;    Nervous System Diseases;    Cardiovascular Diseases	Disease or Syndrome	Abnormality of metabolism/homeostasis		GWASCAT	4	5	67	disease
C0085278	Antiphospholipid Syndrome	C20	   Immune System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	4	6	22	disease
C0085298	Sudden Cardiac Death	C23;C14	   Pathological Conditions, Signs and Symptoms;    Cardiovascular Diseases	Pathologic Function	Abnormality of the cardiovascular system		GWASCAT	20	32	79	phenotype
