	ComplexID	ComplexName	GO ID	GO description	NumSubunits
582	1207	TRF2-Rap1 complex II	GO:0003677;GO:0051276;GO:0005634	DNA binding;chromosome organization;nucleus	4
583	1211	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	GO:0016567;GO:0043161;GO:0006511;GO:0023052;GO:0005634	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling;nucleus	6
584	1214	Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1)	GO:0016567;GO:0043161;GO:0006511;GO:0023052;GO:0005634	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling;nucleus	5
585	1215	Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1)	GO:0016567;GO:0043161;GO:0006511;GO:0007219;GO:0023052	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;Notch signaling pathway;signaling	4
586	1217	WRN-TRF2 complex	GO:0004386;GO:0032204;GO:0005634;GO:0090398	helicase activity;regulation of telomere maintenance;nucleus;cellular senescence	2
587	1218	BLM-TRF2 complex	GO:0090398;GO:0032204;GO:0005634	cellular senescence;regulation of telomere maintenance;nucleus	2
588	1219	Tankyrin 1-tankyrin 2-TRF1 complex	GO:0051276;GO:0005634	chromosome organization;nucleus	3
589	1220	TRF2-Ku complex	GO:0003677;GO:0051276;GO:0005634	DNA binding;chromosome organization;nucleus	3
590	1221	TFIIA-TRF2 complex	GO:2001141;GO:0006355;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;nucleus	3
591	1223	H2AX complex, isolated from cells without IR exposure	GO:0006265;GO:0000075;GO:0006354;GO:0051276;GO:0005634	DNA topological change;cell cycle checkpoint signaling;DNA-templated transcription elongation;chromosome organization;nucleus	13
592	1224	Ubiquitin E3 ligase (BMI1, SPOP, CUL3)	GO:0009048;GO:0016567;GO:0005634;GO:0006511	dosage compensation by inactivation of X chromosome;protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process	3
593	1225	Ubiquitin E3 ligase (H2AFY, SPOP, CUL3)	GO:0009048;GO:0016567;GO:0005634;GO:0006511	dosage compensation by inactivation of X chromosome;protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process	3
594	1226	H2AX complex I	GO:0006281;GO:0006265;GO:0000075;GO:0006354;GO:0006974;GO:0051276;GO:0005634	DNA repair;DNA topological change;cell cycle checkpoint signaling;DNA-templated transcription elongation;cellular response to DNA damage stimulus;chromosome organization;nucleus	7
595	1227	H2AX complex II	GO:0006281;GO:0006265;GO:0000075;GO:0006354;GO:0006974;GO:0051276;GO:0005634	DNA repair;DNA topological change;cell cycle checkpoint signaling;DNA-templated transcription elongation;cellular response to DNA damage stimulus;chromosome organization;nucleus	10
596	1230	WINAC complex	GO:0006260;GO:0006265;GO:0000084;GO:2001141;GO:0006355;GO:0051276;GO:0005634;GO:0005102	DNA replication;DNA topological change;mitotic S phase;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;chromosome organization;nucleus;signaling receptor binding	14
597	1231	FIB-associated protein complex	GO:0006364;GO:0000154;GO:0042254;GO:0005634	rRNA processing;rRNA modification;ribosome biogenesis;nucleus	6
598	1232	REST-CoREST-mSIN3A complex	GO:0045892;GO:0022008;GO:0048699;GO:0030182;GO:0007399;GO:0005634	negative regulation of DNA-templated transcription;neurogenesis;generation of neurons;neuron differentiation;nervous system development;nucleus	3
599	1233	CoREST-HDAC2 complex	GO:0006265;GO:0045892;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of DNA-templated transcription;protein deacetylation;chromosome organization;nucleus	2
600	1237	BAF complex	GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005634	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;chromosome organization;nucleus	9
601	1238	PBAF complex (Polybromo- and BAF containing complex)	GO:0006265;GO:0045893;GO:0003677;GO:0009755;GO:0023052;GO:0051276;GO:0005694	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;hormone-mediated signaling pathway;signaling;chromosome organization;chromosome	9
602	1239	EBAFb complex	GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005694	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;chromosome organization;chromosome	10
603	1243	Ubiquitin E3 ligase (SPOP, DAXX, CUL3)	GO:2001141;GO:0006355;GO:0016567;GO:0043161;GO:0006511;GO:0043067;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of programmed cell death;nucleus	3
604	1245	Protein phosphatase 4 complex	GO:0006470;GO:0005813;GO:0000226	protein dephosphorylation;centrosome;microtubule cytoskeleton organization	2
605	1248	Apoptosome	GO:0006915;GO:0005737	apoptotic process;cytoplasm	2
606	1250	RB1-E2F1 complex	GO:0006974;GO:0005634;GO:0051726;GO:0006355	cellular response to DNA damage stimulus;nucleus;regulation of cell cycle;regulation of DNA-templated transcription	2
607	1251	BAF complex	GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005694	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;chromosome organization;chromosome	8
608	1252	EBAFa complex	GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005694	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;chromosome organization;chromosome	10
609	1254	Menin-associated histone methyltransferase complex	GO:0006265;GO:0006349;GO:0045893;GO:0006479;GO:0051276;GO:0030154;GO:0005634	DNA topological change;regulation of gene expression by genomic imprinting;positive regulation of DNA-templated transcription;protein methylation;chromosome organization;cell differentiation;nucleus	7
610	1255	Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X)	GO:0016567;GO:0043161;GO:0006511;GO:0023052	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling	4
611	1256	MLL-HCF complex	GO:0006265;GO:0006349;GO:2001141;GO:0006355;GO:0006479;GO:0051276;GO:0005634	DNA topological change;regulation of gene expression by genomic imprinting;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;protein methylation;chromosome organization;nucleus	7
612	1257	ALL-1 supercomplex	GO:0006265;GO:2001141;GO:0006355;GO:0006476;GO:0006479;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;protein deacetylation;protein methylation;chromosome organization;nucleus	28
613	1258	Ubiquitin E3 ligase (GLMN, FBXW8, SKP1A, RBX1)	GO:0016567;GO:0043161;GO:0006511;GO:0001570	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;vasculogenesis	4
614	1259	Chromatin assembly complex (CAF-1 complex)	GO:0006260;GO:0006265;GO:0000084;GO:0051276;GO:0005634	DNA replication;DNA topological change;mitotic S phase;chromosome organization;nucleus	3
615	1260	Neddylin ligase (FBXO11, SKP1, CUL1, RBX1)	GO:0000338;GO:0016925;GO:0016926;GO:0045116;GO:0051090;GO:0005634;GO:0036211	protein deneddylation;protein sumoylation;protein desumoylation;protein neddylation;regulation of DNA-binding transcription factor activity;nucleus;protein modification process	4
616	1261	SRm160/300 complex	GO:0008380;GO:0003723;GO:0005634	RNA splicing;RNA binding;nucleus	5
617	1287	HNRPF-HNRPH1 complex	GO:0008380;GO:0003723;GO:0005634	RNA splicing;RNA binding;nucleus	2
618	1288	DCS complex (PTBP1, PTBP2, HNRPH1, HNRPF)	GO:0043484;GO:0048024;GO:0003723;GO:0005634	regulation of RNA splicing;regulation of mRNA splicing, via spliceosome;RNA binding;nucleus	4
619	1293	IPO13-RBM8A-MAGOH complex	GO:0050658;GO:0051033;GO:0051169;GO:0005634	RNA transport;RNA transmembrane transporter activity;nuclear transport;nucleus	3
620	1296	DCP1A-DCP2 Decapping complex	GO:0006401;GO:0005737	RNA catabolic process;cytoplasm	2
621	1297	MKK4-ARRB2-ASK1 complex	GO:0007254;GO:0000165	JNK cascade;MAPK cascade	3
622	1298	MKK4-ARRB2-JNK3 complex	GO:0007254;GO:0000165	JNK cascade;MAPK cascade	3
623	1299	POSH-MLK3 complex	GO:0007254	JNK cascade	2
624	1300	CRLR-RAMP1 complex	GO:0007186;GO:0005886	G protein-coupled receptor signaling pathway;plasma membrane	2
625	1301	CRLR-RAMP1 complex	GO:0007186;GO:0005886	G protein-coupled receptor signaling pathway;plasma membrane	2
626	1306	HNRNPD (p45)-PIN1 complex	GO:0005125;GO:0005737;GO:0032604	cytokine activity;cytoplasm;granulocyte macrophage colony-stimulating factor production	2
627	1307	Multiprotein bridging complex (translationally coupled mRNA turnover)	GO:0006401;GO:0005737	RNA catabolic process;cytoplasm	5
628	1308	EIF4G1-HSP70-HSPA8-HNRNPD-PABPC1 complex	GO:0006401	RNA catabolic process	5
629	1317	ATF7-TAF12 complex	GO:0045893	positive regulation of DNA-templated transcription	2
630	1318	Transcription initiation factor complex (TAF1, TAF5, TAF11, TAF12, TBP)	GO:0006352	DNA-templated transcription initiation	5
631	1321	Transcription initiation factor complex (TAF5, TAF6, TAF9, TAF11, TBP)	GO:0006352	DNA-templated transcription initiation	5
632	1332	Large Drosha complex	GO:0006396;GO:0003723;GO:0005634	RNA processing;RNA binding;nucleus	20
633	1335	SNW1 complex	GO:0045893;GO:0008380;GO:0005634	positive regulation of DNA-templated transcription;RNA splicing;nucleus	18
634	1338	FOXO3-PCAF complex, oxidative stress stimulated	GO:2001141;GO:0006355;GO:0000302;GO:0006979;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;response to reactive oxygen species;response to oxidative stress;nucleus	2
635	1347	NPC subcomplex (NUP96, NUP107, NUP133, NUP160)	GO:0000278;GO:0015031;GO:0006810;GO:0051169;GO:0000775;GO:0005643	mitotic cell cycle;protein transport;transport;nuclear transport;chromosome, centromeric region;nuclear pore	4
636	1348	GLE1-NUPL2-NUP155 complex	GO:0006886;GO:0006605;GO:0015031	intracellular protein transport;protein targeting;protein transport	3
637	1352	ING4 complex (ING4, JADE1, KAT7, MEAF6)	GO:0000278;GO:0051726;GO:0001525	mitotic cell cycle;regulation of cell cycle;angiogenesis	4
638	1372	Rb-tal-1-E2A-Lmo2-Ldb1 complex	GO:0045892;GO:0030218;GO:0005634	negative regulation of DNA-templated transcription;erythrocyte differentiation;nucleus	5
639	1377	hASC-1 complex	GO:0045893;GO:0023052;GO:0005634	positive regulation of DNA-templated transcription;signaling;nucleus	4
640	1379	GALNS-lysosomal hydrolase 1.27 MDa complex	GO:0005976;GO:0005764	polysaccharide metabolic process;lysosome	4
641	1380	Elongator holo complex	GO:0006354;GO:0006473;GO:0006476;GO:0005634	DNA-templated transcription elongation;protein acetylation;protein deacetylation;nucleus	4
642	1386	TTP-AGO4 complex	GO:0006402;GO:0061157	mRNA catabolic process;mRNA destabilization	2
643	1387	TTP-AGO2 complex	GO:0006402;GO:0061157	mRNA catabolic process;mRNA destabilization	2
644	1399	WDR5-ASH2L-RBBP5-MLL2 complex	GO:0045893;GO:0018126;GO:0006479;GO:0005634	positive regulation of DNA-templated transcription;protein hydroxylation;protein methylation;nucleus	4
645	1400	ASCOM complex	GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005634	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;chromosome organization;nucleus	7
646	1401	MOF complex	GO:0005634	nucleus	10
647	1413	NCOR1 complex	GO:0006265;GO:0045892;GO:0032774;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of DNA-templated transcription;RNA biosynthetic process;protein deacetylation;chromosome organization;nucleus	10
648	1439	PTGS2 homodimer complex	GO:0006720;GO:0006633;GO:0008299;GO:0009062;GO:0016042;GO:0008300;GO:0006629;GO:0006631;GO:0008610	isoprenoid metabolic process;fatty acid biosynthetic process;isoprenoid biosynthetic process;fatty acid catabolic process;lipid catabolic process;isoprenoid catabolic process;lipid metabolic process;fatty acid metabolic process;lipid biosynthetic process	1
649	1448	LIN2-LIN7-SAP97 complex	GO:0006886;GO:0006605;GO:0015031;GO:0051211;GO:0009798;GO:0030855;GO:0002009	intracellular protein transport;protein targeting;protein transport;anisotropic cell growth;axis specification;epithelial cell differentiation;morphogenesis of an epithelium	3
650	1452	MCM2-MCM6-MCM7 complex	GO:0006260;GO:0005634	DNA replication;nucleus	3
651	1457	AFF1-MLLT1-CBX8 complex	GO:2001141;GO:0006355;GO:0016607	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;nuclear speck	3
652	1458	SNF2h-HDAC12 complex	GO:0051052;GO:0006473;GO:0006476;GO:0051276	regulation of DNA metabolic process;protein acetylation;protein deacetylation;chromosome organization	2
653	1462	hPRC1L complex	GO:0006304;GO:0009307;GO:0032774;GO:0016567;GO:0005634	DNA modification;DNA restriction-modification system;RNA biosynthetic process;protein ubiquitination;nucleus	4
654	1464	Mis12 centromere complex	GO:0007059;GO:0000775	chromosome segregation;chromosome, centromeric region	6
655	1473	E2F5-RBL2-TFDP1 complex	GO:0035189;GO:0007049;GO:0003677;GO:0003700;GO:0008134	Rb-E2F complex;cell cycle;DNA binding;DNA-binding transcription factor activity;transcription factor binding	3
656	1474	SMAD3/4-E2F4/5-p107-DP1 complex	GO:0045892;GO:0003677;GO:0007179;GO:0005634	negative regulation of DNA-templated transcription;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	6
657	1488	DNMT1-RB1-HDAC1-E2F1 complex	GO:0045892	negative regulation of DNA-templated transcription	4
658	1490	DAXX-DNMT1-DMAP1 complex	GO:0045892	negative regulation of DNA-templated transcription	3
659	1491	RGS6-DNMT1-DMAP1 complex	GO:2001141;GO:0006355	regulation of RNA biosynthetic process;regulation of DNA-templated transcription	3
660	1492	BHC110 complex	GO:0006265;GO:0006473;GO:0006476;GO:0018126;GO:0006479;GO:0005634	DNA topological change;protein acetylation;protein deacetylation;protein hydroxylation;protein methylation;nucleus	10
661	1495	PID complex	GO:0006473;GO:0006476;GO:0051090;GO:0005634;GO:0036211	protein acetylation;protein deacetylation;regulation of DNA-binding transcription factor activity;nucleus;protein modification process	5
662	1505	NCOR2 complex	GO:0006265;GO:0045892;GO:0032774;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of DNA-templated transcription;RNA biosynthetic process;protein deacetylation;chromosome organization;nucleus	7
663	1508	BCL6-ZBTB17 complex	GO:0045892	negative regulation of DNA-templated transcription	2
664	1514	IL4-IL4R complex	GO:0005515;GO:0023052	protein binding;signaling	2
665	1515	IL-2Rgamma/IL-4R receptor-IL-4 complex	GO:0042098;GO:0042100;GO:0019221;GO:0035771;GO:0006955	T cell proliferation;B cell proliferation;cytokine-mediated signaling pathway;interleukin-4-mediated signaling pathway;immune response	3
666	1519	IL6ST-PRKCD-STAT3 complex	GO:0070103	regulation of interleukin-6-mediated signaling pathway	3
667	1520	STAT3-NLK-MAP3K7 complex	GO:0007165;GO:0005634	signal transduction;nucleus	3
668	1521	p300-SMAD1-STAT3 complex	GO:0045893;GO:0007167;GO:0048708	positive regulation of DNA-templated transcription;enzyme-linked receptor protein signaling pathway;astrocyte differentiation	3
669	1522	STAT3 homodimer complex	GO:2001141;GO:0006355;GO:0003677	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;DNA binding	1
670	1530	Girdin homo-oligomer complex	GO:0030036;GO:0048870	actin cytoskeleton organization;cell motility	1
671	1539	G protein complex (GNG2, GNB2L1, RAF1)	GO:0007186;GO:0004674	G protein-coupled receptor signaling pathway;protein serine/threonine kinase activity	3
672	1543	PPP2CA-PPP2R1A complex	GO:0030234;GO:0050790	enzyme regulator activity;regulation of catalytic activity	2
673	1544	PPP2CA-PPP2R1A-PPP2R3A complex	GO:0030234;GO:0050790	enzyme regulator activity;regulation of catalytic activity	3
674	1551	IPO13-RAN-EIF1AX complex	GO:0015031;GO:0051169;GO:0005737;GO:0005634;GO:0140318	protein transport;nuclear transport;cytoplasm;nucleus;protein transporter activity	3
675	1552	TNPO2-RAN-NXF1 complex	GO:0003723;GO:0005737;GO:0005634;GO:0006405	RNA binding;cytoplasm;nucleus;RNA export from nucleus	3
676	1554	KPNB1-RAN-RANBP1complex	GO:0015031;GO:0051169;GO:0005737;GO:0140318	protein transport;nuclear transport;cytoplasm;protein transporter activity	3
677	1557	NMI-POLR1B-RRN3 complex	GO:0009303	rRNA transcription	3
678	1558	POLR1B-RRN3 complex	GO:0009303	rRNA transcription	2
679	1559	NMI-RRN3 complex	GO:0009303	rRNA transcription	2
680	1561	NMI homodimer complex	GO:0065003	protein-containing complex assembly	1
681	1571	Vigilin-DNA-PK-Ku antigen complex	GO:0007059;GO:0006468;GO:0003723;GO:0005694	chromosome segregation;protein phosphorylation;RNA binding;chromosome	4
682	1612	G protein complex (GNAS, GNB1, GNG2)	GO:0005834;GO:0007186	heterotrimeric G-protein complex;G protein-coupled receptor signaling pathway	3
683	1614	G protein complex (GNB1, GNG2, MCF2)	GO:0007186;GO:0005834	G protein-coupled receptor signaling pathway;heterotrimeric G-protein complex	3
684	1615	G protein complex (BTK, GNG1, GNG2)	GO:0007186;GO:0030154;GO:0005834	G protein-coupled receptor signaling pathway;cell differentiation;heterotrimeric G-protein complex	3
685	1617	G protein complex (CACNA1A, GNB1, GNG2)	GO:0007186	G protein-coupled receptor signaling pathway	3
686	1618	G protein complex (GNB1, GNG2, PTHR1)	GO:0007186	G protein-coupled receptor signaling pathway	3
687	1619	G protein complex (HDAC5, GNB1, GNG2)	GO:0045892;GO:0007186	negative regulation of DNA-templated transcription;G protein-coupled receptor signaling pathway	3
688	1620	G protein complex (HDAC4, GNB1, GNG2)	GO:0045892;GO:0007186	negative regulation of DNA-templated transcription;G protein-coupled receptor signaling pathway	3
689	1623	FA core complex 1	GO:0016567;GO:0006974;GO:0005634	protein ubiquitination;cellular response to DNA damage stimulus;nucleus	5
690	1624	FA core complex (Fanconi anemia core complex)	GO:0016567;GO:0006974;GO:0005634	protein ubiquitination;cellular response to DNA damage stimulus;nucleus	9
691	1625	FA core complex (Fanconi anemia core complex)	GO:0016567;GO:0006974;GO:0005634	protein ubiquitination;cellular response to DNA damage stimulus;nucleus	7
692	1633	CyclinD1-CDK4-CDK6 complex	GO:0000278;GO:0000082;GO:0035556;GO:0007519	mitotic cell cycle;G1/S transition of mitotic cell cycle;intracellular signal transduction;skeletal muscle tissue development	3
693	1634	CyclinD1-CDK4-p21 complex	GO:0035556;GO:0051726	intracellular signal transduction;regulation of cell cycle	3
694	1642	p16-cyclin D2-CDK4 complex	GO:0000278;GO:0051726;GO:0035556	mitotic cell cycle;regulation of cell cycle;intracellular signal transduction	3
695	1656	p27-cyclinE-CDK2 complex	GO:0000082;GO:0005634	G1/S transition of mitotic cell cycle;nucleus	3
696	1661	E2F4-p107-cyclinA complex	GO:0000082;GO:0005634	G1/S transition of mitotic cell cycle;nucleus	3
697	1695	SCAMP1-SCAMP2 complex	GO:0015031;GO:0006892;GO:0016192;GO:0140318	protein transport;post-Golgi vesicle-mediated transport;vesicle-mediated transport;protein transporter activity	2
698	1700	ABL2-HRAS-RIN1 complex	GO:0035556	intracellular signal transduction	3
699	1703	IGHM-VPREB1-IGLL1 complex	GO:0030183	B cell differentiation	3
700	1707	IL2-IL2RA-IL2RB complex	GO:0023052	signaling	3
701	1714	TICAM1-TICAM2-TLR4 complex	GO:0001530;GO:0032496;GO:0045087;GO:0002221;GO:0002756;GO:0034142;GO:0042742;GO:0002224;GO:0035667;GO:0035669;GO:0032728;GO:0032481	lipopolysaccharide binding;response to lipopolysaccharide;innate immune response;pattern recognition receptor signaling pathway;MyD88-independent toll-like receptor signaling pathway;toll-like receptor 4 signaling pathway;defense response to bacterium;toll-like receptor signaling pathway;TRIF-dependent toll-like receptor 4 signaling pathway;TRAM-dependent toll-like receptor 4 signaling pathway;positive regulation of interferon-beta production;positive regulation of type I interferon production	3
702	1728	CTCF-nucleophosmin-PARP-HIS-KPNA-LMNA-TOP complex	GO:2001141;GO:0006355;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;nucleus	9
703	1729	TLE1 corepressor complex (MASH1 promoter-corepressor complex)	GO:0045892;GO:0005515;GO:0003677;GO:0051090;GO:0030182;GO:0005634	negative regulation of DNA-templated transcription;protein binding;DNA binding;regulation of DNA-binding transcription factor activity;neuron differentiation;nucleus	10
704	1731	PRMT1 complex	GO:0018126;GO:0006479;GO:0005634	protein hydroxylation;protein methylation;nucleus	1
705	1734	SF3A1-SF3A2-SF3A3 complex	GO:0008380;GO:0005634	RNA splicing;nucleus	3
706	1737	SF3b complex	GO:0008380;GO:0005634	RNA splicing;nucleus	8
707	1743	(E.F.G) complex	GO:0005634;GO:0000387	nucleus;spliceosomal snRNP assembly	3
708	1745	SMN complex	GO:0008380;GO:0032774;GO:0003723;GO:0005737;GO:0005634;GO:0065003	RNA splicing;RNA biosynthetic process;RNA binding;cytoplasm;nucleus;protein-containing complex assembly	15
709	1746	SMN containing complex	GO:0008380;GO:0032774;GO:0003723;GO:0005634;GO:0065003	RNA splicing;RNA biosynthetic process;RNA binding;nucleus;protein-containing complex assembly	8
710	1749	SMN-PolII-RHA complex	GO:0008380;GO:0032774;GO:0003723;GO:0005737;GO:0005634;GO:0065003	RNA splicing;RNA biosynthetic process;RNA binding;cytoplasm;nucleus;protein-containing complex assembly	10
711	1750	PPP4C-PPP4R2-Gemin3-Gemin4 complex	GO:0006470;GO:0005634	protein dephosphorylation;nucleus	4
712	1751	SMN complex	GO:0008380;GO:0032774;GO:0003723;GO:0006811;GO:0050658;GO:0051033;GO:0051169;GO:0005737;GO:0005634;GO:0065003	RNA splicing;RNA biosynthetic process;RNA binding;ion transport;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus;protein-containing complex assembly	10
713	1752	SMN complex	GO:0008380;GO:0032774;GO:0003723;GO:0005737;GO:0005634;GO:0065003	RNA splicing;RNA biosynthetic process;RNA binding;cytoplasm;nucleus;protein-containing complex assembly	7
714	1760	TOP1-PSF-P54 complex	GO:0008380;GO:0005634	RNA splicing;nucleus	3
715	1767	CPSF6-ITCH-NUDT21-POLR2A-UBAP2L complex	GO:0006351;GO:0006396;GO:0001817	DNA-templated transcription;RNA processing;regulation of cytokine production	5
716	1768	CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L complex	GO:0001817;GO:0006396;GO:0006351	regulation of cytokine production;RNA processing;DNA-templated transcription	6
717	1769	CPSF6-ITCH-NUDT21-POLR2A complex	GO:0001817;GO:0006396;GO:0006351	regulation of cytokine production;RNA processing;DNA-templated transcription	4
718	1772	MICB-KLRK1-HCST complex	GO:0006955	immune response	3
719	1773	ULBP3-KLRK1-HCST complex	GO:0006955	immune response	3
720	1774	MICA-KLRK1-HCST complex	GO:0006955	immune response	3
721	1775	ULBP2-KLRK1-HCST complex	GO:0006955	immune response	3
722	1777	Ubiquitin E3 ligase (SMURF2, SMAD7) - TGF(beta)	GO:0007179;GO:0005737;GO:0016567;GO:0006511	transforming growth factor beta receptor signaling pathway;cytoplasm;protein ubiquitination;ubiquitin-dependent protein catabolic process	4
723	1779	TGF-beta-receptor-PAR6 complex	GO:0007179;GO:0007043;GO:0030054	transforming growth factor beta receptor signaling pathway;cell-cell junction assembly;cell junction	3
724	1783	Ubiquitin E3 ligase (SMAD7, SMURF1) - TGFBR1	GO:0016567;GO:0043161;GO:0006511;GO:0007179;GO:0005737	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;transforming growth factor beta receptor signaling pathway;cytoplasm	3
725	1784	RNF11-SMURF2-STAMBP complex	GO:0043161;GO:0006511	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	3
726	1787	Nogo-potassium channel complex	GO:0008324;GO:0006812;GO:0005216;GO:0022008;GO:0048699;GO:0007417	cation transmembrane transporter activity;cation transport;ion channel activity;neurogenesis;generation of neurons;central nervous system development	4
727	1793	LINGO1-RTN4R-NGFR complex	GO:0022008;GO:0048699;GO:0031175	neurogenesis;generation of neurons;neuron projection development	3
728	1794	SORT1-NGFR complex	GO:0005515;GO:0005737	protein binding;cytoplasm	2
729	1795	SORT1-NGFR-NGFB complex	GO:0006915	apoptotic process	3
730	1810	ITGA4-PXN-GIT1 complex	GO:0016477	cell migration	3
731	1812	AXIN-MEKK4-CCD1 complex	GO:0007254	JNK cascade	3
732	1813	MAD1L1 homodimer complex	GO:0000075;GO:0005813	cell cycle checkpoint signaling;centrosome	1
733	1814	MAD1L1-MAD2L1 complex	GO:0000075	cell cycle checkpoint signaling	2
734	1816	JUN-TCF4-CTNNB1 complex	GO:0016055;GO:0023052	Wnt signaling pathway;signaling	3
735	1826	SMAD3-HEF1-APC10-CDH1 complex	GO:0043161;GO:0006511;GO:0007179;GO:0005737	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;transforming growth factor beta receptor signaling pathway;cytoplasm	4
736	1827	PML-SMAD2/3-SARA complex	GO:0007179;GO:0005737	transforming growth factor beta receptor signaling pathway;cytoplasm	4
737	1828	TGF-beta receptor I-Axin-SMAD3 complex	GO:0005737;GO:0007179	cytoplasm;transforming growth factor beta receptor signaling pathway	3
738	1831	PIAS3-SMAD3-P300 complex	GO:0006265;GO:0045893;GO:0006473;GO:0003677;GO:0007179;GO:0051276;GO:0005634	DNA topological change;positive regulation of DNA-templated transcription;protein acetylation;DNA binding;transforming growth factor beta receptor signaling pathway;chromosome organization;nucleus	3
739	1834	ITGAE-ITGB7-CDH1 complex	GO:0065003	protein-containing complex assembly	3
740	1844	APC-IQGAP1 complex	GO:0016477;GO:0007010;GO:0005856	cell migration;cytoskeleton organization;cytoskeleton	2
741	1845	APC-IQGAP1-CLIP-170 complex	GO:0016477;GO:0007010;GO:0005856	cell migration;cytoskeleton organization;cytoskeleton	3
742	1851	BUB1-BUB3 complex	GO:0006468	protein phosphorylation	2
743	1863	TSG101-VPS37B-VPS28 complex	GO:0006886;GO:0006605;GO:0015031	intracellular protein transport;protein targeting;protein transport	3
744	1890	ELK1-SRF-ELK4 complex	GO:2001141;GO:0006355	regulation of RNA biosynthetic process;regulation of DNA-templated transcription	3
745	1893	mTOR2 complex (MTOR, RICTOR, MLST8)	GO:0000902;GO:0016049;GO:0030036	cell morphogenesis;cell growth;actin cytoskeleton organization	3
746	1899	NTF4 homodimer complex	GO:0030182	neuron differentiation	1
747	1909	APC-DLG4 complex	GO:0016477;GO:0000902;GO:0016049	cell migration;cell morphogenesis;cell growth	2
748	1927	PKD2-PACS1 complex	GO:0005216	ion channel activity	2
749	1932	NEK2-NEK11 complex	GO:0051726	regulation of cell cycle	2
750	1944	IRAK1-IRAK2 complex	GO:0045087	innate immune response	2
751	1945	IRAK1-IRAK3 complex	GO:0045087	innate immune response	2
752	1957	DAP12 signaling homodimer complex	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1
753	1970	BMP4-TWSG1 complex	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	2
754	1972	BMP4-BGN complex	GO:0023052	signaling	2
755	1976	MTNR1A homodimer complex	GO:0008502	melatonin receptor activity	1
756	1977	MTNR1B homodimer complex	GO:0008502	melatonin receptor activity	1
757	1982	CACY homodimer  complex	GO:0005509;GO:0008270	calcium ion binding;zinc ion binding	1
758	1984	PEX14 homodimer complex	GO:0007031;GO:0005777;GO:0065003	peroxisome organization;peroxisome;protein-containing complex assembly	1
759	1985	AIRE homodimer complex	GO:0045893	positive regulation of DNA-templated transcription	1
760	1986	Endoglin homodimer complex	GO:0023052	signaling	1
