Network	GO Branch	Term	Term name	P-value	Term_size	Intersection	Expected	Observed/Expected
BIND	BP	GO:0003012	muscle system process	2.49E-09	425	196	137.61	1.42
BIND	BP	GO:0007005	mitochondrion organization	1.28E-08	484	216	156.71	1.38
BIND	BP	GO:0005975	carbohydrate metabolic process	4.39E-08	551	239	178.41	1.34
BIND	BP	GO:0003013	circulatory system process	1.34E-07	584	249	189.09	1.32
BIND	BP	GO:0006399	tRNA metabolic process	6.91E-07	196	97	63.46	1.53
BIND	BP	GO:0000910	cytokinesis	7.79E-07	186	93	60.22	1.54
BIND	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	1.61E-06	119	64	38.53	1.66
BIND	BP	GO:0055086	nucleobase-containing small molecule metabolic process	7.41E-05	729	286	236.04	1.21
BIND	BP	GO:0006629	lipid metabolic process	1.01E-03	1355	494	438.73	1.13
BIND	BP	GO:0098754	detoxification	1.55E-03	134	61	43.39	1.41
BIND	BP	GO:0006520	amino acid metabolic process	2.45E-03	292	119	94.55	1.26
BIND	BP	GO:0140053	mitochondrial gene expression	3.29E-03	164	71	53.10	1.34
BIND	BP	GO:0140013	meiotic nuclear division	6.67E-03	279	112	90.34	1.24
BIND	BP	GO:0006766	vitamin metabolic process	1.27E-02	107	47	34.65	1.36
BIND	BP	GO:0022600	digestive system process	1.39E-02	110	48	35.62	1.35
BIND	BP	GO:0006486	protein glycosylation	1.48E-02	225	56	72.85	0.77
BIND	BP	GO:0055085	transmembrane transport	2.92E-02	1784	619	577.64	1.07
BIND	BP	GO:0044782	cilium organization	3.04E-02	399	109	129.19	0.84
BIND	BP	GO:0007040	lysosome organization	3.78E-02	107	45	34.65	1.30
BIND	BP	GO:0003014	renal system process	3.43E-01	127	46	41.12	1.12
BIND	BP	GO:0030198	extracellular matrix organization	3.95E-01	314	109	101.67	1.07
BIND	BP	GO:0006790	sulfur compound metabolic process	5.08E-01	320	109	103.61	1.05
BIND	BP	GO:0006575	cellular modified amino acid metabolic process	6.94E-01	186	63	60.22	1.05
BIND	BP	GO:0007018	microtubule-based movement	7.64E-01	640	211	207.22	1.02
BioGRID	BP	GO:0050877	nervous system process	1.24E-89	1527	1245	1449.26	0.86
BioGRID	BP	GO:0007010	cytoskeleton organization	6.60E-21	1639	1623	1555.56	1.04
BioGRID	BP	GO:0016192	vesicle-mediated transport	6.61E-18	1894	1866	1797.57	1.04
BioGRID	BP	GO:0065003	protein-containing complex assembly	1.99E-16	1648	1625	1564.10	1.04
BioGRID	BP	GO:0012501	programmed cell death	1.31E-14	1954	1918	1854.52	1.03
BioGRID	BP	GO:0048870	cell motility	3.14E-14	1659	1632	1574.54	1.04
BioGRID	BP	GO:0006355	regulation of DNA-templated transcription	1.07E-13	3342	3252	3171.86	1.03
BioGRID	BP	GO:0030163	protein catabolic process	3.19E-13	990	981	939.60	1.04
BioGRID	BP	GO:0006281	DNA repair	2.23E-12	587	586	557.12	1.05
BioGRID	BP	GO:0007155	cell adhesion	9.87E-12	1444	1419	1370.48	1.04
BioGRID	BP	GO:0002376	immune system process	2.82E-11	2448	2386	2323.37	1.03
BioGRID	BP	GO:0006886	intracellular protein transport	6.50E-11	664	660	630.20	1.05
BioGRID	BP	GO:0006914	autophagy	8.54E-11	568	566	539.08	1.05
BioGRID	BP	GO:0055086	nucleobase-containing small molecule metabolic process	1.58E-10	729	723	691.89	1.04
BioGRID	BP	GO:0007005	mitochondrion organization	3.60E-10	484	483	459.36	1.05
BioGRID	BP	GO:0006325	chromatin organization	2.00E-09	720	713	683.34	1.04
BioGRID	BP	GO:0034330	cell junction organization	7.28E-09	727	719	689.99	1.04
BioGRID	BP	GO:0016071	mRNA metabolic process	9.81E-09	713	705	676.70	1.04
BioGRID	BP	GO:0006629	lipid metabolic process	3.99E-08	1355	1325	1286.02	1.03
BioGRID	BP	GO:0007059	chromosome segregation	2.53E-07	403	401	382.48	1.05
BioGRID	BP	GO:0042254	ribosome biogenesis	3.24E-07	297	297	281.88	1.05
BioGRID	BP	GO:0072659	protein localization to plasma membrane	7.54E-07	284	284	269.54	1.05
BioGRID	BP	GO:0006091	generation of precursor metabolites and energy	8.55E-07	502	497	476.44	1.04
BioGRID	BP	GO:0006913	nucleocytoplasmic transport	1.30E-06	326	325	309.40	1.05
BioGRID	BP	GO:0003013	circulatory system process	2.12E-06	584	576	554.27	1.04
BioGRID	BP	GO:0005975	carbohydrate metabolic process	2.64E-06	551	544	522.95	1.04
BioGRID	BP	GO:0006260	DNA replication	1.27E-05	279	278	264.80	1.05
BioGRID	BP	GO:0042060	wound healing	1.88E-05	431	426	409.06	1.04
BioGRID	BP	GO:0030198	extracellular matrix organization	2.24E-05	314	312	298.01	1.05
BioGRID	BP	GO:0003012	muscle system process	2.68E-05	425	420	403.36	1.04
BioGRID	BP	GO:0006310	DNA recombination	4.52E-05	333	330	316.05	1.04
BioGRID	BP	GO:0006399	tRNA metabolic process	5.57E-05	196	196	186.02	1.05
BioGRID	BP	GO:0098542	defense response to other organism	6.23E-05	1171	1139	1111.38	1.02
BioGRID	BP	GO:0006520	amino acid metabolic process	6.84E-05	292	290	277.13	1.05
BioGRID	BP	GO:0140013	meiotic nuclear division	9.35E-05	279	277	264.80	1.05
BioGRID	BP	GO:0007018	microtubule-based movement	1.05E-04	640	627	607.42	1.03
BioGRID	BP	GO:0055085	transmembrane transport	1.79E-04	1784	1725	1693.18	1.02
BioGRID	BP	GO:0006790	sulfur compound metabolic process	4.45E-04	320	316	303.71	1.04
BioGRID	BP	GO:0002181	cytoplasmic translation	6.17E-04	153	153	145.21	1.05
BioGRID	BP	GO:0044782	cilium organization	7.77E-04	399	392	378.69	1.04
BioGRID	BP	GO:0006954	inflammatory response	8.07E-04	820	798	778.25	1.03
BioGRID	BP	GO:0007163	establishment or maintenance of cell polarity	1.16E-03	227	225	215.44	1.04
BioGRID	BP	GO:0032200	telomere organization	1.16E-03	186	185	176.53	1.05
BioGRID	BP	GO:0006457	protein folding	2.33E-03	210	208	199.31	1.04
BioGRID	BP	GO:0140053	mitochondrial gene expression	3.58E-03	164	163	155.65	1.05
BioGRID	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	4.87E-03	119	119	112.94	1.05
BioGRID	BP	GO:0006575	cellular modified amino acid metabolic process	6.59E-03	186	184	176.53	1.04
BioGRID	BP	GO:0007040	lysosome organization	6.73E-03	107	107	101.55	1.05
BioGRID	BP	GO:0006486	protein glycosylation	2.05E-02	225	221	213.55	1.03
BioGRID	BP	GO:0000910	cytokinesis	2.74E-02	186	183	176.53	1.04
BioGRID	BP	GO:0022600	digestive system process	4.61E-02	110	109	104.40	1.04
BioGRID	BP	GO:0003014	renal system process	6.86E-02	127	125	120.53	1.04
BioGRID	BP	GO:0006766	vitamin metabolic process	1.81E-01	107	105	101.55	1.03
BioGRID	BP	GO:0098754	detoxification	6.91E-01	134	129	127.18	1.01
BioPlex 293T	BP	GO:0050877	nervous system process	2.03E-49	1527	842	1101.10	0.76
BioPlex 293T	BP	GO:0065003	protein-containing complex assembly	6.95E-31	1648	1380	1188.35	1.16
BioPlex 293T	BP	GO:0042254	ribosome biogenesis	5.30E-29	297	287	214.16	1.34
BioPlex 293T	BP	GO:0006281	DNA repair	5.62E-29	587	532	423.28	1.26
BioPlex 293T	BP	GO:0006886	intracellular protein transport	2.15E-27	664	592	478.80	1.24
BioPlex 293T	BP	GO:0016192	vesicle-mediated transport	3.14E-27	1894	1558	1365.74	1.14
BioPlex 293T	BP	GO:0030163	protein catabolic process	9.57E-27	990	852	713.87	1.19
BioPlex 293T	BP	GO:0016071	mRNA metabolic process	5.43E-26	713	629	514.13	1.22
BioPlex 293T	BP	GO:0007010	cytoskeleton organization	8.89E-23	1639	1346	1181.86	1.14
BioPlex 293T	BP	GO:0006914	autophagy	2.18E-20	568	500	409.58	1.22
BioPlex 293T	BP	GO:0006325	chromatin organization	3.84E-17	720	613	519.18	1.18
BioPlex 293T	BP	GO:0007059	chromosome segregation	2.25E-16	403	358	290.60	1.23
BioPlex 293T	BP	GO:0007005	mitochondrion organization	1.16E-15	484	422	349.01	1.21
BioPlex 293T	BP	GO:0006260	DNA replication	5.00E-15	279	254	201.18	1.26
BioPlex 293T	BP	GO:0140053	mitochondrial gene expression	5.62E-15	164	157	118.26	1.33
BioPlex 293T	BP	GO:0006913	nucleocytoplasmic transport	1.10E-14	326	292	235.07	1.24
BioPlex 293T	BP	GO:0006399	tRNA metabolic process	1.58E-14	196	184	141.33	1.30
BioPlex 293T	BP	GO:0072659	protein localization to plasma membrane	9.03E-11	284	250	204.79	1.22
BioPlex 293T	BP	GO:0002181	cytoplasmic translation	1.60E-10	153	142	110.33	1.29
BioPlex 293T	BP	GO:0007163	establishment or maintenance of cell polarity	2.12E-10	227	203	163.69	1.24
BioPlex 293T	BP	GO:0032200	telomere organization	1.63E-09	186	168	134.12	1.25
BioPlex 293T	BP	GO:0012501	programmed cell death	1.90E-09	1954	1520	1409.00	1.08
BioPlex 293T	BP	GO:0006310	DNA recombination	2.27E-09	333	286	240.12	1.19
BioPlex 293T	BP	GO:0006091	generation of precursor metabolites and energy	7.32E-09	502	417	361.98	1.15
BioPlex 293T	BP	GO:0055086	nucleobase-containing small molecule metabolic process	6.34E-08	729	588	525.67	1.12
BioPlex 293T	BP	GO:0006457	protein folding	9.72E-08	210	184	151.43	1.22
BioPlex 293T	BP	GO:0005975	carbohydrate metabolic process	2.86E-07	551	449	397.32	1.13
BioPlex 293T	BP	GO:0000910	cytokinesis	3.33E-06	186	161	134.12	1.20
BioPlex 293T	BP	GO:0002376	immune system process	7.68E-06	2448	1857	1765.22	1.05
BioPlex 293T	BP	GO:0007018	microtubule-based movement	8.57E-06	640	510	461.49	1.11
BioPlex 293T	BP	GO:0006790	sulfur compound metabolic process	9.58E-06	320	265	230.75	1.15
BioPlex 293T	BP	GO:0006355	regulation of DNA-templated transcription	1.88E-05	3342	2510	2409.87	1.04
BioPlex 293T	BP	GO:0034330	cell junction organization	1.72E-04	727	568	524.23	1.08
BioPlex 293T	BP	GO:0048870	cell motility	1.91E-04	1659	1261	1196.28	1.05
BioPlex 293T	BP	GO:0006629	lipid metabolic process	2.32E-04	1355	1035	977.07	1.06
BioPlex 293T	BP	GO:0055085	transmembrane transport	3.41E-04	1784	1221	1286.42	0.95
BioPlex 293T	BP	GO:0044782	cilium organization	1.27E-03	399	316	287.71	1.10
BioPlex 293T	BP	GO:0098542	defense response to other organism	7.82E-03	1171	884	844.39	1.05
BioPlex 293T	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	1.34E-02	119	98	85.81	1.14
BioPlex 293T	BP	GO:0006486	protein glycosylation	2.02E-02	225	178	162.24	1.10
BioPlex 293T	BP	GO:0006520	amino acid metabolic process	2.13E-02	292	228	210.56	1.08
BioPlex 293T	BP	GO:0042060	wound healing	2.24E-02	431	332	310.79	1.07
BioPlex 293T	BP	GO:0007155	cell adhesion	7.15E-02	1444	1071	1041.25	1.03
BioPlex 293T	BP	GO:0022600	digestive system process	8.74E-02	110	71	79.32	0.90
BioPlex 293T	BP	GO:0003013	circulatory system process	9.16E-02	584	403	421.11	0.96
BioPlex 293T	BP	GO:0007040	lysosome organization	1.04E-01	107	85	77.16	1.10
BioPlex 293T	BP	GO:0140013	meiotic nuclear division	1.22E-01	279	213	201.18	1.06
BioPlex 293T	BP	GO:0030198	extracellular matrix organization	3.42E-01	314	219	226.42	0.97
BioPlex 293T	BP	GO:0006766	vitamin metabolic process	4.50E-01	107	81	77.16	1.05
BioPlex 293T	BP	GO:0006575	cellular modified amino acid metabolic process	5.66E-01	186	138	134.12	1.03
BioPlex 293T	BP	GO:0003014	renal system process	6.20E-01	127	89	91.58	0.97
BioPlex 293T	BP	GO:0003012	muscle system process	7.43E-01	425	310	306.46	1.01
BioPlex 293T	BP	GO:0098754	detoxification	8.47E-01	134	98	96.63	1.01
BioPlex 293T	BP	GO:0006954	inflammatory response	8.73E-01	820	589	591.29	1.00
BioPlex HCT116	BP	GO:0050877	nervous system process	1.37E-64	1527	490	805.47	0.61
BioPlex HCT116	BP	GO:0065003	protein-containing complex assembly	2.91E-46	1648	1142	869.30	1.31
BioPlex HCT116	BP	GO:0042254	ribosome biogenesis	7.45E-38	297	260	156.66	1.66
BioPlex HCT116	BP	GO:0030163	protein catabolic process	2.84E-36	990	711	522.21	1.36
BioPlex HCT116	BP	GO:0016071	mRNA metabolic process	1.43E-35	713	535	376.10	1.42
BioPlex HCT116	BP	GO:0006886	intracellular protein transport	2.30E-35	664	503	350.25	1.44
BioPlex HCT116	BP	GO:0016192	vesicle-mediated transport	2.74E-35	1894	1252	999.06	1.25
BioPlex HCT116	BP	GO:0006914	autophagy	5.32E-34	568	438	299.61	1.46
BioPlex HCT116	BP	GO:0006281	DNA repair	3.89E-24	587	428	309.63	1.38
BioPlex HCT116	BP	GO:0007059	chromosome segregation	1.80E-23	403	309	212.58	1.45
BioPlex HCT116	BP	GO:0140053	mitochondrial gene expression	2.42E-23	164	146	86.51	1.69
BioPlex HCT116	BP	GO:0007005	mitochondrion organization	1.61E-18	484	349	255.30	1.37
BioPlex HCT116	BP	GO:0006325	chromatin organization	3.23E-16	720	486	379.79	1.28
BioPlex HCT116	BP	GO:0006399	tRNA metabolic process	4.18E-16	196	158	103.39	1.53
BioPlex HCT116	BP	GO:0006913	nucleocytoplasmic transport	4.36E-16	326	243	171.96	1.41
BioPlex HCT116	BP	GO:0007010	cytoskeleton organization	5.49E-15	1639	1015	864.55	1.17
BioPlex HCT116	BP	GO:0006260	DNA replication	2.56E-14	279	209	147.17	1.42
BioPlex HCT116	BP	GO:0055086	nucleobase-containing small molecule metabolic process	3.68E-13	729	480	384.54	1.25
BioPlex HCT116	BP	GO:0002181	cytoplasmic translation	1.25E-12	153	123	80.71	1.52
BioPlex HCT116	BP	GO:0006457	protein folding	6.95E-12	210	159	110.77	1.44
BioPlex HCT116	BP	GO:0006091	generation of precursor metabolites and energy	1.08E-11	502	339	264.80	1.28
BioPlex HCT116	BP	GO:0072659	protein localization to plasma membrane	2.15E-10	284	202	149.81	1.35
BioPlex HCT116	BP	GO:0012501	programmed cell death	1.36E-08	1954	1149	1030.71	1.11
BioPlex HCT116	BP	GO:0000910	cytokinesis	3.26E-08	186	135	98.11	1.38
BioPlex HCT116	BP	GO:0032200	telomere organization	3.26E-08	186	135	98.11	1.38
BioPlex HCT116	BP	GO:0055085	transmembrane transport	4.08E-07	1784	839	941.03	0.89
BioPlex HCT116	BP	GO:0007163	establishment or maintenance of cell polarity	5.96E-07	227	157	119.74	1.31
BioPlex HCT116	BP	GO:0006310	DNA recombination	2.30E-06	333	218	175.65	1.24
BioPlex HCT116	BP	GO:0007040	lysosome organization	3.62E-06	107	80	56.44	1.42
BioPlex HCT116	BP	GO:0005975	carbohydrate metabolic process	5.21E-06	551	343	290.64	1.18
BioPlex HCT116	BP	GO:0006790	sulfur compound metabolic process	1.63E-05	320	207	168.80	1.23
BioPlex HCT116	BP	GO:0006629	lipid metabolic process	1.90E-04	1355	781	714.74	1.09
BioPlex HCT116	BP	GO:0042060	wound healing	3.58E-04	431	264	227.35	1.16
BioPlex HCT116	BP	GO:0006520	amino acid metabolic process	9.25E-04	292	182	154.03	1.18
BioPlex HCT116	BP	GO:0002376	immune system process	1.41E-03	2448	1365	1291.28	1.06
BioPlex HCT116	BP	GO:0007018	microtubule-based movement	1.66E-03	640	377	337.59	1.12
BioPlex HCT116	BP	GO:0006355	regulation of DNA-templated transcription	2.22E-03	3342	1843	1762.86	1.05
BioPlex HCT116	BP	GO:0006486	protein glycosylation	4.68E-03	225	140	118.68	1.18
BioPlex HCT116	BP	GO:0098542	defense response to other organism	1.11E-02	1171	660	617.69	1.07
BioPlex HCT116	BP	GO:0003013	circulatory system process	3.53E-02	584	283	308.05	0.92
BioPlex HCT116	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	6.53E-02	119	73	62.77	1.16
BioPlex HCT116	BP	GO:0034330	cell junction organization	1.03E-01	727	405	383.48	1.06
BioPlex HCT116	BP	GO:0006575	cellular modified amino acid metabolic process	1.21E-01	186	109	98.11	1.11
BioPlex HCT116	BP	GO:0140013	meiotic nuclear division	1.31E-01	279	160	147.17	1.09
BioPlex HCT116	BP	GO:0030198	extracellular matrix organization	1.90E-01	314	154	165.63	0.93
BioPlex HCT116	BP	GO:0003014	renal system process	2.86E-01	127	61	66.99	0.91
BioPlex HCT116	BP	GO:0098754	detoxification	3.86E-01	134	76	70.68	1.08
BioPlex HCT116	BP	GO:0003012	muscle system process	4.04E-01	425	233	224.18	1.04
BioPlex HCT116	BP	GO:0022600	digestive system process	4.45E-01	110	54	58.02	0.93
BioPlex HCT116	BP	GO:0044782	cilium organization	4.48E-01	399	218	210.47	1.04
BioPlex HCT116	BP	GO:0048870	cell motility	8.57E-01	1659	879	875.10	1.00
BioPlex HCT116	BP	GO:0007155	cell adhesion	9.13E-01	1444	764	761.69	1.00
BioPlex HCT116	BP	GO:0006954	inflammatory response	9.43E-01	820	434	432.54	1.00
BioPlex HCT116	BP	GO:0006766	vitamin metabolic process	1.00E+00	107	56	56.44	0.99
ComPPI	BP	GO:0050877	nervous system process	1.22E-98	1527	1080	1362.87	0.79
ComPPI	BP	GO:0016192	vesicle-mediated transport	3.20E-36	1894	1832	1690.42	1.08
ComPPI	BP	GO:0012501	programmed cell death	1.48E-34	1954	1885	1743.98	1.08
ComPPI	BP	GO:0006355	regulation of DNA-templated transcription	4.47E-28	3342	3150	2982.79	1.06
ComPPI	BP	GO:0007155	cell adhesion	2.34E-25	1444	1393	1288.79	1.08
ComPPI	BP	GO:0048870	cell motility	7.49E-25	1659	1592	1480.68	1.08
ComPPI	BP	GO:0002376	immune system process	2.28E-22	2448	2314	2184.88	1.06
ComPPI	BP	GO:0007010	cytoskeleton organization	2.85E-22	1639	1568	1462.83	1.07
ComPPI	BP	GO:0006886	intracellular protein transport	4.92E-22	664	655	592.63	1.11
ComPPI	BP	GO:0006914	autophagy	1.21E-19	568	561	506.95	1.11
ComPPI	BP	GO:0030163	protein catabolic process	1.37E-19	990	959	883.59	1.09
ComPPI	BP	GO:0006281	DNA repair	1.42E-19	587	579	523.91	1.11
ComPPI	BP	GO:0055086	nucleobase-containing small molecule metabolic process	7.95E-16	729	708	650.64	1.09
ComPPI	BP	GO:0065003	protein-containing complex assembly	4.64E-15	1648	1558	1470.87	1.06
ComPPI	BP	GO:0016071	mRNA metabolic process	4.64E-15	713	692	636.36	1.09
ComPPI	BP	GO:0007005	mitochondrion organization	2.93E-14	484	475	431.98	1.10
ComPPI	BP	GO:0006091	generation of precursor metabolites and energy	1.68E-13	502	491	448.04	1.10
ComPPI	BP	GO:0034330	cell junction organization	7.26E-13	727	701	648.86	1.08
ComPPI	BP	GO:0003012	muscle system process	1.78E-12	425	417	379.32	1.10
ComPPI	BP	GO:0072659	protein localization to plasma membrane	1.08E-11	284	282	253.47	1.11
ComPPI	BP	GO:0042254	ribosome biogenesis	2.15E-11	297	294	265.08	1.11
ComPPI	BP	GO:0003013	circulatory system process	6.26E-11	584	564	521.23	1.08
ComPPI	BP	GO:0042060	wound healing	1.47E-10	431	420	384.67	1.09
ComPPI	BP	GO:0006913	nucleocytoplasmic transport	6.50E-10	326	320	290.96	1.10
ComPPI	BP	GO:0006260	DNA replication	1.95E-09	279	275	249.01	1.10
ComPPI	BP	GO:0006954	inflammatory response	3.22E-09	820	779	731.86	1.06
ComPPI	BP	GO:0007059	chromosome segregation	7.46E-09	403	391	359.68	1.09
ComPPI	BP	GO:0007163	establishment or maintenance of cell polarity	3.37E-08	227	224	202.60	1.11
ComPPI	BP	GO:0006629	lipid metabolic process	9.08E-08	1355	1265	1209.36	1.05
ComPPI	BP	GO:0006520	amino acid metabolic process	9.56E-08	292	285	260.61	1.09
ComPPI	BP	GO:0140053	mitochondrial gene expression	3.26E-07	164	163	146.37	1.11
ComPPI	BP	GO:0002181	cytoplasmic translation	1.08E-06	153	152	136.55	1.11
ComPPI	BP	GO:0006457	protein folding	1.52E-06	210	206	187.43	1.10
ComPPI	BP	GO:0007018	microtubule-based movement	2.57E-06	640	605	571.21	1.06
ComPPI	BP	GO:0006310	DNA recombination	2.60E-06	333	321	297.21	1.08
ComPPI	BP	GO:0005975	carbohydrate metabolic process	6.79E-06	551	522	491.78	1.06
ComPPI	BP	GO:0098542	defense response to other organism	2.15E-05	1171	1087	1045.14	1.04
ComPPI	BP	GO:0006399	tRNA metabolic process	2.34E-05	196	191	174.93	1.09
ComPPI	BP	GO:0055085	transmembrane transport	8.06E-05	1784	1640	1592.25	1.03
ComPPI	BP	GO:0006325	chromatin organization	1.73E-04	720	672	642.61	1.05
ComPPI	BP	GO:0003014	renal system process	7.62E-04	127	124	113.35	1.09
ComPPI	BP	GO:0007040	lysosome organization	8.41E-04	107	105	95.50	1.10
ComPPI	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	1.53E-03	119	116	106.21	1.09
ComPPI	BP	GO:0044782	cilium organization	2.42E-03	399	374	356.11	1.05
ComPPI	BP	GO:0000910	cytokinesis	2.67E-03	186	178	166.01	1.07
ComPPI	BP	GO:0022600	digestive system process	3.02E-03	110	107	98.18	1.09
ComPPI	BP	GO:0140013	meiotic nuclear division	4.57E-03	279	263	249.01	1.06
ComPPI	BP	GO:0030198	extracellular matrix organization	5.59E-03	314	295	280.25	1.05
ComPPI	BP	GO:0006790	sulfur compound metabolic process	1.36E-02	320	299	285.61	1.05
ComPPI	BP	GO:0098754	detoxification	3.53E-02	134	127	119.60	1.06
ComPPI	BP	GO:0006766	vitamin metabolic process	4.08E-02	107	102	95.50	1.07
ComPPI	BP	GO:0006575	cellular modified amino acid metabolic process	1.20E-01	186	173	166.01	1.04
ComPPI	BP	GO:0006486	protein glycosylation	1.30E-01	225	208	200.82	1.04
ComPPI	BP	GO:0032200	telomere organization	3.40E-01	186	162	166.01	0.98
ConsensusPathDB	BP	GO:0050877	nervous system process	1.36E-80	1527	1161	1394.69	0.83
ConsensusPathDB	BP	GO:0016192	vesicle-mediated transport	6.34E-29	1894	1844	1729.89	1.07
ConsensusPathDB	BP	GO:0007155	cell adhesion	2.51E-26	1444	1413	1318.88	1.07
ConsensusPathDB	BP	GO:0006355	regulation of DNA-templated transcription	2.71E-25	3342	3195	3052.42	1.05
ConsensusPathDB	BP	GO:0012501	programmed cell death	8.16E-25	1954	1893	1784.69	1.06
ConsensusPathDB	BP	GO:0007010	cytoskeleton organization	1.62E-24	1639	1595	1496.98	1.07
ConsensusPathDB	BP	GO:0048870	cell motility	5.95E-22	1659	1609	1515.25	1.06
ConsensusPathDB	BP	GO:0006281	DNA repair	3.20E-17	587	582	536.14	1.09
ConsensusPathDB	BP	GO:0006886	intracellular protein transport	2.57E-16	664	655	606.46	1.08
ConsensusPathDB	BP	GO:0002376	immune system process	2.80E-16	2448	2335	2235.88	1.04
ConsensusPathDB	BP	GO:0006914	autophagy	1.48E-14	568	561	518.78	1.08
ConsensusPathDB	BP	GO:0030163	protein catabolic process	1.28E-13	990	961	904.22	1.06
ConsensusPathDB	BP	GO:0034330	cell junction organization	2.67E-13	727	711	664.01	1.07
ConsensusPathDB	BP	GO:0006629	lipid metabolic process	9.29E-12	1355	1300	1237.59	1.05
ConsensusPathDB	BP	GO:0055086	nucleobase-containing small molecule metabolic process	6.37E-11	729	709	665.83	1.06
ConsensusPathDB	BP	GO:0007059	chromosome segregation	1.41E-10	403	398	368.08	1.08
ConsensusPathDB	BP	GO:0006954	inflammatory response	5.02E-10	820	793	748.95	1.06
ConsensusPathDB	BP	GO:0042060	wound healing	3.42E-09	431	423	393.65	1.07
ConsensusPathDB	BP	GO:0003012	muscle system process	4.81E-09	425	417	388.17	1.07
ConsensusPathDB	BP	GO:0016071	mRNA metabolic process	5.46E-09	713	690	651.22	1.06
ConsensusPathDB	BP	GO:0003013	circulatory system process	5.61E-09	584	568	533.40	1.06
ConsensusPathDB	BP	GO:0007005	mitochondrion organization	6.15E-09	484	473	442.06	1.07
ConsensusPathDB	BP	GO:0006091	generation of precursor metabolites and energy	7.11E-09	502	490	458.50	1.07
ConsensusPathDB	BP	GO:0030198	extracellular matrix organization	2.37E-08	314	310	286.79	1.08
ConsensusPathDB	BP	GO:0006913	nucleocytoplasmic transport	7.49E-08	326	321	297.75	1.08
ConsensusPathDB	BP	GO:0065003	protein-containing complex assembly	1.22E-07	1648	1560	1505.20	1.04
ConsensusPathDB	BP	GO:0006260	DNA replication	4.59E-07	279	275	254.82	1.08
ConsensusPathDB	BP	GO:0072659	protein localization to plasma membrane	1.84E-06	284	279	259.39	1.08
ConsensusPathDB	BP	GO:0055085	transmembrane transport	2.06E-06	1784	1681	1629.42	1.03
ConsensusPathDB	BP	GO:0006310	DNA recombination	4.42E-06	333	325	304.15	1.07
ConsensusPathDB	BP	GO:0007163	establishment or maintenance of cell polarity	2.31E-05	227	223	207.33	1.08
ConsensusPathDB	BP	GO:0098542	defense response to other organism	4.35E-05	1171	1106	1069.53	1.03
ConsensusPathDB	BP	GO:0006457	protein folding	6.46E-05	210	206	191.80	1.07
ConsensusPathDB	BP	GO:0140053	mitochondrial gene expression	7.28E-05	164	162	149.79	1.08
ConsensusPathDB	BP	GO:0005975	carbohydrate metabolic process	1.10E-04	551	527	503.26	1.05
ConsensusPathDB	BP	GO:0006520	amino acid metabolic process	2.07E-04	292	283	266.70	1.06
ConsensusPathDB	BP	GO:0002181	cytoplasmic translation	2.27E-04	153	151	139.74	1.08
ConsensusPathDB	BP	GO:0042254	ribosome biogenesis	3.73E-04	297	287	271.26	1.06
ConsensusPathDB	BP	GO:0007018	microtubule-based movement	4.37E-04	640	608	584.54	1.04
ConsensusPathDB	BP	GO:0140013	meiotic nuclear division	5.20E-04	279	270	254.82	1.06
ConsensusPathDB	BP	GO:0003014	renal system process	1.36E-03	127	125	116.00	1.08
ConsensusPathDB	BP	GO:0006790	sulfur compound metabolic process	1.78E-03	320	307	292.27	1.05
ConsensusPathDB	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	2.82E-03	119	117	108.69	1.08
ConsensusPathDB	BP	GO:0006399	tRNA metabolic process	2.99E-03	196	190	179.02	1.06
ConsensusPathDB	BP	GO:0000910	cytokinesis	5.45E-03	186	180	169.88	1.06
ConsensusPathDB	BP	GO:0022600	digestive system process	5.76E-03	110	108	100.47	1.07
ConsensusPathDB	BP	GO:0006486	protein glycosylation	2.26E-02	225	215	205.50	1.05
ConsensusPathDB	BP	GO:0044782	cilium organization	2.40E-02	399	377	364.43	1.03
ConsensusPathDB	BP	GO:0007040	lysosome organization	2.45E-02	107	104	97.73	1.06
ConsensusPathDB	BP	GO:0006575	cellular modified amino acid metabolic process	3.48E-02	186	178	169.88	1.05
ConsensusPathDB	BP	GO:0098754	detoxification	4.34E-02	134	129	122.39	1.05
ConsensusPathDB	BP	GO:0032200	telomere organization	4.81E-02	186	162	169.88	0.95
ConsensusPathDB	BP	GO:0006325	chromatin organization	5.81E-02	720	672	657.61	1.02
ConsensusPathDB	BP	GO:0006766	vitamin metabolic process	8.21E-02	107	103	97.73	1.05
DIP	BP	GO:0012501	programmed cell death	1.13E-150	1954	789	332.99	2.37
DIP	BP	GO:0002376	immune system process	3.65E-134	2448	883	417.18	2.12
DIP	BP	GO:0006355	regulation of DNA-templated transcription	3.83E-106	3342	1028	569.53	1.81
DIP	BP	GO:0065003	protein-containing complex assembly	9.42E-105	1648	631	280.84	2.25
DIP	BP	GO:0006325	chromatin organization	7.86E-85	720	344	122.70	2.80
DIP	BP	GO:0048870	cell motility	3.69E-76	1659	578	282.72	2.04
DIP	BP	GO:0006281	DNA repair	9.02E-75	587	289	100.03	2.89
