Gene Set Group	Gene Set Name	Source	Gene List (NCBI Gene IDs)	
Literature	Chagas Disease	DisGeNET	"1536,1026,3586,79874,83447,9735,4615,3593,3596,55823,5138,1555,79893,3605,3606,28,3105,6690,2551,6693,4135,3115,43,155185,3123,4659,8756,4153,1595,60,3135,6723,23621,51271,590,26191,24145,6737,6738,2645,3669,4698,6236,8291,100,1636,2669,4205,5743,4209,627,7291,3708,7297,1666,10891,78989,142,729230,2200,3240,5290,5291,2220,5293,5294,4780,2224,89782,183,4282,1723,8894,9407,2752,4803,23236,4810,6347,6348,718,6351,1234,5332,213,4313,3803,1756,4318,2272,3811,8932,6376,4843,3308,107075310,240,6385,3827,4860,7421,255743,5888,3329,2309,7431,7432,7433,7434,775,3856,2335,4899,6948,129831,811,4907,6962,820,5428,55611,5443,335,5972,4948,54106,255324,5468,5473,1378,6498,23411,114548,3958,10614,22904,3965,8061,383,7040,3458,51592,7057,133522,22933,22934,3479,8600,6556,412,4512,1440,4513,5027,10148,114086,4519,55206,9639,1965,3502,941,1968,942,8626,29108,90550,5047,7097,7099,80316,100132285,406990,4049,6609,6098,7124,472,2520,7133,4061,3553,8163,3557,3558,3559,489,490,2539,1514,51182,3566,5617,3569,7157,5111,6648,10747,7167"	
Literature	Charcot-Marie-Tooth Disease	DisGeNET	"4099,64518,6663,5640,16,11284,3094,6678,538,8731,3098,127003,4640,65057,147495,5165,4141,90678,23095,23096,2617,2618,4155,60,54332,573,27190,2629,2630,71,6736,7251,5217,1636,10342,57449,5230,5236,5241,4734,6272,10376,4744,4747,7824,2705,2706,2707,3735,1689,10397,8864,57505,6305,3236,26278,9896,121512,84649,2728,6834,8888,3258,8896,8898,5827,7879,7880,9927,6347,84174,3798,4311,5341,8926,1759,317664,1760,3300,1253,55526,1254,79594,26353,1778,3315,3316,2806,1270,1785,5375,5376,4359,79628,9997,6929,10516,23321,8988,10013,7453,11039,28960,1821,10018,6442,158506,9516,10540,4908,5428,821,1337,9531,10558,57152,9542,11079,1352,80208,336,5972,3925,728411,3931,2395,5981,351,22880,133482,1902,9587,57716,55669,8565,653689,8570,1915,6012,51067,56704,653188,2953,23435,121227,23438,22931,410,56731,27036,1435,4508,4000,11168,373156,1956,64423,1959,9639,9131,3508,81846,4534,950,960,81857,8139,59341,6606,5071,462,59345,6607,338382,389072,6094,26580,7124,3032,2521,3035,476,7133,2014,84447,51168,9181,998,3560,407021,6638,1523,3059,6647,113146,5631"	
Literature	Chikungunya Fever	DisGeNET	"3586,64006,2058,51728,23569,56848,3604,23583,3105,23586,3107,27180,3119,3120,10288,5171,3123,23607,110006328,9271,3659,4684,3661,574031,3665,64083,3669,1109,53342,51296,282618,6253,58478,30835,10867,6772,729230,2194,114836,7320,54938,192669,6301,9375,57506,7332,5290,5291,684,5293,5294,9908,2744,4282,59067,9402,56005,23237,6347,2775,3802,8412,64221,2273,3824,9971,4350,101929726,25859,4869,5894,7431,3340,400668,7965,799,5920,129831,25897,79665,54587,10044,10045,143689,4938,4939,3916,4940,3918,1363,25939,3428,10598,3438,3439,114548,25973,1398,3447,3455,3456,3458,53635,1938,91543,1432,27032,1437,10146,406948,1973,1974,50616,3001,7098,3002,959,27074,972,4045,7124,1493,6616,26073,5594,10204,5599,1506,407010,3557,3569,6646,3576,246778,27131,9213,55294"	
Literature	Childhood Acute Monocytic Leukemia	DisGeNET	"1153,100310785,4869,3720,406921,2187,267,2322,4629,10006,406938,5914,1440,3105,406947,5290,5291,5293,5294,10801,64689,49,948,23092,91319,7994,5563,378938,5564,4542,5562,4928,2113,834,84295,5321,4297,6857,4300,4302,335,6095,81617,406991,5970,140885,7421,5468,5340,4830,84447,30816,3684,65125,406884,6376,3689,4841,1387,7150,2033,3569,8178,7412,23157,2167,3576,1788,7037,7295"	
Literature	Childhood Acute Myeloid Leukemia	DisGeNET	"407040,407041,54790,8714,171023,55824,2068,21,4629,442904,25,1050,442909,2078,442915,3620,10278,51750,442920,3110,2623,2624,724033,2626,2120,2122,4684,10320,65108,596,602,53342,4193,4194,79971,3683,613,8301,4208,23157,23158,6774,8824,5243,1662,8835,3717,7307,2187,945,4756,5781,3732,5786,162979,9892,3236,51119,27306,7852,3757,2735,84662,65211,51393,652995,6343,4297,4301,10962,1236,9429,5332,4311,57060,3815,9961,7913,4330,494324,89845,1271,5371,1788,494331,7422,1789,7424,4353,50945,10499,3845,4869,4363,3342,2322,80150,5914,6427,4893,1822,5919,11040,10016,801,79139,805,808,253738,7980,25901,302,4914,7994,105376570,6576,4928,834,7490,51523,5956,64324,10058,331,332,57167,3921,401237,8021,4437,3417,3418,1371,8028,861,862,863,864,865,23476,355,7013,1387,7531,406892,2934,406903,406906,2944,7040,3458,22914,8073,9100,4504,9138,7066,923,1436,1437,4508,23451,11168,100528032,3490,1441,1440,930,406947,10153,406959,84911,406938,64434,947,121268,1973,1974,406967,952,4537,10682,406971,7099,5048,1977,26040,7097,4547,4035,1991,406989,55252,472,2521,5595,23522,3558,407014,63976,3561,3562,3563,23532,407021,1514,137196,3569,102724594,407026,7157,574455,3065,246778,79870"	
Literature	Childhood Anaplastic Large Cell Lymphoma	DisGeNET	"4609,7170,1026,3586,1029,1027,1030,442891,5133,7185,4627,3605,1051,5156,9260,3643,2108,2113,4163,4170,4684,3662,595,4179,596,3669,388697,602,5725,94,2146,10342,8809,6249,56940,6772,100507254,6774,8829,8837,3718,6281,2185,3725,3726,3727,5265,5777,673,56996,4772,1191,682,126637,126638,5315,54474,207,6352,1232,8915,6356,55509,1237,10970,3815,4842,4843,64236,7405,238,8431,57599,2309,4869,5896,5897,1803,2833,2322,10519,1306,10018,290,805,2353,2354,4914,822,28986,9021,2885,329,330,6480,355,7528,3956,4478,3458,3479,1432,1436,931,1956,7076,3492,10148,406947,943,8626,5047,50616,6590,29126,7124,471,5595,1499,5599,8161,3554,4582,3559,6121,3567,7157,6646,80380,1021"	
Literature	Childhood Angiosarcoma	DisGeNET	"4609,1029,6663,1031,2056,3091,8728,442908,442909,23583,10278,5163,387119,6194,5175,2113,2130,1113,5728,4193,1634,23152,9332,6271,7298,7299,6285,4240,153,154,5787,10395,673,5629,675,5290,5291,10413,5294,5293,4286,3265,6855,207,3791,5335,23261,3815,238,4846,23279,3320,51450,7422,3845,5894,2324,6423,7450,1314,7471,309,1871,25937,7508,29015,7001,5979,51547,10589,6506,23405,23411,7030,6520,406906,1944,27040,7075,2475,943,947,5054,54206,29126,8140,406992,5584,6098,1490,1493,7128,84959,2022,5609,2030,7157,4087,574456,51705,1021"	
Literature	Childhood B Acute Lymphoblastic Leukemia	DisGeNET	"4609,1029,2057,83478,25,1050,1053,57379,5159,1066,27178,6711,4153,3131,2120,101927497,3146,5708,10320,596,3669,53342,613,154214,2669,64109,3197,3717,6279,8842,28309,6310,5290,5291,2220,5293,5294,1719,10428,84159,56005,4297,4311,4318,3811,28402,6387,5878,7415,50943,5896,6418,7955,57116,1822,6962,4919,3902,286530,102723407,401237,79191,861,51561,102724971,6518,22919,10642,10643,3988,923,930,3492,933,2475,941,942,947,6579,3512,952,1982,115650,50628,406991,1490,1493,5079,2526,5087,2017,3558,3559,3563,4088,7161,246778,1019,1021"	
Literature	Childhood Burkitt Lymphoma	DisGeNET	"2048,118788,2059,25,27,2081,57379,2100,4149,10301,2113,4170,4171,4179,115482713,30817,2146,4193,4194,8289,117,123,4233,2187,729230,2197,10395,6303,2208,4255,2214,2215,4265,182,340152,4282,57531,6332,57534,4288,4297,207,4311,6361,6364,2268,2271,2272,6382,55536,240,28912,6387,6403,2308,2313,4363,10519,80155,100505887,2335,28985,137529,317,10563,325,100653382,328,330,331,332,4437,8536,351,8543,57697,96610,355,6502,51564,2421,6520,22914,387,266629,4486,22920,51594,29072,406,407,338339,6566,407975,121256,8624,10672,10673,6594,6597,29126,8655,468,472,473,27113,489,2539,51701,6646,100532731,10747,4609,4613,6664,10769,27161,27163,6687,2597,51750,8743,567,4665,4669,8766,55872,92737,2624,6723,8771,2629,581,4684,4691,596,597,599,2648,603,604,2652,605,607,10848,613,8807,616,8809,2668,627,6774,6778,639,2688,648,100008589,654,10902,2720,673,4773,678,2735,4790,695,4791,10944,6850,720,721,10962,27349,4830,4842,6891,4843,6890,4851,4853,760,4864,11009,6929,4882,788,790,796,8996,2852,6964,822,836,846,847,9043,11091,54106,2908,861,7023,23409,2932,7030,7037,894,7039,7040,896,7048,923,100293534,9122,930,931,7076,64421,100529063,9126,9123,940,943,944,11186,23476,948,80824,953,952,958,959,960,961,115650,965,966,969,84939,973,974,975,976,7124,5079,995,5093,23541,7157,23543,1017,7161,1019,1021,1026,1027,1029,7174,1030,3091,7187,3099,23583,3105,1060,5163,9260,60468,110255168,644165,7248,7251,3159,9314,29802,3190,7297,7301,1163,9361,29843,5277,9382,5290,5291,5292,5293,5294,1215,54474,5336,7389,5347,3309,1263,7409,5366,79094,3320,7422,7431,3342,7441,1316,3383,3399,3400,109864272,3418,1380,406885,7528,100302185,1386,102724971,3439,7535,3447,7553,406914,3458,728458,415116,5524,1429,406934,9623,1432,406935,1434,406937,406938,1437,406942,1440,1441,406947,406948,3492,406952,50616,406974,1471,5573,5578,5579,406991,3535,3537,3538,3539,3540,3541,3542,83416,5594,5595,5600,3553,5602,407010,5604,3558,3559,407019,407020,407021,3565,83439,9709,3569,1525,407030,400892,407041,3586,9734,3596,3598,83478,3606,54814,5687,3643,5694,5696,1611,3662,140885,3669,441951,5728,3683,3689,5743,1649,50802,26227,1652,1654,5754,3716,3717,101060233,3726,5777,5788,9891,7852,5817,59067,5820,1728,54984,9940,3815,28395,9970,28407,1786,1789,1796,28421,5894,5896,5905,1822,5921,10018,374569,100507436,5934,653108,1844,116535,28471,1847,1854,79680,286530,3918,102723407,1874,112476,3934,28514,28522,28523,5996,51053,28526,6003,3956,79733,3960,3965,3981,8085,1950,100528032,1956,10148,4005,83879,83881,8115,114614,10170,100616132,2006,10206,8163,4068,2023,51176,327657,2033,4086"	
Literature	Childhood Ependymoma	DisGeNET	"2048,407042,6659,4613,1029,6663,6662,54790,2056,442891,10763,1030,6664,2066,2067,127003,27165,94241,6690,546,5156,4133,5159,55859,2108,4162,1612,150094,595,4691,10327,1116,6750,6240,4193,2146,23136,5728,1641,100271722,7276,2670,53358,6774,340602,5243,7291,4221,6781,6271,2688,6273,3714,6275,3205,6277,4233,8842,6285,10381,9368,4255,2209,4771,5290,5291,10413,5294,4782,25776,6833,5293,182,57534,4288,6855,3791,2260,2261,4311,2775,5340,3815,10481,4851,5880,2302,7422,1812,1813,6935,3351,799,10527,811,3371,113451,5934,3897,828,10046,8000,3908,6469,324,80712,841,102724428,80210,5970,6996,3925,3417,10608,406902,406903,6535,5015,9119,1956,406948,427,406957,11186,339896,960,7106,406979,29126,6598,57801,6606,6607,65998,977,7122,5079,6622,407006,407012,4582,407021,574447,3569,7157,3576,1021"	
Literature	Childhood Hepatocellular Carcinoma	DisGeNET	"407040,6657,407041,6656,3082,92170,1555,3091,28,442911,3105,545,5156,51750,38,6696,574506,5166,4143,5168,378938,115482696,4170,728655,51280,5715,595,596,55384,102157401,353376,2147,10855,5228,5743,60529,23158,8312,5243,126,6786,644,8842,4236,729230,5265,3732,64151,9368,2719,6317,174,6318,23213,10413,2736,694,100316868,5831,6347,3791,1236,213,216,2264,6876,4318,7913,9965,107075310,3309,7412,7422,60674,7428,100885779,10524,10534,7980,11054,54577,8507,55616,100302145,51014,54600,1869,6480,7515,100302174,864,353,3939,406884,3429,7015,4968,79723,366,9585,55665,406903,406906,406910,6528,7040,5002,100302736,51603,11162,406938,406941,4513,1956,407975,2475,4524,406959,10671,80312,22974,406982,3015,406987,406991,977,8658,54739,80339,112597,7124,472,1499,8668,50652,5090,407010,3558,27113,574443,2539,407021,3569,7157,407039"	
Literature	Childhood Hodgkin Lymphoma	DisGeNET	"79885,10255,2064,4118,57379,2100,60,4157,2113,115482704,4193,115482723,102,4210,4233,4255,6304,2208,51360,57510,2215,2214,4267,57534,4288,4292,2247,6343,6348,6351,6352,207,6355,6356,55509,2263,8408,6361,4318,6367,2272,6382,238,2288,200942,6387,246,57591,2296,2297,6402,2308,4360,51477,6430,10539,10541,330,331,332,84300,260431,51548,6495,22882,355,55655,133482,22914,4487,51592,6535,397,22927,399,407,4513,373156,2475,10673,6582,6588,80316,22981,29126,8651,8654,27087,27086,6616,472,2526,4580,6646,100532731,80380,6656,4609,4615,27161,162333,6687,6688,545,6689,8741,51750,23081,2625,4683,596,604,23135,608,6756,613,6757,2669,2671,6772,6774,23158,6776,6777,6778,4735,639,2688,642,8837,648,8842,673,23205,27306,8874,84662,4790,4792,695,4794,4791,8888,710,103164619,27342,4821,4830,8932,6885,4851,10999,4863,4869,780,6929,2833,727837,799,129831,811,6962,6965,6966,11065,846,58191,54106,2911,863,2915,7015,23405,4978,2938,2944,7040,84868,23429,2950,7048,80777,2952,5015,2968,11168,201633,930,931,445347,939,93100,940,943,944,2993,2994,947,11186,2996,952,9146,7099,5054,958,11200,965,967,968,970,974,7124,112935892,5079,7128,3035,7133,995,3043,9191,23532,11244,5104,7157,7161,3065,1019,1026,3077,1029,5133,7185,7187,9242,23583,3105,3110,3111,9260,3119,3123,23604,3135,3142,1111,1112,9308,54386,9332,5243,7292,7293,3219,23705,5290,5291,5292,5293,5294,5295,7350,54474,1232,1233,1234,1236,25824,1268,5371,7421,5376,7424,25859,3342,388372,199974,7474,3383,25913,7494,5450,5452,128338,9560,7514,7515,1380,7535,406907,5502,3458,54658,3479,1435,9628,406942,1440,406947,3492,406952,9641,5573,406991,3535,1490,1493,83417,5595,1499,5598,407012,3558,85480,3562,3563,407018,3565,3566,3567,9709,3569,1525,3574,3586,3587,9734,407047,407046,3593,407051,3596,3598,5646,3604,3605,1559,65059,3627,5698,3662,3663,3670,386653,1630,3683,1636,5743,50802,3702,1666,3716,3717,5770,5771,5781,5788,7840,7852,91851,3791,9940,3806,3811,3812,3813,3815,107075310,9970,1803,5905,5906,10013,1822,10018,100507436,653108,51008,5966,1871,5971,1876,3925,1879,79710,3956,3965,6015,10125,10135,6046,100528032,1958,114614,1999,83933,10206,8163,4068,2042"	
Literature	Childhood Kidney Wilms Tumor	DisGeNET	"2048,100499467,51214,2064,2068,139285,25,10278,2099,81,115482706,2130,115482713,2138,4192,6240,2146,8321,6275,8324,4233,51352,6297,6299,10403,57508,10409,4267,174,182,57531,2237,190,57534,4288,10436,4292,2248,4297,207,57556,216,256236,238,8434,8190,4360,2313,2314,268,2322,6418,6422,10518,6426,22822,389421,51517,324,4435,6490,6495,6496,356,367,374,8569,51588,4487,6546,22943,10664,4524,29102,79870,2488,80316,6591,29119,4547,8644,6598,2516,8678,4591,283120,10736,6647,440823,2551,4613,10763,8720,129563,51741,442915,2597,10818,4676,6732,4684,105259599,6736,791122,595,596,597,611,613,100131434,2668,627,6772,6774,23158,10879,6786,650,6794,4747,657,23192,10904,2719,672,673,675,4771,4780,2735,701,100188864,4803,4804,338645,4825,4826,8929,10984,4851,6915,4867,4869,4868,6928,4893,84777,9002,6962,56117,4919,58189,847,861,862,7013,7014,7015,4968,23405,23414,7039,7040,5002,2956,7054,11151,7057,11156,693147,7076,693157,7079,11186,947,23475,693175,952,5054,9158,693198,977,5074,5076,5077,5079,5080,3043,999,7153,7157,5111,7161,1019,1028,1029,1033,11274,3082,171023,11281,619552,3105,5154,664612,3117,5176,9294,7249,7251,7262,5216,9319,3191,5243,5245,5253,54407,5290,5291,5293,5294,5295,404663,3265,5314,5324,54487,5336,3308,3324,7421,7422,7428,7431,3342,5395,5420,7474,3394,7490,5444,7491,25928,50511,5473,100302179,85348,1382,9610,5518,5524,406932,3479,3480,3481,406936,3482,406947,126374,9646,100302256,108570035,130497,406980,406986,5578,406991,1490,1495,5595,1499,3558,3565,3569,5619,83478,26136,5657,347689,3630,9780,3643,9810,1620,5727,5728,347745,5741,5743,7799,5764,1674,100126346,7827,5788,7849,7855,3784,3791,79577,3845,57104,5906,5914,1822,10014,5925,5931,5948,94025,1871,57167,5972,5978,5979,107648861,112483,8045,79727,8087,100528024,8091,1956,4004,1958,1959,4005,10155,26574,8151,92140,26610,6134,4087,4089,55294"	
Literature	Childhood Leiomyosarcoma	DisGeNET	"1024,5121,407042,4609,1029,9734,4616,11274,407050,1036,6670,3091,4638,5155,5156,1068,558,23089,2099,4659,4152,60,101054525,3645,6722,1611,2130,596,56916,115482713,94,5728,4193,53347,2152,9839,1649,27250,9332,2678,6774,5241,633,58500,7301,4233,1674,91807,672,728226,10403,5290,5291,5293,5294,6323,1718,91833,186,84676,25802,5324,207,8402,2271,3815,9961,729838,238,9968,7421,4862,57599,7422,1277,3845,7431,1800,4360,3342,57104,22800,6419,653590,6935,800,2346,113451,112939,4914,4920,9021,11073,1869,8030,7015,85366,406902,728441,406910,10123,3481,9113,1435,8091,406943,55213,388015,11186,947,8626,55733,1462,339896,5054,6591,6590,29126,6598,406985,1482,406991,93649,2006,472,2521,407006,8161,3554,999,51176,23528,7145,1000,2030,7153,7157,7158,3576,7161"	
Literature	Childhood Liposarcoma	DisGeNET	"6657,2,1029,6663,8720,1051,100499483,23583,7204,5156,5159,4150,23097,6714,6720,6208,10818,5187,5714,595,2130,3159,1111,115482713,5728,4193,2668,58476,1649,5747,23158,6774,4217,6778,5243,5754,6275,6790,2194,4763,3229,51360,8864,6305,7849,5290,5291,3756,5293,5806,5294,10927,26291,4292,5324,207,2260,10457,2778,4313,107228383,5346,5347,6883,6886,3815,6382,55027,8436,3320,7431,3342,57104,5922,1316,4904,2346,27436,50486,4921,2874,324,843,1869,25937,1874,246100,4436,1368,3930,5979,858,7514,5468,7015,3949,3952,885,1398,7545,4482,23435,22926,5007,3479,3481,406937,923,1436,7069,8091,11166,3488,412,406947,1956,7076,7079,149420,4026,9149,574411,1485,27086,93649,80339,8148,284119,984,2521,1499,407014,114349542,407016,488,3052,644079,3569,2034,574455,7157,6647,1019"	
Literature	Childhood Lymphoblastic Lymphoma	DisGeNET	"4609,1029,1030,83478,442906,23583,5156,51750,5159,8772,2122,4171,2130,595,596,55384,6232,604,54880,5728,613,7272,100126317,8301,1647,23152,3195,3717,4773,4267,3267,81608,4297,1236,213,2260,81620,6886,7409,4851,5896,2313,3342,3855,6932,374569,6962,4921,5443,219972,25925,3916,4436,51540,6490,6491,861,3425,355,440193,9603,84883,9623,930,4004,4005,406952,4524,6573,943,8115,961,29126,8140,973,693200,7124,407008,3558,8678,51176,3565,7157,1017,55294"	
Literature	Childhood Malignant Peripheral Nerve Sheath Tumor	DisGeNET	"2048,7297,2305,4613,6662,8839,6663,4233,3082,6790,3084,6285,2066,3091,2070,3480,1944,4763,8091,23583,2335,673,7716,5156,1956,6696,7849,2475,7088,701,6590,6271,960,22856,6857,586,5196,1485,207,2130,595,246100,1108,5077,5594,1499,94,4192,4193,2146,8161,3554,1382,6760,4585,1649,7157,407029,8314,1019,3837,57599"	
Literature	Childhood Myelodysplastic Syndrome	DisGeNET	"2056,18,2068,100124696,25,2074,8233,115482684,6208,2113,2120,2122,2125,6223,115482713,4193,2146,51312,4210,4211,2177,6279,6280,8328,2187,142,51352,4254,51364,6329,2235,8379,4291,653509,6343,4297,4313,4318,2272,2274,51428,4332,238,4352,4353,6406,2321,2322,10518,28951,6427,285,10533,80169,8493,2353,8506,317,22852,28996,10569,10573,246100,10584,6494,356,10598,367,51573,51592,29072,92579,29102,55729,8626,29107,80319,55745,8651,27086,8660,84441,57817,641518,4597,51703,4602,100532731,4615,55824,6678,546,8743,442920,23092,2623,2624,4684,595,8788,596,8795,8797,23135,613,160364,2669,2672,6774,23158,2688,8837,6790,648,4763,27306,10923,2735,23236,23243,10962,4833,738,4839,2805,494327,2815,729857,11010,4869,23305,796,4893,6943,129831,404266,811,344875,2878,4928,838,285527,861,862,7012,9063,7015,23405,23411,4986,7036,2944,7040,84868,7048,2952,7056,7066,923,23451,7070,11168,929,7075,64422,947,23476,948,5048,952,960,11200,5058,966,7124,9172,23512,3039,3040,999,7153,5108,7157,5111,7161,9212,1028,3077,1030,7172,1029,171023,3091,5141,1050,3105,3115,23600,3123,3146,1114,7291,5243,3205,9349,7307,7334,3239,5290,5291,5293,5294,9402,3265,3268,259283,1236,7390,3313,3342,79139,25897,50484,7486,7490,3400,79184,3417,3418,7515,7516,5468,106480993,406883,9576,1387,7531,406902,406903,1398,406910,406911,406913,406935,1432,406936,406937,406938,1436,1437,406942,1440,1441,1452,26040,1485,1495,26073,5594,1499,407007,5599,3558,3559,3562,3563,3576,3586,9734,54790,83478,7709,497189,1576,128553,1601,1604,3654,3659,1612,83539,3669,3674,54880,3690,1649,7799,54904,26234,1662,3717,151176,83595,5781,56983,7852,5813,5814,1728,1748,3811,57060,3815,55016,1786,1788,5888,100310785,3845,5914,7965,1822,5917,10016,10017,28471,5956,57167,79698,3925,1879,114548,6016,26503,3981,1958,8111,51119,1977,8140,4066,10221,2030,51185,4084"	
Literature	Childhood Non-Hodgkin Lymphoma	DisGeNET	"2056,9,10,2064,2068,57379,6194,110006328,115482684,2113,115482696,4170,10318,115482713,30816,4193,2146,79971,4194,6240,8294,4236,142,2209,2212,2214,2215,8360,8361,8362,8359,8363,8364,8365,8367,8368,8366,8370,653499,196,2247,4297,207,2260,2264,4313,4312,6366,2271,4318,238,8431,6387,4342,100616444,8445,2308,6406,4361,4363,283,290,10534,28985,6470,331,10573,4436,353,354,355,356,55655,10599,133482,22914,387,407,4507,10657,338339,373156,6566,2475,4524,10671,10673,8626,29107,22974,4548,29126,84433,472,57827,2539,4609,4613,64006,4615,442892,6687,51750,8743,567,10808,6714,8764,2629,581,4683,4684,595,596,598,602,8795,604,8797,6750,613,6774,23158,641,643,6790,8863,121504,673,23205,27306,10923,4790,695,55997,706,710,8915,27349,4830,6898,4852,4862,4869,6929,4882,801,8994,805,652070,129831,808,2857,6962,387893,2875,9021,836,841,843,846,847,58191,54106,859,866,7012,889,7037,894,2944,7040,896,2947,2950,5000,2952,2956,930,931,7076,933,7077,5027,7082,940,5037,943,945,947,951,952,3002,958,959,960,961,115650,11200,7102,3014,966,974,7124,5079,7128,7133,990,574448,5104,7157,5111,7161,1017,1021,1029,1030,7185,3090,1043,1050,23583,5156,5159,574504,9260,60468,3135,3146,60498,353376,5243,7298,7301,3222,3223,29851,5292,5293,7350,404663,1215,3265,100775105,54474,5324,1236,25816,5347,3305,3308,5362,5371,7421,7422,3329,25859,7433,29968,1312,9520,50485,3394,5444,554313,64857,7515,3429,9575,102724971,1408,9612,9623,406942,406943,1440,1441,3492,5573,406991,1493,1499,5604,3558,3559,407020,3565,5617,3569,1525,5627,1535,3586,3587,9734,1545,3596,5649,1555,83478,1559,1571,3620,65059,1586,390714,3643,5698,1604,7750,3662,5715,65108,3669,3670,56919,1630,5728,1636,1649,54916,5777,28309,5783,5788,7852,105379528,100271849,7916,7918,9970,28402,1786,5894,10013,10018,5925,374569,3887,653108,3903,51009,10051,51014,102723407,151393,8038,3952,3953,114548,3963,10111,100302736,6037,8085,4000,100528032,8101,8115,114614,1974,1977,1981,6095,6096,4049,79823,4058,10206,4068,51177"	
Literature	Childhood Oligodendroglioma	DisGeNET	"23040,1029,1030,1031,10763,83478,10777,27165,546,5156,47,4155,115482684,60,10309,3146,1611,1612,596,115482713,3674,5724,5728,2146,64098,10855,1641,2670,5743,23152,30833,6770,6783,7297,9860,4233,1674,8848,219793,5777,7832,51352,8350,8351,8352,8353,8354,8355,673,8357,8358,8356,4255,6822,5290,5291,10923,5293,5294,100288687,8880,5803,54454,57534,2752,4288,2247,6855,7368,207,2260,5340,84707,4842,4843,1773,6900,4853,5879,110806263,7422,768,8452,7431,8968,3339,3342,2321,1822,2334,1825,79139,3371,29998,9518,1326,25913,64321,1859,324,57670,5453,10573,63827,8022,3417,3418,2395,5978,7015,6505,1385,7535,10608,3956,340348,2952,114569,2956,406928,10643,6548,163732,1434,26524,3485,9118,4513,26018,1956,947,29107,1464,6595,6597,3020,3021,7124,1499,6620,2014,9699,3558,10215,3560,2026,92140,7157,7161"	
Literature	Childhood Pilocytic Astrocytoma	DisGeNET	"2048,6657,1029,6662,6663,2064,2065,2066,3091,11284,10266,10268,546,4147,168002,2115,2119,9815,10840,115482713,6750,5728,7270,1641,2670,5243,2173,7295,6271,133,8842,6285,142,5781,4763,673,2212,5290,5291,4267,5293,5294,5803,9402,57534,4288,3265,207,3791,3280,2260,2261,55511,27352,3815,1277,7422,1280,1794,3845,5894,2321,6935,7965,2335,81704,25897,113451,4915,28996,57670,3417,3418,347,22882,10598,11113,1398,80781,10643,6037,1432,2969,1956,7080,339896,85443,23493,26073,5594,151516,5599,5090,10215,5609,9715,7157"	
Literature	Childhood Pleomorphic Xanthoastrocytoma	DisGeNET	"2048,3845,5894,1030,5127,1029,9874,4255,673,546,7841,1956,55714,65061,5424,5426,947,5817,9020,55872,5568,10178,6598,22858,3020,3021,207,7248,3417,3418,5594,4193,22882,9444,5605,5604,7015,5609,2670,7157,3576,2175"	
Literature	Childhood Soft Tissue Sarcoma	DisGeNET	"2050,1029,389136,2064,3091,23583,545,5156,5159,6696,1576,9768,8743,563,5175,2103,135228,2130,7251,596,115482713,54880,4193,4194,5728,6756,6757,2152,6760,3690,100144748,23152,23158,6774,5243,6271,6275,6788,4233,8842,6285,142,6298,5788,118429,7839,672,4255,675,6320,1718,5817,4286,3265,196,4292,6857,54474,6347,207,3791,79058,2260,6868,213,84182,2264,4312,7388,4317,4830,4318,10460,5346,3815,6376,238,8436,110806263,64764,7422,50943,768,7424,6401,6403,2308,3845,5894,7431,7432,4363,1302,727837,4893,290,1839,4914,308,3902,3394,836,842,331,8013,79187,5460,4437,4436,55124,358,9575,90993,23411,2932,7030,145270,1401,7040,57730,4485,7056,83856,5524,22933,3479,3480,3481,5529,923,4507,1437,412,4000,931,1956,85417,406958,11186,1464,80316,5054,960,29126,967,968,406989,406992,466,440275,7124,5077,5591,2521,1499,114349542,4585,5609,55279,5104,2034,7157,4085,23542,4601,1019"	
Literature	Childhood Synovial Sarcoma	DisGeNET	"2048,1025,1026,1027,4100,4613,1029,6663,6657,1033,3082,4103,9734,5133,8202,2064,6164,131096,23583,3105,546,3107,5156,3623,23082,9780,4151,6714,2108,53827,8773,2130,595,596,3159,54880,4193,2146,5728,6756,6757,6759,6760,10855,9837,8815,23152,5743,6774,8313,6778,5243,9341,638,4734,6275,4233,8842,6297,57498,6298,6302,58531,56996,7849,5290,5291,7852,4267,5294,5293,9402,57534,6847,4288,84678,6855,81606,6857,6868,4821,2263,257240,4313,6876,4830,4318,5347,8932,4323,3815,6890,238,55027,6387,6901,5879,7422,2305,2308,7430,7431,4363,3855,10519,727837,7965,100313892,4904,25897,2346,5932,6962,28982,1848,324,8013,4942,4943,246100,8028,5469,10598,26471,1386,23411,2932,1398,23415,6519,25983,7040,57730,3458,51588,9098,7055,22933,3479,1432,3480,3481,406937,8091,64926,6559,1956,1958,406952,85417,54187,406959,7088,11186,947,26039,952,79801,65980,8129,6594,6595,29126,6598,968,11211,406989,6606,6607,1999,1485,2002,5076,5077,139221,7124,26073,5594,5595,1499,5081,5599,3552,3553,9185,4582,999,5609,2026,23532,55279,2033,3569,693235,51188,7157,5111,1019"	
