	ligase activity	nucleobase-containing small molecule metabolic process	mitochondrion organization	mitochondrion	generation of precursor metabolites and energy	isomerase activity	amino acid metabolic process	oxidoreductase activity	meiotic nuclear division	nucleolus	lysosome organization	autophagy	cytokinesis	protein catabolic process	nuclear envelope	protein-containing complex assembly	ATP-dependent activity	intracellular protein transport	establishment or maintenance of cell polarity	microtubule organizing center	cytoskeleton organization	cytoskeletal protein binding	structural molecule activity	programmed cell death	transcription regulator activity	regulation of DNA-templated transcription	DNA binding	protein glycosylation	peroxisome	lipid droplet	carbohydrate metabolic process	detoxification	sulfur compound metabolic process	cellular modified amino acid metabolic process	vitamin metabolic process	wound healing	protein localization to plasma membrane	lysosome	endosome	muscle system process	catalytic activity, acting on a protein	transferase activity	vesicle-mediated transport	GTPase activity	lipid binding	Golgi apparatus	extracellular space	immune system process	defense response to other organism	cell junction organization	cell motility	cell adhesion	lyase activity	endoplasmic reticulum	lipid metabolic process	transporter activity	transmembrane transport	extracellular matrix organization	cargo receptor activity	inflammatory response	circulatory system process	renal system process	digestive system process	cytoskeletal motor activity	microtubule-based movement	cilium	cilium organization	cyclase activity	nervous system process	receptor ligand activity	extracellular matrix	translation regulator activity	regulatory ncRNA-mediated gene silencing	cytoplasmic translation	DNA recombination	chromosome segregation	DNA repair	catalytic activity, acting on DNA	telomere organization	nuclear chromosome	DNA replication	nucleocytoplasmic transport	chromatin organization	histone binding	protein folding	molecular carrier activity	RNA binding	mRNA metabolic process	catalytic activity, acting on RNA	tRNA metabolic process	mitochondrial gene expression	ribosome biogenesis	ribosome
protein glycosylation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45191740412979353	0.16189621561407308	0.1666232864827347	0.22874216539231823	0.12103273451923922	0.20037118410458657	0.15630633794572826	0.14569589702333066	0.15152546785353105	0.15577904997679096	0.17011016027610987	0.1513140587741109	0.13050555062816152	0.1338201731883338	0.15495245424856383	0.14074797257157592	0.12043691667715462	0.12103412637822061	0.18856603742355152	0.12355765118864788	0.12459035692241122	0.11504467128779206	0.12166196715873279	0.1218565451077561	0.12098262529805277	0.1223896593160339	0.18491327447542139	0.16535430533987153	0.11850650773478241	0.12107187942681481	0.12516631419728014	0.11567014079356372	0.11894081464256245	0.12033490888508273	0.09857045609257999	0.12177656193426399	0.10661069510627033	0.10193028937136565	0.08817903695712223	0.08808725760240711	0.07150871537160827	0.07839568146848273	0.06554048777948411	0.08640894343900246	0.07240054555487303	0.03980379852208547	0.2408056545224687	0.1670190826741849	0.17924334382742094	0.18203747003285287	0.19704417026114288	0.19871279163314562	0.20807148048394683	0.1956101119675199	0.20484317032040472	0.2307804063052374	0.23997050147492624	0.22898053605615826	0.2130636325326591	0.16952380533484052	0.18101984926329132	0.1673248697378215	0.16197371949584338	0.168141592920354	0.20786271541686074	0.19839952797138327
peroxisome	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5816014970944549	0.29842249657064474	0.26456568790581875	0.26385860741290534	0.31410936654033567	0.31148633636969564	0.2904825481594507	0.1943358911478522	0.19700156525141851	0.21763623284535832	0.19119816533447775	0.1741347175798278	0.17649760584812643	0.20200083479720454	0.1767542933686655	0.1653824410058837	0.18982713858490255	0.1724378528549609	0.17577577224689966	0.16075590677887264	0.16281383644139297	0.1535134527888558	0.15249535720162674	0.14140896380336931	0.21361366757800967	0.21772059932281457	0.26975074041299446	0.1715536832769802	0.17750394487090554	0.13030296324164028	0.14413685488065653	0.16359525334218786	0.1741868029739777	0.14997310381925766	0.18570792803102548	0.1537955768081291	0.14333413090292127	0.12770496799756173	0.11821678321678322	0.09590649117110817	0.10233406895683793	0.0819838473035418	0.09672835997924337	0.10687135946292822	0.05208881512366919	0.3700390518572337	0.21441538080699726	0.2358171186266799	0.2386008817579025	0.257847454641536	0.268586387434555	0.25891017195365024	0.2538286086673183	0.27576061232756965	0.2825833237668848	0.2960955710955711	0.3065847511027095	0.3044897415401013	0.24261109855923807	0.241754310653216	0.2413150756560672	0.23850392032210213	0.31997271021661267	0.2893126610231873	0.33123543123543125
lipid droplet	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3958454668996311	0.24444444444444444	0.2218687098240374	0.23980207579048998	0.2535532731611163	0.24505082932049224	0.22667169543417492	0.2369242377473677	0.24746091446394172	0.23206588235294118	0.1867752175696979	0.18425527176644427	0.19983786862977082	0.2054997420719032	0.199982376525532	0.20888243229220713	0.1975441298495078	0.1806219044795133	0.17488349795196098	0.17974154810077014	0.17591462213995984	0.1727831517888041	0.16470595785920122	0.1912420840529649	0.23577903627964514	0.2576030026687217	0.16196148244052436	0.16794777354300783	0.15427099816935058	0.1687869702617292	0.18240937693875742	0.18652790671161706	0.1698340874811463	0.19937611408199643	0.16021451315568963	0.14864803037928354	0.13213910351916658	0.12444542490869427	0.11589635854341737	0.10861208439414181	0.10219342932390088	0.12556512099218792	0.09335640138408305	0.04873584745041287	0.3278584160937102	0.20220949736826885	0.23040966512452957	0.21989408620661388	0.24102931370854222	0.2530145748138828	0.23794638628398218	0.23705942298907123	0.2759146341463415	0.26930092816138207	0.27728071250561753	0.29204204204204204	0.2848739495798319	0.21859193637984972	0.22462105540301652	0.2013010811801356	0.19498910675381265	0.2182568149210904	0.24725877192982457	0.2687908496732026
carbohydrate metabolic process	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31003904822359435	0.23863084161994952	0.2638352566741968	0.26028448047274516	0.24960067803240213	0.237622959789565	0.21921521491442236	0.2305615952017375	0.20319188742915403	0.21277989824393825	0.19537857036575756	0.21223267152665962	0.18968209745979864	0.18329418507795278	0.19155020728404323	0.19561797283727633	0.19675275686202576	0.1836693909704736	0.18298306498458422	0.18794657618931238	0.1883198242869444	0.18269151799437303	0.22517946997651794	0.2099636004797081	0.23345537246034823	0.17476409124565026	0.18454535231100963	0.17802354620049946	0.18209511416065302	0.19690318023783285	0.21312301822856852	0.20426909040831784	0.2138903360250065	0.16303533477057627	0.15043718310486273	0.14333654440020152	0.13303218015519824	0.1619154173193108	0.1277201037556745	0.14924325140343425	0.1530531600111277	0.09900639946109802	0.048772277791731294	0.3405782791027264	0.22044846457087672	0.23081936522378135	0.23623805163012576	0.25736974225619347	0.2707189192292237	0.2537098014813278	0.2521018642622152	0.27502034174125306	0.2795438517444708	0.280954155795751	0.28042234222616264	0.2699253756772413	0.22339727226314637	0.2301771790460153	0.21899634685637379	0.21650509120806644	0.2482465230433597	0.2582063202495145	0.2838379772500261
detoxification	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3577924944812362	0.25349227807136127	0.30428156234493514	0.28704318936877077	0.24111964478579143	0.18347497857953363	0.20980171826474725	0.177072879482717	0.1917562200677491	0.16348899065405356	0.17115875036476594	0.15518893284991522	0.14631074796473867	0.1741823047956929	0.1523392626092845	0.18976681283553953	0.1713106491884846	0.18029694669961172	0.16180942839156995	0.16885847598668569	0.16598811118771056	0.20805426234091434	0.19221637983390874	0.21685104749106093	0.1691906326311906	0.1778481196036391	0.17291120662543244	0.190989708780381	0.20448065784340205	0.2134486791869883	0.21626579698328577	0.2137993371497439	0.1199411331861663	0.11361623236172623	0.10902836281943275	0.09283112582781457	0.1337606736523405	0.11124219026162357	0.15141480644616723	0.15941706660423738	0.08059729467995376	0.03878892567535147	0.2981422550958975	0.17253706851081288	0.17480852993086027	0.1804529597430644	0.20618556701030927	0.2234656656160357	0.18754199059410692	0.18901469296683995	0.2257184981721972	0.21463065479156662	0.20878059549104555	0.26432769474029655	0.2596221133659902	0.18013973206491843	0.17419770130519113	0.1697278227366271	0.1593417619907686	0.19992731384267484	0.19451463924712442	0.2465023869312067
sulfur compound metabolic process	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33388414055080723	0.2968272819816763	0.2845217684589224	0.19196223419810335	0.17464791763047757	0.1998478149100257	0.16633280722198457	0.16412467293013924	0.15670580453117247	0.18537266085651058	0.15209632612541932	0.14115544418546805	0.1656441939446492	0.16781901133530877	0.17027573432490858	0.14614305377905046	0.14335086093461197	0.14371338886279938	0.1463369631756378	0.14021699505950547	0.20286987199782894	0.197881542516935	0.23926298354809256	0.15628918355941676	0.16082772638541365	0.14378639453132608	0.14543281456616824	0.15374703997771277	0.1735748245878903	0.16010604303264137	0.17801398601398602	0.127784352399737	0.11915357891412329	0.110281166416596	0.09973846153846154	0.1041243117904986	0.09867257512512612	0.09619364219391972	0.11998803925299699	0.09151197474732849	0.04311719077008024	0.33686313686313685	0.18487860222373498	0.1957795749482791	0.20003190137330268	0.22348555307539683	0.2283871392371738	0.22043849869936827	0.21606837606837606	0.23400941891663696	0.24291048074454158	0.24918907137454005	0.2652806652806653	0.250600785417033	0.20749015097756135	0.2026622387830665	0.20886594676981035	0.21704739704739703	0.26532833020637897	0.2492838996346117	0.2914871794871795
cellular modified amino acid metabolic process	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3624901497241923	0.31595900439238656	0.2111785624483638	0.18975820028490556	0.21070709212339658	0.1791608952209893	0.18455170805642998	0.16811740232724437	0.19046997344763622	0.16229044665251519	0.15130416874589106	0.1776444129670357	0.1631514566232094	0.18774148722656245	0.15840798405928666	0.15966131248018597	0.1570510777251252	0.1563150435550917	0.15143508193542132	0.21918806283332848	0.20796509560554505	0.24381860730066357	0.17617074833499397	0.18098296702186903	0.15218775127311712	0.16048626902221444	0.16910095874578565	0.1983190319031903	0.18087834262688754	0.19209121085293693	0.14376158820603266	0.1308301240907146	0.12185120093731693	0.10928715988306724	0.11632653061224489	0.11015893967640535	0.11273655378486055	0.1309506002019371	0.09567924293363217	0.044586865136792775	0.3473510616367759	0.19565794197062633	0.21027166882276843	0.20966899956645224	0.23728542488538223	0.24570636335342216	0.22999258748051019	0.2306043883104815	0.2515607607801384	0.24667569073970858	0.2513447971781305	0.29097930771431296	0.2735335617818988	0.21667166401018406	0.20997043241743743	0.21539393489844108	0.22599005932339267	0.2657202774641071	0.26025132275132273	0.2972663139329806
vitamin metabolic process	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3739783152627189	0.22010740961748185	0.1788643733706365	0.2005609927872356	0.17242882678641497	0.17997757039291865	0.16779723420041168	0.1886118723582145	0.15736763425803277	0.14328293207398232	0.1787188535985456	0.1577986826605611	0.18182119255911589	0.17006560345701127	0.16969169661433706	0.15874812840083263	0.167349350940474	0.16215219098850356	0.21351933120859684	0.1996258601875153	0.24696632488143497	0.18030974116119883	0.1849512999083001	0.16384245806841394	0.1888679954870252	0.1874910092271018	0.2082520970301519	0.20382567264573992	0.21895154622126675	0.12696192696192696	0.12309301963889321	0.11965949245101189	0.10731818181818181	0.12545454545454546	0.114177002115796	0.14271195506820006	0.1402528148540773	0.08818998716302953	0.04381002499671096	0.3319362455726092	0.1984767625841401	0.19964436541453656	0.2074674288146673	0.2352240719961529	0.24239183276616433	0.22393500219587176	0.22714239165852068	0.23948776228622115	0.25116591426332874	0.2488257575757576	0.2490990990990991	0.2426839826839827	0.20470946547431304	0.19978144363454586	0.20480468998916715	0.21565656565656566	0.2618216087366262	0.24850478468899523	0.2916666666666667
wound healing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36222694205887485	0.27850569519415974	0.254311664146289	0.24213186808402254	0.2676606194246768	0.2210498452888398	0.21093068202774345	0.2262970098515497	0.23651842594982272	0.2238270709570077	0.21304472251139525	0.23410763259925907	0.23940196492998114	0.24380251424066823	0.2659625437533759	0.25888981794437965	0.27028867623360386	0.230417564498282	0.2171505237582435	0.20736786185095066	0.1754447350280889	0.19482391215137176	0.28345142906671866	0.27868054515500973	0.2769328263624842	0.2729272908290837	0.26941595143395436	0.24670029856892825	0.19041633631775376	0.1615715452190562	0.15905376619290992	0.14499926468092808	0.22775549884554624	0.15321853463408097	0.2508872946530756	0.2645543544685966	0.08580633137197476	0.04901703886643389	0.3086517695799727	0.2114695340501792	0.22518764714028527	0.2153829273644942	0.23764526185604615	0.2555806947284364	0.23049850808258554	0.2276988452056572	0.28688898094449045	0.26976531111289953	0.2653588363389549	0.25089978486730086	0.2459005796289513	0.20716572583094656	0.218920185891463	0.17972152915803274	0.15663421545774486	0.1648686679174484	0.21754435579899975	0.23294683257918553
protein localization to plasma membrane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31875843454790825	0.26094625004093586	0.2712299291006404	0.2464732149755095	0.20885676769416223	0.2068585023046884	0.24902092227357725	0.2631767300132096	0.2197025838644336	0.2267948591158677	0.20186517295597484	0.20014092922529264	0.19785727182187224	0.26330644970330136	0.222625379190797	0.22390755866867892	0.19696629141326893	0.2112641222318021	0.18523735345586226	0.17790004372884416	0.19071952762870453	0.19271744667655982	0.19309965874255308	0.20250119679220127	0.23096335755957967	0.20428167496970512	0.19373608903020667	0.22704447632711622	0.186775005173672	0.16887313365082246	0.16275467338794372	0.17374889047243997	0.13985636251921507	0.13905290950862395	0.15878292786919687	0.09853221878496676	0.05174498919660161	0.3579002338623618	0.2092461938358708	0.25112218811720344	0.22663111485340726	0.24567769665049013	0.2714795908827434	0.24652883348535523	0.23570327480542919	0.3043506105371019	0.2852434707739405	0.2909382284382284	0.27424944082159847	0.267998667998668	0.2283257341220521	0.2387400279039817	0.19056099732858414	0.1724265809596129	0.18113593723349822	0.24865430622009568	0.265840120048369
lysosome	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35384791129705917	0.2784392856262817	0.19393306362633322	0.1878029494977782	0.1873796764952571	0.22749573841513845	0.21129049387144153	0.20606542784897872	0.21555203317978752	0.19796017806407928	0.19682373384996643	0.20611718626869074	0.1952593271164485	0.19139844467246314	0.19211840784339834	0.18403206825536922	0.21110107172300083	0.19274799179478438	0.16966317170581963	0.1773525672701466	0.18148029125474643	0.20775087575834594	0.21101187094232707	0.19674807583380535	0.18466992036989469	0.18497608120249628	0.1678992901002077	0.15385783149567656	0.13493497621618558	0.125848818498067	0.1378482824427481	0.11612177133827072	0.12878097572215588	0.1557706835022177	0.09143458523789329	0.046209313738750056	0.3226983865514162	0.19942023505687367	0.22232495230129898	0.2099876304496354	0.22924711074037699	0.24560150805438136	0.22543568839411257	0.21842848255730488	0.2682760979502757	0.2574313303976344	0.26636067762663773	0.2745306859205776	0.27489821882951654	0.20957479223549233	0.21623896600590756	0.18788546186793612	0.17169135744195926	0.18416425152235502	0.23152901908254464	0.251080613488059
endosome	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29770722649672526	0.1939911786647956	0.184758597473889	0.18400957738849974	0.22824022599560945	0.22934005909141525	0.20442697126909645	0.21257603463527036	0.17948040345578437	0.18790732983507774	0.19161471804808636	0.20502106628297856	0.1885572542598207	0.1867989363258839	0.17276406662335902	0.19731314104272477	0.17662900587313882	0.16013373108450937	0.16906471978771662	0.16227757142466662	0.1852428541921543	0.1952009613751845	0.19123996744905938	0.17645668186082936	0.17253653217011997	0.17515124686439426	0.1597605163081692	0.1389033753522473	0.13312258349243508	0.14383012271200385	0.11673205117908354	0.1249045431803391	0.12862222433131426	0.08666295184188383	0.04620166224972597	0.30023160830801415	0.19615197492730502	0.22737872915474056	0.20902360293068253	0.22632878128426717	0.24218201209038562	0.22610991454179113	0.21654231975998928	0.26812359100465205	0.25927538836282266	0.26794753474844085	0.24936831875607385	0.25660628979073613	0.20158170590108238	0.21362211260576947	0.17680173116728345	0.16036685164201941	0.16465168486775952	0.22043643221865133	0.22721189531673838
muscle system process	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33942099172428547	0.1884142158076926	0.18730428246363823	0.1899581599569081	0.1956149580924045	0.19020241511269578	0.17617954911433173	0.18498967321305118	0.18377540680693807	0.1786717553049972	0.24133812646883623	0.2111446731558818	0.21225163934663324	0.2342042040821304	0.18651653061533569	0.1761405364587731	0.20036003733720534	0.21108293321264118	0.20756586291582943	0.1802741521489815	0.2063847199177134	0.2791251659350593	0.2584877333060361	0.21867154076365317	0.22192684766214177	0.15867723852469126	0.16148069644995466	0.1416352741612143	0.2519470435836694	0.1694249460430108	0.19510844884631187	0.1875557181953728	0.0806465015788599	0.04459513821044767	0.2818994493313309	0.1853245225889034	0.20396281694995583	0.198204636120187	0.2145345998490834	0.2339553293751767	0.21436172476908016	0.207003829602432	0.255571545776116	0.24577944292565007	0.24188189511169852	0.22685998392330822	0.22015230662722637	0.18991838125936392	0.20235422060816427	0.1674892311809419	0.15270546878476393	0.16517359478879862	0.2068818108045444	0.21772209985315713
catalytic activity, acting on a protein	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19976092632577647	0.18560900440531888	0.1765255612746366	0.18215859456979475	0.16288931050988342	0.1663731619182276	0.16307039750408225	0.17535595601238346	0.1804839203579479	0.18618560096388573	0.1787882413382973	0.17564302599558007	0.16688831475420196	0.1692281133007974	0.16059807033680515	0.12964907741401965	0.14269211821170222	0.1664323739077487	0.15676945146179527	0.18061159130581678	0.17429927290179684	0.15772250844684457	0.1563101649041547	0.16778365112327734	0.14966362221312066	0.13750025376809366	0.1355129747445241	0.13047194384160138	0.11055485693518657	0.12879303273744905	0.13646823521054027	0.09205016689311545	0.0500422084453304	0.31960785876221703	0.23264960845167731	0.24836120224960354	0.2491040852472704	0.2620574233455724	0.2888899484086926	0.26944862620045235	0.2629716539423384	0.2806019375510933	0.28886862208205927	0.2956463087489293	0.2490769305427496	0.24199351706520056	0.21954819536078862	0.2397438677710886	0.20779523353799945	0.19263266030254622	0.20190225015431232	0.26092833836760404	0.25293143890731756
transferase activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21080827067669172	0.17703011219614834	0.1832693531481172	0.1661869135271591	0.17135654637487074	0.16229259284244765	0.17334957718957036	0.17510375031077283	0.18049925087018936	0.17438455762077457	0.1680054208154759	0.17503066698401656	0.17701276448865289	0.17829813983717507	0.1345580429944984	0.14660919693566846	0.15001565609122955	0.14523008625598413	0.17308608831386885	0.17215221949948334	0.1515183518685896	0.1579817791446643	0.17086539273965173	0.1523641636293214	0.1387557375795785	0.13761254900459052	0.12404669810890448	0.10820928136268201	0.11610541112884717	0.11862442214454842	0.10131758735116143	0.053396518652056794	0.35025517389935545	0.25079662534688707	0.26430951377651485	0.26945818213506123	0.2822973501599443	0.310440788207145	0.29258245363744023	0.2873434357720156	0.29380961213671375	0.3085045103192479	0.3145804200460799	0.26426654361292123	0.2605453026505658	0.2388487047114681	0.258804144589508	0.235480032524908	0.22991777969614377	0.24140378993719744	0.29692177986342383	0.28485454103320845
vesicle-mediated transport	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22638443275240902	0.2171410905804856	0.18614535405949814	0.18817660650556733	0.1660551928076009	0.1737260532603528	0.1739433306163001	0.20214884574090483	0.1833865413775331	0.17834222153976748	0.16629630160618963	0.17948943787024277	0.161432161278457	0.14273526777569537	0.1529502464432252	0.15550987370819191	0.16817138213259555	0.17688641812240638	0.17856059993970716	0.16130881050382953	0.158519086789129	0.2053290767303225	0.17778072697523228	0.15697340383450642	0.15844511611015955	0.13938100439322018	0.11685568347313209	0.11497974136786121	0.12489211442825023	0.08769682242624365	0.046971455338671794	0.306204706319577	0.19834926404560785	0.2354758835727059	0.21305044035228182	0.22943962415269845	0.249417768292649	0.23689733786783096	0.2244333917052238	0.26723710947421897	0.26382668827937633	0.271688794845334	0.24503486730726845	0.24142357290830335	0.20477603951242063	0.2194082268434927	0.17861771005803506	0.16226521195303714	0.16906667681872548	0.2288104989500023	0.23280588453358828
GTPase activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3109059242833673	0.1870730333122051	0.1887633761130111	0.16778516411262237	0.18010287508798528	0.17853376450066724	0.2188534207225796	0.19723200138578248	0.1890975639321224	0.17902611422049258	0.16970373707123604	0.15176708433787042	0.1294640298079679	0.14575960269710306	0.15167378883635432	0.1481417330628	0.18182743700687198	0.18154267571437466	0.16067911401882076	0.149557004232617	0.19424718181003928	0.16959341470019704	0.1509813041963422	0.15087065283023113	0.1668228979747066	0.11761402278432725	0.11747163352097266	0.11852090899712467	0.09210507757404796	0.04790141537741592	0.32598506359640594	0.19987281904534795	0.23853305103991912	0.21435527195259635	0.23115617682216347	0.25233959092182684	0.23741095642740914	0.2276751698307595	0.27821131603340654	0.2641357192884731	0.2733050979609404	0.24287544675972755	0.23510623128475688	0.2136106169782	0.22563693170070528	0.18754940573211426	0.17586438935135829	0.1961727730049027	0.24389919509768185	0.25829954463227495
lipid binding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19123869736239607	0.16877281843880604	0.1621518907653516	0.1694625881905034	0.17094293982981296	0.18662494445967537	0.1739392085739256	0.172128141516557	0.17463108536753552	0.17268216758231425	0.17842216003991238	0.14347609915476953	0.1532331818490827	0.1494542401343409	0.17185664210045928	0.18173618338537081	0.18433412818845293	0.17085949144121765	0.1800222593210907	0.15609604366715832	0.1372960926511152	0.12696052986732553	0.11899729951860984	0.15040012750394255	0.11725904017426915	0.1267037280020257	0.12924115343183956	0.07696705239028971	0.04260754651601265	0.2731235900249985	0.1794208589126995	0.19824179230418199	0.18981500564306394	0.20757573069850224	0.2180336923501795	0.20773086562560247	0.19940262089564798	0.237094395280236	0.24013610029930504	0.24376525366943985	0.21501726334935414	0.21309184415003635	0.18209619905716032	0.19390402075226978	0.16039940106294873	0.1460742760603456	0.1603269232145541	0.19876296779623717	0.2118722399096231
Golgi apparatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2036006178241985	0.15755836912288168	0.16373455552676497	0.16232763953668206	0.18320926385442515	0.1694350163182409	0.16873985808135364	0.15395100086361285	0.1820812754689467	0.1634453483631981	0.13962916373049253	0.14774512743628185	0.159464303975272	0.16104944297402557	0.16724409448818897	0.17045604156328173	0.15165550508125322	0.15279437804338203	0.1615640599001664	0.14362579560101213	0.1262352245480693	0.12491012564130687	0.12294143089706557	0.10539162365683702	0.11375760942941975	0.12765436202497765	0.08078817310953958	0.044089839926195626	0.27734786988208804	0.18757828622700762	0.2127227349236752	0.2020253504533843	0.21794506313050035	0.2300029604760185	0.22328664876079202	0.21194624755517083	0.24718900986351391	0.251663235056684	0.2604300791824237	0.23211744089424452	0.22880486744893525	0.19062882670964681	0.20375734123140526	0.171219763867155	0.15605876281058761	0.1644932051510296	0.2172174776087148	0.21569760516224526
