index,Network,Performance,method,num_nets,min_nets,Group,GeneSet,Comparator,Disease
Patent ductus arteriosus,OC_nocite_10__composite_min2,73.07390886366983,OC,10,2,NOCITE,Literature,False,680
Pelvic Organ Prolapse,OC_nocite_10__composite_min2,64.85219834293794,OC,10,2,NOCITE,Literature,False,681
Pemphigus Vulgaris,OC_nocite_10__composite_min2,59.03679924311305,OC,10,2,NOCITE,Literature,False,682
Periapical Periodontitis,OC_nocite_10__composite_min2,128.68710386957852,OC,10,2,NOCITE,Literature,False,683
Peripheral T-Cell Lymphoma,OC_nocite_10__composite_min2,106.9684690791339,OC,10,2,NOCITE,Literature,False,684
Peripheral motor neuropathy,OC_nocite_10__composite_min2,4.918310667410984,OC,10,2,NOCITE,Literature,False,685
Peritoneal dissemination,OC_nocite_10__composite_min2,75.3318390693445,OC,10,2,NOCITE,Literature,False,686
Periventricular Nodular Heterotopia,OC_nocite_10__composite_min2,1.884158344583711,OC,10,2,NOCITE,Literature,False,687
Pheochromocytoma,OC_nocite_10__composite_min2,112.94862291951756,OC,10,2,NOCITE,Literature,False,688
Photoreceptor degeneration,OC_nocite_10__composite_min2,51.17537730485978,OC,10,2,NOCITE,Literature,False,689
Phyllodes Tumor,OC_nocite_10__composite_min2,34.437773469854726,OC,10,2,NOCITE,Literature,False,690
Pick Disease of the Brain,OC_nocite_10__composite_min2,12.795067390601776,OC,10,2,NOCITE,Literature,False,691
Pilocytic Astrocytoma,OC_nocite_10__composite_min2,44.435648378181305,OC,10,2,NOCITE,Literature,False,692
Pituitary Adenoma,OC_nocite_10__composite_min2,39.5711757530328,OC,10,2,NOCITE,Literature,False,693
Pituitary-dependent Cushing's disease,OC_nocite_10__composite_min2,37.31901088450296,OC,10,2,NOCITE,Literature,False,694
Plasmacytoma,OC_nocite_10__composite_min2,42.22927332427338,OC,10,2,NOCITE,Literature,False,695
Platinum-Resistant Ovarian Carcinoma,OC_nocite_10__composite_min2,9.815139961341927,OC,10,2,NOCITE,Literature,False,696
Pleomorphic Xanthoastrocytoma,OC_nocite_10__composite_min2,20.39974817376907,OC,10,2,NOCITE,Literature,False,697
Pneumocystis jiroveci pneumonia,OC_nocite_10__composite_min2,25.005099000786718,OC,10,2,NOCITE,Literature,False,698
Polycystic Kidney - body part,OC_nocite_10__composite_min2,16.650603686267623,OC,10,2,NOCITE,Literature,False,699
"Polycystic Kidney, Autosomal Dominant",OC_nocite_10__composite_min2,69.11368588601826,OC,10,2,NOCITE,Literature,False,700
Polycythemia,OC_nocite_10__composite_min2,35.04881323241392,OC,10,2,NOCITE,Literature,False,701
Polycythemia Vera,OC_nocite_10__composite_min2,188.66901769341985,OC,10,2,NOCITE,Literature,False,702
Polymyositis,OC_nocite_10__composite_min2,125.4200134124778,OC,10,2,NOCITE,Literature,False,703
Polyneuropathy,OC_nocite_10__composite_min2,28.51453436095616,OC,10,2,NOCITE,Literature,False,704
Pontoneocerebellar hypoplasia,OC_nocite_10__composite_min2,4.805070727509061,OC,10,2,NOCITE,Literature,False,705
Post-Traumatic Stress Disorder,OC_nocite_10__composite_min2,96.89844548797328,OC,10,2,NOCITE,Literature,False,706
Posterior subcapsular cataract,OC_nocite_10__composite_min2,11.926638858668726,OC,10,2,NOCITE,Literature,False,707
Prader-Willi Syndrome,OC_nocite_10__composite_min2,33.61706865465277,OC,10,2,NOCITE,Literature,False,708
Pre B-cell acute lymphoblastic leukemia,OC_nocite_10__composite_min2,10.318341859498982,OC,10,2,NOCITE,Literature,False,709
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,OC_nocite_10__composite_min2,66.20622161828413,OC,10,2,NOCITE,Literature,False,710
Precursor B-cell lymphoblastic leukemia,OC_nocite_10__composite_min2,152.96265105031588,OC,10,2,NOCITE,Literature,False,711
Precursor cell lymphoblastic lymphoma,OC_nocite_10__composite_min2,17.40694488951867,OC,10,2,NOCITE,Literature,False,712
Prediabetes syndrome,OC_nocite_10__composite_min2,76.97408074671563,OC,10,2,NOCITE,Literature,False,713
Premature Menopause,OC_nocite_10__composite_min2,55.33846493193452,OC,10,2,NOCITE,Literature,False,714
Premature aging syndrome,OC_nocite_10__composite_min2,9.801723849406386,OC,10,2,NOCITE,Literature,False,715
Primary Ciliary Dyskinesia,OC_nocite_10__composite_min2,227.51481848640532,OC,10,2,NOCITE,Literature,False,716
Primary Effusion Lymphoma,OC_nocite_10__composite_min2,57.93239085568588,OC,10,2,NOCITE,Literature,False,717
Primary Malignant Liver Neoplasm,OC_nocite_10__composite_min2,21.304407923790382,OC,10,2,NOCITE,Literature,False,718
Primary Myelofibrosis,OC_nocite_10__composite_min2,114.30149959502556,OC,10,2,NOCITE,Literature,False,719
Primary Sjögren's syndrome,OC_nocite_10__composite_min2,235.93699477061213,OC,10,2,NOCITE,Literature,False,720
Primary biliary cirrhosis,OC_nocite_10__composite_min2,215.93496369780527,OC,10,2,NOCITE,Literature,False,721
Primary central nervous system lymphoma,OC_nocite_10__composite_min2,45.30626141999331,OC,10,2,NOCITE,Literature,False,722
Primary cholangiocarcinoma of intrahepatic biliary tract,OC_nocite_10__composite_min2,74.71139797248253,OC,10,2,NOCITE,Literature,False,723
Primary differentiated carcinoma of thyroid gland,OC_nocite_10__composite_min2,68.81995303339642,OC,10,2,NOCITE,Literature,False,724
Primary sclerosing cholangitis,OC_nocite_10__composite_min2,134.1301829162675,OC,10,2,NOCITE,Literature,False,725
Progeria,OC_nocite_10__composite_min2,10.485406570454114,OC,10,2,NOCITE,Literature,False,726
Progression of prostate cancer,OC_nocite_10__composite_min2,115.40273181112174,OC,10,2,NOCITE,Literature,False,727
Progressive cGVHD,OC_nocite_10__composite_min2,152.139079005127,OC,10,2,NOCITE,Literature,False,728
Progressive supranuclear palsy,OC_nocite_10__composite_min2,31.334288443984992,OC,10,2,NOCITE,Literature,False,729
Prolactinoma,OC_nocite_10__composite_min2,56.10230984773536,OC,10,2,NOCITE,Literature,False,730
Proliferative vitreoretinopathy,OC_nocite_10__composite_min2,102.23053055579732,OC,10,2,NOCITE,Literature,False,731
Promyelocytic leukemia,OC_nocite_10__composite_min2,30.45970281841932,OC,10,2,NOCITE,Literature,False,732
Prostatic Intraepithelial Neoplasias,OC_nocite_10__composite_min2,70.76604245154707,OC,10,2,NOCITE,Literature,False,733
Protein Deficiency,OC_nocite_10__composite_min2,21.95190635760806,OC,10,2,NOCITE,Literature,False,734
Pseudohyperkalemia Cardiff,OC_nocite_10__composite_min2,131.33897419715154,OC,10,2,NOCITE,Literature,False,735
Pseudolymphoma,OC_nocite_10__composite_min2,6.489225974640232,OC,10,2,NOCITE,Literature,False,736
Pseudorabies,OC_nocite_10__composite_min2,70.73594622514727,OC,10,2,NOCITE,Literature,False,737
Psoriasis vulgaris,OC_nocite_10__composite_min2,172.5524162422786,OC,10,2,NOCITE,Literature,False,738
Pterygium,OC_nocite_10__composite_min2,69.53527823522194,OC,10,2,NOCITE,Literature,False,739
Pterygium Of Conjunctiva And Cornea,OC_nocite_10__composite_min2,65.03957419180236,OC,10,2,NOCITE,Literature,False,740
Pterygium of eye,OC_nocite_10__composite_min2,60.43426059534258,OC,10,2,NOCITE,Literature,False,741
Pulmonary Emphysema,OC_nocite_10__composite_min2,129.983166042653,OC,10,2,NOCITE,Literature,False,742
Pulmonary arterial hypertension,OC_nocite_10__composite_min2,64.1769712017863,OC,10,2,NOCITE,Literature,False,743
Pure Red-Cell Aplasia,OC_nocite_10__composite_min2,17.176073500437127,OC,10,2,NOCITE,Literature,False,744
"RETINOSCHISIS 1, X-LINKED, JUVENILE",OC_nocite_10__composite_min2,13.9629034707766,OC,10,2,NOCITE,Literature,False,745
Rabies (disorder),OC_nocite_10__composite_min2,34.130884697667,OC,10,2,NOCITE,Literature,False,746
Rectal Carcinoma,OC_nocite_10__composite_min2,90.42445662193182,OC,10,2,NOCITE,Literature,False,747
Refractory Cytopenia of Childhood,OC_nocite_10__composite_min2,45.0803791348841,OC,10,2,NOCITE,Literature,False,748
Refractory anaemia with excess blasts,OC_nocite_10__composite_min2,28.56167966049409,OC,10,2,NOCITE,Literature,False,749
Refractory anemias,OC_nocite_10__composite_min2,99.7083201632128,OC,10,2,NOCITE,Literature,False,750
Renal Insufficiency,OC_nocite_10__composite_min2,148.11901635414603,OC,10,2,NOCITE,Literature,False,751
Renal carnitine transport defect,OC_nocite_10__composite_min2,14.20507308478196,OC,10,2,NOCITE,Literature,False,752
"Respiratory Distress Syndrome, Adult",OC_nocite_10__composite_min2,222.3964264975112,OC,10,2,NOCITE,Literature,False,753
Respiratory Failure,OC_nocite_10__composite_min2,93.66001955285972,OC,10,2,NOCITE,Literature,False,754
Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,OC_nocite_10__composite_min2,235.98959179925205,OC,10,2,NOCITE,Literature,False,755
"Reticuloendotheliosis, X-linked",OC_nocite_10__composite_min2,53.17405820555869,OC,10,2,NOCITE,Literature,False,756
Retinitis Pigmentosa,OC_nocite_10__composite_min2,76.37096431238099,OC,10,2,NOCITE,Literature,False,757
Retinopathy of Prematurity,OC_nocite_10__composite_min2,92.81710594325284,OC,10,2,NOCITE,Literature,False,758
Rett Syndrome,OC_nocite_10__composite_min2,39.697251131349965,OC,10,2,NOCITE,Literature,False,759
Rhabdoid Tumor,OC_nocite_10__composite_min2,13.115901787612865,OC,10,2,NOCITE,Literature,False,760
Rhabdoid Tumor of the Kidney,OC_nocite_10__composite_min2,69.32037029498802,OC,10,2,NOCITE,Literature,False,761
Rheumatism,OC_nocite_10__composite_min2,146.3003042123421,OC,10,2,NOCITE,Literature,False,762
Rhinovirus infection,OC_nocite_10__composite_min2,99.27892119412736,OC,10,2,NOCITE,Literature,False,763
Richter's syndrome,OC_nocite_10__composite_min2,34.107179268929194,OC,10,2,NOCITE,Literature,False,764
Rift Valley Fever,OC_nocite_10__composite_min2,3.016320293306649,OC,10,2,NOCITE,Literature,False,765
Right Ventricular Hypertrophy,OC_nocite_10__composite_min2,70.83094111774201,OC,10,2,NOCITE,Literature,False,766
Rubinstein-Taybi Syndrome,OC_nocite_10__composite_min2,6.64674857184922,OC,10,2,NOCITE,Literature,False,767
Russell-Silver syndrome,OC_nocite_10__composite_min2,13.241360492170516,OC,10,2,NOCITE,Literature,False,768
SMITH-MCCORT DYSPLASIA 1,OC_nocite_10__composite_min2,17.876051741478104,OC,10,2,NOCITE,Literature,False,769
ST segment elevation myocardial infarction,OC_nocite_10__composite_min2,169.49652221443992,OC,10,2,NOCITE,Literature,False,770
SVEINSSON CHORIORETINAL ATROPHY,OC_nocite_10__composite_min2,54.394663544090086,OC,10,2,NOCITE,Literature,False,771
Sarcoidosis,OC_nocite_10__composite_min2,444.7393824637575,OC,10,2,NOCITE,Literature,False,772
Scleroderma,OC_nocite_10__composite_min2,184.0082344168538,OC,10,2,NOCITE,Literature,False,773
Scrub Typhus,OC_nocite_10__composite_min2,22.49249600224603,OC,10,2,NOCITE,Literature,False,774
Seckel syndrome,OC_nocite_10__composite_min2,35.09889669609497,OC,10,2,NOCITE,Literature,False,775
Secondary malignant neoplasm of colon and/or rectum,OC_nocite_10__composite_min2,97.6916001783718,OC,10,2,NOCITE,Literature,False,776
Seminoma,OC_nocite_10__composite_min2,51.91774861059125,OC,10,2,NOCITE,Literature,False,777
Senile Plaques,OC_nocite_10__composite_min2,61.11741791596568,OC,10,2,NOCITE,Literature,False,778
Sensorineural Hearing Loss (disorder),OC_nocite_10__composite_min2,64.82766860119577,OC,10,2,NOCITE,Literature,False,779
Sensory neuropathy,OC_nocite_10__composite_min2,6.796964659552517,OC,10,2,NOCITE,Literature,False,780
Severe Acute Respiratory Syndrome,OC_nocite_10__composite_min2,75.32426150668351,OC,10,2,NOCITE,Literature,False,781
Severe Combined Immunodeficiency,OC_nocite_10__composite_min2,112.8743490630016,OC,10,2,NOCITE,Literature,False,782
Severe Dengue,OC_nocite_10__composite_min2,119.88888426228964,OC,10,2,NOCITE,Literature,False,783
Severe Sepsis,OC_nocite_10__composite_min2,173.43617336331914,OC,10,2,NOCITE,Literature,False,784
Severe intellectual disability,OC_nocite_10__composite_min2,40.29781460151293,OC,10,2,NOCITE,Literature,False,785
Sezary Syndrome,OC_nocite_10__composite_min2,177.99212442000132,OC,10,2,NOCITE,Literature,False,786
Sickle Cell Trait,OC_nocite_10__composite_min2,31.59524919872223,OC,10,2,NOCITE,Literature,False,787
Sjogren's Syndrome,OC_nocite_10__composite_min2,225.06340152426725,OC,10,2,NOCITE,Literature,False,788
Skin Carcinogenesis,OC_nocite_10__composite_min2,61.161361626975776,OC,10,2,NOCITE,Literature,False,789
Skin Erosion,OC_nocite_10__composite_min2,69.84106995421322,OC,10,2,NOCITE,Literature,False,790
Skin callus,OC_nocite_10__composite_min2,61.65280624476205,OC,10,2,NOCITE,Literature,False,791
"Sleep Apnea, Obstructive",OC_nocite_10__composite_min2,141.65933589884057,OC,10,2,NOCITE,Literature,False,792
Solitary fibrous tumor,OC_nocite_10__composite_min2,15.196810669666558,OC,10,2,NOCITE,Literature,False,793
Spastic Paraplegia,OC_nocite_10__composite_min2,15.20295287135248,OC,10,2,NOCITE,Literature,False,794
"Spastic Paraplegia, Hereditary",OC_nocite_10__composite_min2,16.572165082243007,OC,10,2,NOCITE,Literature,False,795
Spina Bifida,OC_nocite_10__composite_min2,41.89429812569176,OC,10,2,NOCITE,Literature,False,796
Spinal Muscular Atrophy,OC_nocite_10__composite_min2,27.23436849273009,OC,10,2,NOCITE,Literature,False,797
Spinocerebellar Ataxia Type 1,OC_nocite_10__composite_min2,3.6218137762570906,OC,10,2,NOCITE,Literature,False,798
Spondyloepimetaphyseal disorder,OC_nocite_10__composite_min2,56.92208534733807,OC,10,2,NOCITE,Literature,False,799
Sporadic Breast Carcinoma,OC_nocite_10__composite_min2,23.068941646371883,OC,10,2,NOCITE,Literature,False,800
Sporadic Parkinson disease,OC_nocite_10__composite_min2,15.649410908415526,OC,10,2,NOCITE,Literature,False,801
Squamous cell carcinoma of oropharynx,OC_nocite_10__composite_min2,16.378988657455537,OC,10,2,NOCITE,Literature,False,802
Squamous cell carcinoma of skin,OC_nocite_10__composite_min2,80.96302201612784,OC,10,2,NOCITE,Literature,False,803
Squamous cell carcinoma of the hypopharynx,OC_nocite_10__composite_min2,45.60720286354831,OC,10,2,NOCITE,Literature,False,804
Squamous cell carcinoma of tongue,OC_nocite_10__composite_min2,176.38930121855518,OC,10,2,NOCITE,Literature,False,805
Stable angina,OC_nocite_10__composite_min2,285.83991401689457,OC,10,2,NOCITE,Literature,False,806
Stage 0 Gallbladder Cancer AJCC v8,OC_nocite_10__composite_min2,55.11222399573334,OC,10,2,NOCITE,Literature,False,807
Stage IIA Gallbladder Cancer AJCC v8,OC_nocite_10__composite_min2,55.92719802014551,OC,10,2,NOCITE,Literature,False,808
Stage IIB Gallbladder Cancer AJCC v8,OC_nocite_10__composite_min2,57.12726847886425,OC,10,2,NOCITE,Literature,False,809
Stage III Gallbladder Cancer AJCC v8,OC_nocite_10__composite_min2,49.35868616897262,OC,10,2,NOCITE,Literature,False,810
Stage IV Gallbladder Cancer AJCC v8,OC_nocite_10__composite_min2,47.05128921352692,OC,10,2,NOCITE,Literature,False,811
Status Epilepticus,OC_nocite_10__composite_min2,66.49421004489581,OC,10,2,NOCITE,Literature,False,812
Steroid Sulfatase Deficiency Disease,OC_nocite_10__composite_min2,75.88808440253878,OC,10,2,NOCITE,Literature,False,813
Steroid resistant nephrotic syndrome of childhood,OC_nocite_10__composite_min2,9.567185963219028,OC,10,2,NOCITE,Literature,False,814
Steroid-resistant nephrotic syndrome,OC_nocite_10__composite_min2,14.56370928239283,OC,10,2,NOCITE,Literature,False,815
"Stress, Psychological",OC_nocite_10__composite_min2,108.34018387930304,OC,10,2,NOCITE,Literature,False,816
Stromal Neoplasm,OC_nocite_10__composite_min2,82.03009021453921,OC,10,2,NOCITE,Literature,False,817
Subarachnoid Hemorrhage,OC_nocite_10__composite_min2,183.64212895489948,OC,10,2,NOCITE,Literature,False,818
Subfertility,OC_nocite_10__composite_min2,26.254378125732053,OC,10,2,NOCITE,Literature,False,819
Superficial ulcer,OC_nocite_10__composite_min2,112.91808638206652,OC,10,2,NOCITE,Literature,False,820
Synovial Cyst,OC_nocite_10__composite_min2,72.72099019494703,OC,10,2,NOCITE,Literature,False,821
Systemic Inflammatory Response Syndrome,OC_nocite_10__composite_min2,86.9510910388537,OC,10,2,NOCITE,Literature,False,822
T-Cell Lymphoma,OC_nocite_10__composite_min2,162.67152388699364,OC,10,2,NOCITE,Literature,False,823
TARSAL-CARPAL COALITION SYNDROME,OC_nocite_10__composite_min2,53.07024280063027,OC,10,2,NOCITE,Literature,False,824
TDP-43 Proteinopathies,OC_nocite_10__composite_min2,3.7403183164683633,OC,10,2,NOCITE,Literature,False,825
TRICHOMONAS VAGINALIS (finding),OC_nocite_10__composite_min2,5.0134501497998425,OC,10,2,NOCITE,Literature,False,826
TUBEROUS SCLEROSIS 2 (disorder),OC_nocite_10__composite_min2,7.801100503741817,OC,10,2,NOCITE,Literature,False,827
Temporomandibular Joint Dysfunction Syndrome,OC_nocite_10__composite_min2,27.22308499126637,OC,10,2,NOCITE,Literature,False,828
Teratocarcinoma,OC_nocite_10__composite_min2,43.90456150601453,OC,10,2,NOCITE,Literature,False,829
Teratoma,OC_nocite_10__composite_min2,19.377702116265816,OC,10,2,NOCITE,Literature,False,830
Testicular Germ Cell Tumor,OC_nocite_10__composite_min2,35.520584856234954,OC,10,2,NOCITE,Literature,False,831
Therapy-related myelodysplastic syndrome,OC_nocite_10__composite_min2,7.52329329252801,OC,10,2,NOCITE,Literature,False,832
Thromboangiitis Obliterans,OC_nocite_10__composite_min2,158.7308911190027,OC,10,2,NOCITE,Literature,False,833
"Thrombocythemia, Essential",OC_nocite_10__composite_min2,103.99667403377656,OC,10,2,NOCITE,Literature,False,834
Thrombophilia,OC_nocite_10__composite_min2,220.38679346630715,OC,10,2,NOCITE,Literature,False,835
Thymic Carcinoma,OC_nocite_10__composite_min2,10.026008154547773,OC,10,2,NOCITE,Literature,False,836
Thymoma,OC_nocite_10__composite_min2,70.44310614728735,OC,10,2,NOCITE,Literature,False,837
Thyroid Gland Follicular Adenoma,OC_nocite_10__composite_min2,29.061990928000192,OC,10,2,NOCITE,Literature,False,838
Thyroid associated opthalmopathies,OC_nocite_10__composite_min2,127.38998367890852,OC,10,2,NOCITE,Literature,False,839
Tooth Attrition,OC_nocite_10__composite_min2,6.033362322856221,OC,10,2,NOCITE,Literature,False,840
Toxoplasmosis,OC_nocite_10__composite_min2,75.74635871621257,OC,10,2,NOCITE,Literature,False,841
Traditional Serrated Adenoma,OC_nocite_10__composite_min2,11.830485599839191,OC,10,2,NOCITE,Literature,False,842
Transitional cell carcinoma of bladder,OC_nocite_10__composite_min2,52.65551940377544,OC,10,2,NOCITE,Literature,False,843
Treatment related acute myeloid leukaemia,OC_nocite_10__composite_min2,20.057883862928023,OC,10,2,NOCITE,Literature,False,844
Trichohepatoenteric Syndrome,OC_nocite_10__composite_min2,52.08847366387132,OC,10,2,NOCITE,Literature,False,845
Trigeminal Neuralgia,OC_nocite_10__composite_min2,20.375397179909577,OC,10,2,NOCITE,Literature,False,846
"Tuberculosis, Multidrug-Resistant",OC_nocite_10__composite_min2,10.245831653709663,OC,10,2,NOCITE,Literature,False,847
"Tuberculosis, Pulmonary",OC_nocite_10__composite_min2,190.4616032717119,OC,10,2,NOCITE,Literature,False,848
"Tuberculosis, extrapulmonary",OC_nocite_10__composite_min2,60.080909979552,OC,10,2,NOCITE,Literature,False,849
Tuberous Sclerosis,OC_nocite_10__composite_min2,53.61852746535972,OC,10,2,NOCITE,Literature,False,850
Tumour budding,OC_nocite_10__composite_min2,34.75128512898304,OC,10,2,NOCITE,Literature,False,851
Turner Syndrome,OC_nocite_10__composite_min2,43.52690226722492,OC,10,2,NOCITE,Literature,False,852
Undifferentiated carcinoma,OC_nocite_10__composite_min2,16.254345261214425,OC,10,2,NOCITE,Literature,False,853
Undifferentiated leukemia,OC_nocite_10__composite_min2,74.51830169051469,OC,10,2,NOCITE,Literature,False,854
Unverricht-Lundborg Syndrome,OC_nocite_10__composite_min2,16.1877313786389,OC,10,2,NOCITE,Literature,False,855
Uranostaphyloschisis,OC_nocite_10__composite_min2,81.10781726849342,OC,10,2,NOCITE,Literature,False,856
Urothelial Carcinoma,OC_nocite_10__composite_min2,114.77322565041143,OC,10,2,NOCITE,Literature,False,857
Uterine Cervical Neoplasm,OC_nocite_10__composite_min2,23.138448139211103,OC,10,2,NOCITE,Literature,False,858
Uveal melanoma,OC_nocite_10__composite_min2,70.67401340173463,OC,10,2,NOCITE,Literature,False,859
Uveitis,OC_nocite_10__composite_min2,203.20379680314105,OC,10,2,NOCITE,Literature,False,860
VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),OC_nocite_10__composite_min2,113.1560314890459,OC,10,2,NOCITE,Literature,False,861
Van der Woude syndrome,OC_nocite_10__composite_min2,29.289656810950884,OC,10,2,NOCITE,Literature,False,862
Varicosity,OC_nocite_10__composite_min2,137.065898826001,OC,10,2,NOCITE,Literature,False,863
Vascular insufficiency of intestine,OC_nocite_10__composite_min2,14.024629889588756,OC,10,2,NOCITE,Literature,False,864
Vasculitis,OC_nocite_10__composite_min2,101.8027816115252,OC,10,2,NOCITE,Literature,False,865
Ventricular arrhythmia,OC_nocite_10__composite_min2,59.40411283339965,OC,10,2,NOCITE,Literature,False,866
Verrucous carcinoma,OC_nocite_10__composite_min2,13.066878083417985,OC,10,2,NOCITE,Literature,False,867
Vesicular Stomatitis,OC_nocite_10__composite_min2,19.56987135459147,OC,10,2,NOCITE,Literature,False,868
Viral myocarditis,OC_nocite_10__composite_min2,190.59433046486436,OC,10,2,NOCITE,Literature,False,869
Vitelliform Macular Dystrophy,OC_nocite_10__composite_min2,23.017598154145475,OC,10,2,NOCITE,Literature,False,870
Vitiligo,OC_nocite_10__composite_min2,113.71966276230528,OC,10,2,NOCITE,Literature,False,871
Von Hippel-Lindau Syndrome,OC_nocite_10__composite_min2,35.23879591282924,OC,10,2,NOCITE,Literature,False,872
Waldenstrom Macroglobulinemia,OC_nocite_10__composite_min2,117.77284459032238,OC,10,2,NOCITE,Literature,False,873
Well Differentiated Oligodendroglioma,OC_nocite_10__composite_min2,26.74400487158603,OC,10,2,NOCITE,Literature,False,874
Well Differentiated Pancreatic Endocrine Tumor,OC_nocite_10__composite_min2,27.38877136287173,OC,10,2,NOCITE,Literature,False,875
Werner Syndrome,OC_nocite_10__composite_min2,26.97207013248359,OC,10,2,NOCITE,Literature,False,876
West Nile viral infection,OC_nocite_10__composite_min2,47.02046011245314,OC,10,2,NOCITE,Literature,False,877
West Syndrome,OC_nocite_10__composite_min2,25.526105115052765,OC,10,2,NOCITE,Literature,False,878
Williams Syndrome,OC_nocite_10__composite_min2,10.062179206097776,OC,10,2,NOCITE,Literature,False,879
Wiskott-Aldrich Syndrome,OC_nocite_10__composite_min2,22.093250575265788,OC,10,2,NOCITE,Literature,False,880
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP C",OC_nocite_10__composite_min2,3.2182792846511767,OC,10,2,NOCITE,Literature,False,881
Xeroderma Pigmentosum,OC_nocite_10__composite_min2,21.376049131900867,OC,10,2,NOCITE,Literature,False,882
"Xeroderma Pigmentosum, Complementation Group D",OC_nocite_10__composite_min2,59.95253401649877,OC,10,2,NOCITE,Literature,False,883
Zika Virus Infection,OC_nocite_10__composite_min2,40.57374786526476,OC,10,2,NOCITE,Literature,False,884
Zinc deficiency,OC_nocite_10__composite_min2,30.982437256887675,OC,10,2,NOCITE,Literature,False,885
alpha-Thalassemia,OC_nocite_10__composite_min2,54.62763319900749,OC,10,2,NOCITE,Literature,False,886
alpha^+^ Thalassemia,OC_nocite_10__composite_min2,46.11376953960289,OC,10,2,NOCITE,Literature,False,887
androgen independent prostate cancer,OC_nocite_10__composite_min2,80.20618723328843,OC,10,2,NOCITE,Literature,False,888
beta Thalassemia,OC_nocite_10__composite_min2,50.89711768934076,OC,10,2,NOCITE,Literature,False,889
beta^+^ Thalassemia,OC_nocite_10__composite_min2,47.33729445253319,OC,10,2,NOCITE,Literature,False,890
bone destruction,OC_nocite_10__composite_min2,140.66558676372085,OC,10,2,NOCITE,Literature,False,891
estrogen receptor-negative breast cancer,OC_nocite_10__composite_min2,83.80269371088542,OC,10,2,NOCITE,Literature,False,892
hiv-infection/aids,OC_nocite_10__composite_min2,74.84655255720806,OC,10,2,NOCITE,Literature,False,893
insulinoma,OC_nocite_10__composite_min2,67.46307144150985,OC,10,2,NOCITE,Literature,False,894
intracranial glioma,OC_nocite_10__composite_min2,59.20882142010017,OC,10,2,NOCITE,Literature,False,895
leiomyosarcoma,OC_nocite_10__composite_min2,39.61944716552463,OC,10,2,NOCITE,Literature,False,896
liposarcoma,OC_nocite_10__composite_min2,35.05981359999182,OC,10,2,NOCITE,Literature,False,897
neurofibroma,OC_nocite_10__composite_min2,91.3749561088556,OC,10,2,NOCITE,Literature,False,898
oligodendroglioma,OC_nocite_10__composite_min2,39.15619571352924,OC,10,2,NOCITE,Literature,False,899
psychological distress,OC_nocite_10__composite_min2,6.600238592624773,OC,10,2,NOCITE,Literature,False,900
"stage, non-small cell lung cancer",OC_nocite_10__composite_min2,25.058563702144266,OC,10,2,NOCITE,Literature,False,901
synovial sarcoma,OC_nocite_10__composite_min2,132.96568658152304,OC,10,2,NOCITE,Literature,False,902
trachomatis,OC_nocite_10__composite_min2,59.666285403139135,OC,10,2,NOCITE,Literature,False,903
ACTH-Secreting Pituitary Adenoma,OC_nocite_11__composite_min2,20.52672035763053,OC,11,2,NOCITE,Literature,False,904
AICARDI-GOUTIERES SYNDROME,OC_nocite_11__composite_min2,25.623860586883204,OC,11,2,NOCITE,Literature,False,905
AIDS related complex,OC_nocite_11__composite_min2,14.003313604091236,OC,11,2,NOCITE,Literature,False,906
AMYOTROPHIC LATERAL SCLEROSIS 1,OC_nocite_11__composite_min2,31.4389786190584,OC,11,2,NOCITE,Literature,False,907
ATRICHIA WITH PAPULAR LESIONS,OC_nocite_11__composite_min2,29.89892397896117,OC,11,2,NOCITE,Literature,False,908
"AURAL ATRESIA, CONGENITAL",OC_nocite_11__composite_min2,59.41067323854895,OC,11,2,NOCITE,Literature,False,909
Abnormality of the skeletal system,OC_nocite_11__composite_min2,54.555372866565605,OC,11,2,NOCITE,Literature,False,910
Absence Epilepsy,OC_nocite_11__composite_min2,103.50439282878044,OC,11,2,NOCITE,Literature,False,911
Acoustic Neuroma,OC_nocite_11__composite_min2,57.49720363027727,OC,11,2,NOCITE,Literature,False,912
Acquired Hypogammaglobulinemia,OC_nocite_11__composite_min2,91.17981821838652,OC,11,2,NOCITE,Literature,False,913
Acromegaly,OC_nocite_11__composite_min2,70.37765707053723,OC,11,2,NOCITE,Literature,False,914
Actinic keratosis,OC_nocite_11__composite_min2,20.92557312011876,OC,11,2,NOCITE,Literature,False,915
Acute Chest Syndrome,OC_nocite_11__composite_min2,196.472159585607,OC,11,2,NOCITE,Literature,False,916
Acute Coronary Syndrome,OC_nocite_11__composite_min2,211.0357005004771,OC,11,2,NOCITE,Literature,False,917
Acute Erythroblastic Leukemia,OC_nocite_11__composite_min2,71.35593722706771,OC,11,2,NOCITE,Literature,False,918
Acute GVH disease,OC_nocite_11__composite_min2,245.14404198504693,OC,11,2,NOCITE,Literature,False,919
Acute Megakaryocytic Leukemias,OC_nocite_11__composite_min2,37.52742214489345,OC,11,2,NOCITE,Literature,False,920
Acute Undifferentiated Leukemia,OC_nocite_11__composite_min2,53.596823978337135,OC,11,2,NOCITE,Literature,False,921
